CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,1,7,1092,962,62,639,37,359,0,55,57,11,0,0,3274,49,3323,4810
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,2,2,181,165,2,120,3,59,0,8,10,2,0,0,550,11,561,784
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,3,3,336,270,18,186,21,72,0,18,14,11,0,0,946,47,993,1587
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,4,1,130,135,3,98,8,56,0,18,8,0,0,0,456,12,468,679
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,5,1,130,98,6,82,8,33,0,5,6,4,0,0,372,5,377,547
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,6,3,378,363,17,221,8,115,0,21,13,5,0,1,1141,20,1162,1714
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,7,2,141,197,7,88,8,28,0,13,2,2,0,0,486,11,497,790
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,8,2,188,265,15,153,10,70,0,23,13,6,0,0,743,19,762,1100
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,9,2,170,175,7,141,6,107,0,9,7,7,0,0,629,19,648,893
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,10,2,208,214,2,143,13,81,0,4,16,9,0,0,690,19,709,1168
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,11,1,115,109,4,84,2,55,0,6,1,1,0,0,377,10,387,584
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,12,2,155,144,9,126,7,64,0,13,11,1,0,0,530,14,544,794
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,13,2,336,280,21,190,10,122,0,18,14,3,0,2,994,17,1013,1424
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,14,2,180,164,23,116,11,36,0,13,10,4,0,2,557,25,584,906
