ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,47,64,2885,4513,1814,180,240,96,469,152,4293,179,95,19,1,2,7,97,5,2,14,3,2,8,18,21,3,68,43,2216,2,17445,727,18174,25837,0.7034
18,NAYARIT,2,AHUACATLAN,17,26,2718,2892,57,146,12,35,781,22,447,60,20,6,4,1,0,10,17,1,1,0,0,3,0,1,0,47,13,951,1,8245,218,8464,11841,0.7148
18,NAYARIT,3,AMATLAN DE CAÑAS,22,26,1955,1780,434,176,16,19,172,182,548,514,21,8,0,0,0,7,9,1,2,2,2,2,1,10,0,20,24,488,1,6393,230,6624,9290,0.713
18,NAYARIT,4,BAHIA DE BANDERAS,34,148,13995,13525,1000,1651,422,427,4244,540,2900,232,521,95,13,13,13,105,66,11,25,4,8,24,55,16,4,564,343,6276,25,47092,1485,48602,96718,0.5025
18,NAYARIT,5,COMPOSTELA,72,115,9166,8096,499,973,273,244,1703,256,3858,198,122,46,8,10,6,40,52,9,12,3,5,16,36,27,1,119,67,4888,7,30733,1024,31764,54393,0.584
18,NAYARIT,6,HUAJICORI,19,24,678,2439,850,75,14,16,39,22,1225,17,15,4,0,5,1,26,2,1,7,0,0,5,8,18,0,10,68,431,0,5976,223,6199,7764,0.7984
18,NAYARIT,7,IXTLAN DEL RIO,24,40,4553,2337,152,555,985,29,1780,56,1008,124,33,17,2,2,0,5,27,1,4,0,1,10,109,3,2,167,38,1021,6,13021,449,13476,20223,0.6664
18,NAYARIT,8,JALA,18,28,3472,3501,52,20,60,7,585,358,568,46,18,4,1,2,0,5,0,1,2,0,0,4,7,21,2,35,14,714,10,9499,241,9750,12805,0.7614
18,NAYARIT,9,DEL NAYAR,20,50,6512,2973,593,107,399,80,593,221,1182,329,92,16,4,1,0,58,21,14,8,3,0,17,27,15,8,38,13,2077,0,15401,1042,16443,24778,0.6636
18,NAYARIT,10,ROSAMORADA,43,61,3541,4462,588,829,111,87,300,899,2185,119,67,23,3,5,2,32,33,1,15,0,3,9,10,31,11,158,19,3737,8,17280,580,17868,25130,0.711
18,NAYARIT,11,RUIZ,27,41,5298,3071,115,130,24,23,695,21,689,56,51,16,3,1,0,25,11,7,2,0,4,3,4,3,1,38,12,1241,0,11544,385,11929,16748,0.7123
18,NAYARIT,12,SAN BLAS,48,67,3167,3849,468,179,224,111,474,542,1738,157,58,9,4,1,5,32,16,3,8,5,2,16,66,54,10,328,39,6607,1,18172,881,19054,28811,0.6613
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,12,15,1842,1071,83,58,241,9,83,22,338,6,14,4,1,0,0,13,5,0,1,1,0,0,10,4,1,30,12,438,0,4287,140,4427,6216,0.7122
18,NAYARIT,14,SANTA MARIA DEL ORO,23,37,1947,3463,673,748,164,54,684,461,1273,34,42,17,2,0,2,22,22,2,23,0,1,10,20,48,14,127,25,1770,55,11648,534,12237,17397,0.7034
18,NAYARIT,15,SANTIAGO IXCUINTLA,112,150,9952,11292,6564,1403,413,306,882,274,2907,202,416,109,14,6,24,268,46,14,77,17,9,17,90,15,21,187,86,7453,10,43064,1432,44506,69121,0.6439
18,NAYARIT,16,TECUALA,50,65,3388,5745,2254,203,207,109,688,196,1695,98,84,21,3,2,6,86,5,3,20,5,8,23,44,25,8,97,30,3364,0,18417,751,19168,28594,0.6704
18,NAYARIT,17,TEPIC,298,536,59888,36782,7171,4892,1237,664,7148,1404,29041,1917,1714,441,77,44,57,937,173,47,116,9,32,167,192,115,21,5202,792,14156,151,174436,3561,178148,290823,0.6126
18,NAYARIT,18,TUXPAN,34,48,4440,3612,1205,497,95,78,477,237,1299,242,54,15,3,3,0,45,10,2,8,0,1,6,20,16,3,76,52,2304,1,14800,460,15261,22045,0.6923
18,NAYARIT,19,XALISCO,22,65,7876,5010,480,386,179,58,1263,206,3403,258,130,29,2,4,3,67,20,3,3,0,1,11,18,19,5,531,90,2828,3,22883,580,23466,37730,0.6219
18,NAYARIT,20,LA YESCA,11,18,1330,1205,31,172,16,29,832,22,1109,9,26,3,1,5,0,11,23,2,2,0,0,3,3,0,0,99,8,761,0,5702,340,6042,7846,0.7701
