CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,B,47,100,19,14,2,0,6,0,81,6,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,44,0,326,20,346,486,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,B,48,80,29,0,8,0,2,4,61,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,277,13,290,476,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,C01,48,89,24,4,2,0,11,3,76,4,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,25,0,295,19,314,475,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,B,60,104,67,2,6,4,10,5,67,1,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,26,0,362,18,380,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C01,52,78,48,2,5,1,16,3,67,2,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,63,0,347,13,360,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C02,50,84,48,3,7,3,12,1,78,6,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,51,0,355,9,364,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,B,49,109,43,6,4,0,27,4,122,9,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,32,0,414,6,420,672,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,B,39,59,42,3,4,1,9,7,72,5,2,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,32,0,281,18,299,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,C01,59,61,42,4,13,1,3,3,55,2,1,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,30,0,281,13,294,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,B,51,79,36,4,4,0,12,2,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,291,9,300,418,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,B,70,83,39,4,1,2,12,1,94,4,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,3,3,19,0,341,5,346,474,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,B,51,65,25,5,9,1,3,2,92,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,24,1,285,7,293,409,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,C01,42,68,28,7,6,1,10,1,75,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,3,0,32,0,279,9,288,408,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,B,66,98,39,6,1,3,20,4,146,7,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,29,0,427,6,433,665,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,C01,78,107,28,10,9,2,21,2,144,6,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,39,1,454,9,464,665,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,B,63,71,26,11,0,2,12,2,94,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,23,0,327,14,341,483,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,C01,69,70,11,5,3,4,8,2,119,10,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,31,0,340,12,352,482,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,B,45,56,19,1,2,9,11,2,48,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,13,0,216,4,220,330,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,12,B,82,130,35,8,4,2,11,1,141,8,4,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,22,0,453,10,463,632,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,B,93,87,53,4,7,2,5,1,90,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,34,0,382,13,395,567,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,13,SMR01,82,89,28,3,5,0,6,5,77,5,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,31,0,349,11,360,0,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,14,B,32,55,25,5,1,4,5,0,41,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,0,185,4,189,245,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,15,B,56,87,29,4,7,1,9,5,84,4,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,15,0,309,7,316,426,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,16,B,60,94,38,4,2,0,6,7,64,13,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,24,0,319,0,319,472,,,,
