ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
18,NAYARIT,1,ACAPONETA,86,117,4734,8746,2779,650,287,156,614,429,6777,219,131,34,3,12,9,136,29,4,25,3,4,15,28,47,5,117,116,3950,10,30059,1195,31264,43197,0.7238
18,NAYARIT,2,TECUALA,73,97,5758,8413,2727,637,285,152,882,840,2621,194,130,33,4,2,7,105,16,3,31,5,9,30,52,48,17,216,44,5798,0,29059,1086,30145,44128,0.6831
18,NAYARIT,3,JESUS MARIA,47,91,11810,6044,708,237,423,103,1288,242,1871,385,143,32,7,2,0,83,32,21,10,3,4,20,31,18,9,76,25,3318,0,26945,1427,28372,41526,0.6832
18,NAYARIT,4,TUXPAN,73,97,7419,8303,3302,837,241,225,711,348,2073,297,149,35,10,3,6,123,17,5,31,5,1,7,55,24,11,130,86,5491,9,29945,963,30917,46198,0.6692
18,NAYARIT,5,SANTIAGO IXCUINTLA,73,101,6973,6601,4467,1063,267,159,648,163,2133,147,321,89,7,6,18,190,39,11,54,12,9,16,55,7,13,133,52,4266,2,27919,929,28850,44968,0.6416
18,NAYARIT,6,TEPIC,52,92,9008,6694,1153,694,259,104,939,240,4654,280,251,70,10,2,2,143,34,6,23,3,3,24,37,24,6,624,149,2959,9,28395,718,29122,45495,0.6401
18,NAYARIT,7,TEPIC,44,86,7788,4959,1198,670,257,94,1103,222,4243,338,216,56,6,5,13,97,17,3,22,0,3,16,36,19,2,673,141,2986,30,25183,576,25789,47096,0.5476
18,NAYARIT,8,TEPIC,53,87,9554,5912,1237,959,180,115,1076,178,4720,282,257,80,12,8,7,147,33,12,20,0,3,16,21,15,3,924,115,2053,17,27939,549,28505,47049,0.6059
18,NAYARIT,9,TEPIC,48,84,9304,5767,1142,811,172,108,1102,250,5062,331,276,82,27,8,15,177,26,4,22,3,5,30,32,22,2,1276,113,2178,58,28347,639,29044,47545,0.6109
18,NAYARIT,10,SAN BLAS,62,86,4441,5488,549,393,264,130,863,598,2111,173,72,23,5,1,5,39,26,3,10,5,3,18,68,61,11,344,47,7685,1,23436,1099,24536,38066,0.6446
18,NAYARIT,11,TEPIC,49,89,12377,6688,1057,795,173,120,1471,261,4956,340,353,69,15,13,5,183,30,11,13,1,15,37,34,21,4,797,123,1764,24,31726,487,32237,48616,0.6631
18,NAYARIT,12,TEPIC,48,84,10067,5860,1175,807,137,99,1158,202,4629,295,304,71,5,6,11,160,28,9,16,2,1,42,30,13,4,749,125,1854,11,27859,488,28358,46128,0.6148
18,NAYARIT,13,SANTA MARIA DEL ORO,64,98,8591,9240,839,998,481,99,2184,863,3288,95,100,28,5,7,2,51,50,5,28,1,1,17,40,73,17,291,59,3683,65,31136,1255,32456,44264,0.7332
18,NAYARIT,14,XALISCO,26,79,9666,5912,689,542,238,82,1562,257,4180,309,187,42,4,6,7,97,25,5,3,0,3,13,20,20,5,690,116,3190,5,27870,684,28559,46624,0.6125
18,NAYARIT,15,COMPOSTELA,58,96,7892,6457,418,759,233,225,1314,200,3485,182,108,32,7,10,6,33,42,9,10,3,4,14,34,20,0,103,59,3810,7,25469,806,26282,45138,0.5823
18,NAYARIT,16,IXTLAN DEL RIO,63,92,9226,7009,643,877,1013,83,2733,260,2003,698,74,31,6,3,0,22,53,3,7,2,3,15,110,14,2,234,75,2460,8,27659,897,28564,41354,0.6907
18,NAYARIT,17,BUCERIAS,25,77,8268,8045,472,917,249,114,1947,193,1265,88,229,55,7,7,6,62,37,4,11,1,5,11,45,13,3,265,149,3648,10,26116,793,26919,48227,0.5582
18,NAYARIT,18,MEZCALES,9,71,5727,5480,528,734,173,313,2297,347,1635,144,292,40,6,6,7,43,29,7,14,3,3,13,10,3,1,299,194,2628,15,20976,692,21683,48491,0.4472
