CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,1,47,100,19,14,2,0,6,0,81,6,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,44,0,326,20,346,486
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,2,96,169,53,4,10,0,13,7,137,9,4,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,1,61,0,572,32,604,951
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,3,162,266,163,7,18,8,38,9,212,9,11,3,0,0,0,7,0,0,2,1,0,0,0,0,1,1,6,140,0,1064,40,1104,1953
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,1,49,109,43,6,4,0,27,4,122,9,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,32,0,414,6,420,672
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,2,98,120,84,7,17,2,12,10,127,7,3,2,0,1,1,4,0,1,0,0,0,1,2,0,0,0,1,62,0,562,31,593,912
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,1,51,79,36,4,4,0,12,2,60,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,0,291,9,300,418
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,7,1,70,83,39,4,1,2,12,1,94,4,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,3,3,19,0,341,5,346,474
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,8,2,93,133,53,12,15,2,13,3,167,2,4,0,0,0,0,2,1,0,2,0,0,0,0,2,0,4,0,56,1,564,16,581,817
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,9,2,144,205,67,16,10,5,41,6,290,13,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,1,68,1,881,15,897,1330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,10,2,132,141,37,16,3,6,20,4,213,23,4,1,0,0,1,0,0,0,2,0,0,0,0,0,0,8,2,54,0,667,26,693,965
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,11,1,45,56,19,1,2,9,11,2,48,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,13,0,216,4,220,330
