uniqueid,year,incumbent_party_inafed,incumbent_candidate_inafed
NA,1912,NA,C. JESUS VIZCARRA VALDEZ
NA,1915,NA,C. FRANCISCO NIEBLA
NA,1917,NA,C. JOSÉ VILLANUEVA
NA,1918,NA,C. FRANCISCO CHAVEZ
NA,1919,NA,C. HUGO ARMENTA
NA,1921,NA,C. MANUEL BARRAZA
NA,1923,NA,C. WALDO GÁMEZ
NA,1924,NA,C. RODOLFO VIZCARRA
NA,1925,NA,C. SIMÓN GUILLEN
NA,1927,NA,C. RAFAEL GAMBOA
NA,1928,NA,C. FELIPE J. IRIARTE
NA,1929,NA,C. HERNANDO RAMOS
NA,1930,NA,C. IGNACIO TIRADO
NA,1931,NA,C. DANIEL C. BAYARDO
NA,1932,NA,C. GUILLERMO BÁTIZ
NA,1933,NA,C. LUIS VIZCARRA
NA,1934,NA,C. PEDRO GAVILA W.
NA,1935,NA,C. MIGUEL RETAMOZA
NA,1936,NA,C. JOSE PANTOJA
NA,1937,NA,C. JOSÉ FÉLIX
NA,1939,NA,C. RICARDO VIZCARRA
NA,1940,NA,C. ANTONIO GUEVARA
NA,1941,NA,C. ELISEO ISLAS ACOSTA
NA,1942,NA,C. JOSE GARZON LOPEZ
NA,1943,NA,C. ENRIQUE VALDÉZ
NA,1945,NA,C. ROSENDO GUZMAN
NA,1946,NA,C. SEVERIANO HERNÁNDEZ
NA,1947,NA,C. PABLO JUVENTINO GARCÍA
NA,1948,NA,C. PABLO PACHECO
NA,1949,NA,C. ESTEBAN BURGUEÑO
NA,1950,NA,C. ROBERTO MÉNDEZ
NA,1951,NA,C. SAMUEL C. CASTRO
NA,1952,NA,C. ROBERTO MÉNDEZ
NA,1954,NA,C. ARMANDO GUERRERO LEYVA
NA,1955,NA,C. FIDENCIO FÉLIX
NA,1957,NA,C. MIGUEL LEÓN LÓPEZ
NA,1960,NA,C. ANTONIO LÓPEZ BOJÓRQUEZ
NA,1961,NA,C. PEDRO U. ZAMUDIO GUERRERO
NA,1962,NA,C. J. FIDEL ARAGÓN S.
NA,1963,NA,C. ALFONSO G. CALDERÓN
NA,1966,NA,C. CANUTO IBARRA G.
NA,1967,NA,C. JUAN MANUEL INZUNZA LARA
NA,1969,NA,C. ERNESTO ORTEGÓN C.
NA,1970,NA,C. LEÓN FERNANDO GARCÍA L.
NA,1972,NA,C. NICANOR VILLAREAL
NA,1975,NA,C. OSCAR MONZÓN M.
NA,1978,NA,C. OSCAR AGUILAR PEREIRA
NA,1979,NA,C. JOSE LEY DOMÍNGUEZ
NA,1981,NA,C. JAIME IBARRA M.
NA,1982,NA,C. ELBA MUNDO DE NAVARRO
NA,1984,NA,C. FELIPE MORENO ROSALES
NA,1985,NA,C. JESÚS JACOBO HERNÁNDEZ
NA,1987,NA,C. ERNESTO ALVAREZ NOLASCO
NA,1988,NA,C. JUAN LEÓN REYES
NA,1989,NA,C. JOSÉ LUIS TOSTADO SÁNCHEZ
NA,1990,NA,C. RAMÓN IGNACIO RODRIGO CASTRO
NA,1991,NA,C. MOISÉS VALENCIA
NA,1993,PRI,C. FEDERICO CAREAGA WOLSKILL
NA,1996,PAN,DR. FRANCISCO SALVADOR LOPEZ BRITO
NA,1999,PRI,C. ESTEBAN VALENZUELA GARCIA
NA,2002,PRI,C. MARIO LOPEZ VALDEZ
NA,2005,PRI,C. POLICARPO INFANTE FIERRO
NA,2008,CSA,C. ESTEBAN VALENZUELA GARCIA
NA,2010,CCS,ING. ZENEN AARON XOCHIHUA ENCISO
NA,2012,PRI,C. AARON RIVAS LOAIZA
NA,2013,APAG,LIC. MIGUEL ANGEL ROBLES SANTILLANES
NA,2014,TRANSIN,C. ARTURO DUARTE GARCIA
NA,2016,PRI,C. ALVARO RUELAS ECHAVE
NA,2018,PRI,LIC. MANUEL URQUIJO BELTRAN
NA,2020,-,- - - -
NA,2021,COAL.,C. GERARDO OCTAVIO VARGAS LANDEROS
NA,2022,COAL.,ARQ. JUAN DE DIOS GAMEZ MENDIVIL
NA,NA,NA,C. JESÚS BENITEZ
