ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,2685,3033,22,2,21,8,1,313,25,6,1,2,3,37,16,7,0,,,,,,,,,,,,,,,6182,0,205,6389,8255,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ABASOLO.pdf
28,TAMAULIPAS,2,ALDAMA,21,45,2388,6164,84,77,300,5644,160,893,42,28,18,4,6,173,21,242,18,,,,,,,,,,,,,,,16262,1,646,17091,23128,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALDAMA.pdf
28,TAMAULIPAS,3,ALTAMIRA,84,266,39242,21566,833,2865,2474,1237,1491,25546,1299,739,287,41,210,665,221,246,20,,,,,,,,,,,,,,,98982,46,2621,101748,165719,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ALTAMIRA.pdf
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3632,1460,14,80,20,8,1,223,5,2,1,0,2,5,11,7,0,,,,,,,,,,,,,,,5471,0,144,5615,7221,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ANTIGUOMORELOS.pdf
28,TAMAULIPAS,5,BURGOS,8,12,2178,1276,1,0,1,0,2,29,0,,,,,,,,,,,,,,,,,,,,,,,3487,10,92,3589,4540,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BURGOS.pdf
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1752,2694,4,1,5,2,2,65,1,0,0,0,1,,,,,,,,,,,,,,,,,,,4527,0,61,4588,5635,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_BUSTAMANTE.pdf
28,TAMAULIPAS,7,CAMARGO,16,25,2991,1409,45,159,103,44,31,814,1083,40,6,11,69,29,17,14,2,,,,,,,,,,,,,,,6867,1,254,7132,12770,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CAMARGO.pdf
28,TAMAULIPAS,8,CASAS,8,13,1911,1351,4,1,14,2,4,155,4,1,1,0,0,,,,,,,,,,,,,,,,,,,3448,0,77,3519,4304,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CASAS.pdf
28,TAMAULIPAS,9,CIUDAD MADERO,107,282,38753,13328,989,1462,2385,1056,1391,40312,1369,865,326,37,175,613,158,122,45,5703,,,,,,,,,,,,,,109089,103,1641,111065,168153,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CIUDADMADERO.pdf
28,TAMAULIPAS,10,CRUILLAS,5,7,391,592,0,2,14,7,2,601,6,10,5,0,6,,,,,,,,,,,,,,,,,,,1636,0,41,1677,2017,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_CRUILLAS.pdf
