ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,448,997,27656,11444,4341,13554,14674,4310,3080,172650,20654,792,385,129,83,479,874,58,164,3874,36664,,,,,315865,1186,10762,327813,580853,
23,QUINTANA ROO,2,COZUMEL,22,102,12192,14769,400,1022,694,393,445,7472,794,162,64,49,8,190,234,34,4,148,,608,,,,39682,10,1102,40794,67040,
23,QUINTANA ROO,3,FELIPE C. PUERTO,35,93,2479,10678,9217,601,690,799,515,7387,1259,414,262,17,70,240,260,25,5,134,,,752,,,35804,1,1815,37620,51668,
23,QUINTANA ROO,4,ISLA MUJERES,10,31,2030,5570,138,,323,134,85,3490,401,43,14,7,5,,,,,49,,,,,,12289,3,411,12703,19285,
23,QUINTANA ROO,5,JOSE MA. MORELOS,22,46,2946,5840,2958,,225,1074,4451,1599,482,524,160,24,37,,,,,21,,,,,,20341,20,802,21163,25556,
23,QUINTANA ROO,6,LAZARO CARDENAS ,14,38,2095,982,542,134,7751,368,292,1158,1522,35,26,14,2,37,33,2,1,,,,,,,14994,16,606,15616,20253,
23,QUINTANA ROO,7,OTHON P. BLANCO ,160,304,18704,10820,2309,1155,3087,1724,1623,42587,6977,672,247,90,26,278,224,45,31,949,,,,8453,,100001,35,4159,104195,166189,
23,QUINTANA ROO,8,SOLIDARIDAD,157,341,28701,15024,3239,1373,1989,2946,1361,36822,5365,869,359,188,61,429,253,84,23,628,,,,,,99714,95,3715,103524,199592,
23,QUINTANA ROO,9,TULUM,41,62,5010,7170,1790,188,192,1052,135,2329,235,713,178,70,39,142,162,31,4,59,,,,,,19499,7,860,20366,30419,
23,QUINTANA ROO,10,BACALAR,25,55,1850,3237,659,279,1017,259,3086,4860,2771,103,44,8,7,160,47,78,18,168,,,,,480,19131,1,874,20006,29454,
23,QUINTANA ROO,11,PUERTO MORELOS,5,29,1153,3165,194,1242,348,1105,342,3261,252,74,11,24,7,103,116,9,8,81,,,,,,11495,10,472,11977,18357,
