ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,448,997,28178,12070,4839,14233,16611,4679,3350,174587,20654,36664,,,,,315865,1186,10762,327813,580853,
23,QUINTANA ROO,2,COZUMEL,22,102,12303,14967,490,1204,768,475,527,7546,794,,608,,,,39682,10,1102,40794,67040,
23,QUINTANA ROO,3,FELIPE C. PUERTO,35,93,2757,10901,9521,814,757,980,609,7454,1259,,,752,,,35804,1,1815,37620,51668,
23,QUINTANA ROO,4,ISLA MUJERES,10,31,2056,5570,162,,347,153,85,3515,401,,,,,,12289,3,411,12703,19285,
23,QUINTANA ROO,5,JOSE MA. MORELOS,22,46,3213,5840,3232,,235,1278,4451,1610,482,,,,,,20341,20,802,21163,25556,
23,QUINTANA ROO,6,LAZARO CARDENAS ,14,38,2127,1013,568,162,7751,387,306,1158,1522,,,,,,14994,16,606,15616,20253,
23,QUINTANA ROO,7,OTHON P. BLANCO ,160,304,19097,11048,2669,1374,3561,2006,1754,43062,6977,,,,8453,,100001,35,4159,104195,166189,
23,QUINTANA ROO,8,SOLIDARIDAD,157,341,29265,15336,3739,1654,2303,3359,1557,37136,5365,,,,,,99714,95,3715,103524,199592,
23,QUINTANA ROO,9,TULUM,41,62,5372,7315,2137,318,221,1343,199,2359,235,,,,,,19499,7,860,20366,30419,
23,QUINTANA ROO,10,BACALAR,25,55,1911,3354,719,364,1101,300,3187,4944,2771,,,,,480,19131,1,874,20006,29454,
23,QUINTANA ROO,11,PUERTO MORELOS,5,29,1196,3263,226,1338,388,1146,384,3302,252,,,,,,11495,10,472,11977,18357,
