CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,385,1,107,76,1,1,4,11,3,4,5,0,4,6,1,0,223,10,233,463
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,386,2,195,256,6,7,10,27,16,7,10,0,8,13,2,2,559,20,579,989
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,387,2,240,295,7,6,8,16,14,3,11,0,14,20,3,0,637,34,671,1229
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,388,2,195,154,10,10,11,21,8,3,9,0,6,8,5,0,440,13,453,821
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,389,2,171,185,16,21,9,29,11,7,11,3,10,9,1,5,488,16,504,936
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,390,1,129,136,5,6,9,21,5,3,7,0,9,14,0,0,344,13,357,635
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,391,2,158,152,4,5,12,32,7,9,22,0,5,9,1,0,416,11,427,758
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,4,583,398,24,20,17,57,33,12,19,3,15,21,3,0,1205,41,1246,2506
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,393,1,27,27,1,2,1,11,0,0,2,2,4,0,0,0,77,7,84,184
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,394,1,109,160,6,0,4,54,4,1,1,0,1,18,5,0,363,26,389,634
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,395,1,60,62,0,2,0,12,2,1,0,0,1,0,0,0,140,11,151,218
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,396,3,164,255,11,5,9,151,12,3,4,1,15,4,0,0,634,32,666,1149
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,397,1,33,78,2,0,1,22,0,0,1,0,2,8,0,0,147,1,148,295
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,398,1,86,96,5,3,2,18,1,0,0,1,4,12,0,0,228,8,236,344
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,399,1,32,58,13,2,2,4,0,0,1,0,1,0,0,0,113,7,120,161
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,400,1,37,39,2,1,2,7,6,0,2,0,2,0,0,0,98,3,101,135
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,401,2,88,143,6,4,5,46,26,2,5,0,1,11,1,0,338,33,371,606
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,402,2,117,251,6,4,9,27,5,1,14,0,2,44,3,0,483,26,509,892
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,403,1,86,209,13,6,6,76,4,2,4,0,1,23,2,0,432,22,454,725
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,404,1,74,70,5,6,1,12,6,3,3,1,12,3,0,1,197,19,216,487
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,490,2,259,318,17,15,17,16,5,7,31,0,12,29,5,0,731,22,753,1353
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,491,2,144,201,19,10,14,3,4,7,17,1,10,8,0,0,438,16,454,812
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,492,1,39,54,3,4,4,0,0,1,3,1,0,5,1,0,115,0,115,175
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,493,2,248,229,14,23,16,10,10,15,47,1,21,17,5,1,657,19,676,1238
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,494,2,195,242,12,21,11,21,15,10,34,3,13,19,10,3,609,19,628,1172
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,495,2,189,181,10,23,21,7,6,8,28,1,9,10,6,0,499,12,511,912
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,496,4,390,441,30,44,48,28,9,13,77,4,24,41,3,2,1154,25,1179,2519
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,497,2,156,215,13,15,17,31,2,3,27,1,14,12,2,0,508,22,530,1220
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,498,2,149,223,11,11,23,24,4,7,28,2,15,21,5,0,523,17,540,1219
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,499,1,125,109,9,9,13,10,2,6,13,0,11,10,2,2,321,12,333,648
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,500,3,220,269,23,15,29,26,8,5,47,0,30,18,1,0,691,14,705,1722
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,501,3,266,286,24,27,16,27,8,19,37,0,18,7,1,3,739,22,761,1706
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,502,4,339,479,51,34,39,107,8,13,46,4,38,30,8,1,1197,33,1230,2814
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,503,3,230,334,33,17,34,52,8,6,29,4,17,35,4,1,804,28,832,1928
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,504,3,218,242,12,21,18,43,6,9,35,2,7,3,1,3,620,23,643,1506
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,505,2,211,247,13,19,29,15,6,8,28,0,10,16,4,1,607,15,622,1146
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,506,2,185,191,7,14,22,12,5,7,36,0,8,12,1,0,500,15,515,980
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,507,2,226,181,11,13,24,10,5,13,35,3,8,6,1,1,537,13,550,1134
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,508,2,203,201,14,13,19,18,4,7,34,4,9,29,2,0,557,27,584,1263
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,509,3,248,309,12,27,18,17,3,12,40,2,30,48,0,1,767,19,786,1856
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,510,2,187,238,18,7,18,18,3,8,23,0,17,26,1,1,565,23,588,1319
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,511,2,240,247,17,25,27,22,7,14,34,1,6,26,2,0,668,15,683,1244
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,512,2,211,196,13,13,20,17,4,10,25,2,7,9,0,2,529,11,540,1004
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,513,3,355,331,24,24,35,30,21,8,46,1,8,40,2,0,925,19,944,1940
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,514,2,193,209,19,14,14,23,13,6,42,3,12,23,4,0,575,15,590,1346
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,515,3,363,309,31,53,45,43,14,20,70,1,21,24,6,0,1000,18,1018,2072
