ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,MATEHUALA,156,249,22146,1525,1855,155,780,29843,5475,54,61833,2512,64345,119752,0.5373
24,SAN LUIS POTOSI,2,CERRITOS,146,197,18457,1792,654,428,138,26917,7133,11,55530,2864,58394,84989,0.6871
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,119,202,17019,2863,845,234,332,27129,16440,124,64986,3290,68276,101272,0.6742
24,SAN LUIS POTOSI,4,SALINAS,143,247,22860,6201,910,298,1115,31048,14267,65,76764,4527,81291,122493,0.6636
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,78,221,15909,2736,2235,454,867,16952,20297,693,60143,2520,62663,135456,0.4626
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,104,253,19268,3559,2972,1043,1258,18560,22010,513,69183,3208,72391,150423,0.4812
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,112,261,27909,3525,3480,514,1292,26523,17578,1302,82123,3784,85907,152030,0.5651
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,78,219,17472,3304,2382,588,1174,14499,22789,536,62744,2559,65303,134909,0.4841
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,89,301,19807,3345,2918,712,1416,20945,33314,611,83068,3444,86512,191977,0.4506
24,SAN LUIS POTOSI,10,RIOVERDE,145,236,27888,1763,990,298,693,24144,7367,66,63209,2478,65687,119459,0.5499
24,SAN LUIS POTOSI,11,CARDENAS,129,211,29206,1480,388,83,150,25740,4593,13,61653,2969,64622,98272,0.6576
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,219,23828,1709,1268,483,663,23546,4807,34,56338,1905,58243,123376,0.4721
24,SAN LUIS POTOSI,13,TAMUIN,151,234,31602,3876,2442,616,328,30420,6008,24,75316,3132,78448,115126,0.6814
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,217,31406,4372,612,446,145,33915,3745,77,74718,4175,78893,111502,0.7075
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,212,26770,1016,1789,274,550,29141,10821,24,70385,3974,74359,113598,0.6546
