ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PT,MC,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,132,16852,20297,746,1145,4361,1781,50,45182,1603,46835,75198,0.6228
23,QUINTANA ROO,2,CANCÚN,66,138,6929,14287,1363,903,6363,3304,51,33149,1228,34428,81055,0.4247
23,QUINTANA ROO,3,CANCÚN,60,112,5643,11499,515,562,4125,5520,22,27864,1109,28995,61851,0.4688
23,QUINTANA ROO,4,CANCÚN,62,115,6617,15221,496,736,4200,2964,29,30234,1184,31447,63626,0.4942
23,QUINTANA ROO,5,CANCÚN,80,145,10890,13967,739,1017,5800,2620,84,35033,1582,36699,76928,0.4771
23,QUINTANA ROO,6,CANCÚN,53,114,7965,14589,755,940,5363,3045,48,32657,1374,34079,67707,0.5033
23,QUINTANA ROO,7,CANCÚN,53,120,10800,13000,594,1166,5653,2791,88,34004,1446,35538,71906,0.4942
23,QUINTANA ROO,8,CANCÚN,48,117,11803,12231,432,2357,4049,2025,55,32897,1331,34283,71606,0.4788
23,QUINTANA ROO,9,TULUM,127,208,17021,18867,646,839,9303,1526,43,48202,1797,50042,109016,0.4590
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,12337,10003,460,703,7407,1340,45,32250,1428,33723,79361,0.4249
23,QUINTANA ROO,11,COZUMEL,22,98,20157,15633,265,542,1945,676,16,39218,954,40188,63872,0.6292
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,105,16641,17289,456,205,3128,2698,15,40417,2574,43006,58464,0.7356
23,QUINTANA ROO,13,BACALAR,65,125,12856,19137,4909,426,3510,2192,18,43030,2112,45160,65955,0.6847
23,QUINTANA ROO,14,CHETUMAL,56,122,25032,12960,786,681,4254,1006,27,44719,1184,45930,67894,0.6765
23,QUINTANA ROO,15,CHETUMAL,78,127,23099,11743,657,568,4168,2215,24,42450,1357,43831,68858,0.6365
