CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_COMUNIDAD,COMUNIDAD,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,10,SANTA MARIA TEXCALAC,40,C03,25,84,32,,16,31,4,140,3,11,58,,,,,0,404,12,416,609,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Maria%20Texcalac.pdf
4,29,TLAXCALA,10,SANTA MARIA TEXCALAC,41,B,41,105,27,,17,22,1,130,3,7,85,,,,,0,438,20,458,692,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Maria%20Texcalac.pdf
4,29,TLAXCALA,10,SANTA MARIA TEXCALAC,41,C01,45,112,41,,15,25,2,120,6,11,78,,,,,1,456,12,468,692,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Maria%20Texcalac.pdf
4,29,TLAXCALA,10,SANTA MARIA TEXCALAC,41,C02,34,87,45,,19,26,2,94,2,12,110,,,,,0,431,16,447,692,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Maria%20Texcalac.pdf
4,29,TLAXCALA,10,SANTA MARIA TEXCALAC,41,C03,37,103,34,,17,27,0,155,2,12,91,,,,,0,478,12,490,691,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Maria%20Texcalac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,42,B,102,68,84,2,24,16,24,14,2,13,2,,,,,0,351,20,371,570,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,43,B,33,96,57,4,41,22,9,36,10,30,4,,,,,2,344,12,356,631,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,43,C01,47,92,48,3,42,15,11,18,15,31,10,,,,,0,332,17,349,631,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,43,C02,39,100,62,5,38,24,4,25,15,29,5,,,,,1,347,15,362,631,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
4,29,TLAXCALA,11,SANTA ANITA HUILOAC,43,C03,42,80,56,1,42,17,5,19,11,28,9,,,,,0,310,19,329,631,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Apizaco_PC_Santa%20Anita%20Huiloac.pdf
