CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_COMUNIDAD,COMUNIDAD,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,22,BARRIO DE GUADALUPE,59,B,0,40,45,,,26,,49,,15,,,,,,0,175,8,183,253,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Barrio%20De%20Guadalupe.pdf
4,29,TLAXCALA,22,BARRIO DE GUADALUPE,59,C01,0,44,47,,,20,,79,,20,,,,,,0,210,7,217,286,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Barrio%20De%20Guadalupe.pdf
4,29,TLAXCALA,24,SAN JOSE BUENAVISTA,61,B,12,,22,,1,,,20,,71,,,,,,0,126,13,139,177,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_San%20Jose%20Buenavista.pdf
4,29,TLAXCALA,26,LAZARO CARDENAS,62,B,8,53,52,,125,,,1,,10,,,,,,0,249,13,262,313,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Lazaro%20Cardenas.pdf
4,29,TLAXCALA,27,SAN ANTONIO TECOPILCO,63,B,,116,66,,11,,27,23,,0,,,,,,0,243,7,250,323,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_San%20Antonio%20Tecopilco.pdf
4,29,TLAXCALA,28,SAN JUAN OCOTITLA,64,B,,,94,,,,,9,3,61,,,,,,0,167,5,172,212,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_San%20Juan%20Ocotitla.pdf
4,29,TLAXCALA,29,SAN JOSE PILANCON,65,B,8,65,20,,64,,,27,,4,,,,,,0,188,1,189,212,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_San%20Jose%20Pilancon.pdf
4,29,TLAXCALA,30,XALTITLA,60,B,,,0,,0,,,0,,0,,,,,,0,0,0,0,31,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Xaltitla.pdf
4,29,TLAXCALA,30,XALTITLA,66,B,,,66,,171,,,78,,47,,,,,,0,362,24,386,509,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Xaltitla.pdf
4,29,TLAXCALA,30,XALTITLA,72,B,,,2,,1,,,2,,0,,,,,,0,5,2,7,20,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Xaltitla.pdf
4,29,TLAXCALA,31,MESA REDONDA,67,B,,98,,,,,,67,,0,,,,,,0,165,6,171,204,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Mesa%20Redonda.pdf
4,29,TLAXCALA,32,CONCEPCION HIDALGO,68,B,71,124,118,,4,,,46,1,47,,,,,,0,411,23,434,607,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Concepci%23U00f3n%20Hidalgo.pdf
4,29,TLAXCALA,32,CONCEPCION HIDALGO,68,C01,92,124,118,,3,,,54,1,28,,,,,,0,420,22,442,607,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Concepci%23U00f3n%20Hidalgo.pdf
4,29,TLAXCALA,32,CONCEPCION HIDALGO,68,C02,110,116,118,,8,,,40,1,30,,,,,,1,424,27,451,607,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Concepci%23U00f3n%20Hidalgo.pdf
4,29,TLAXCALA,33,FELIPE CARRILLO PUERTO,69,B,34,37,68,53,2,,,5,,94,,,,,,0,293,13,306,399,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Felipe%20Carrillo%20Puerto.pdf
4,29,TLAXCALA,33,FELIPE CARRILLO PUERTO,69,C01,19,49,78,39,1,,,8,,93,,,,,,0,287,11,298,399,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Felipe%20Carrillo%20Puerto.pdf
4,29,TLAXCALA,34,NEXNOPALA,70,B,45,157,,,,,,149,,28,,,,,,0,379,22,401,518,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Nexnopala.pdf
4,29,TLAXCALA,35,RANCHERIA POCITOS,71,B,8,117,77,,64,70,,3,,2,,,,,,0,341,18,359,439,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Rancheria%20Pocitos.pdf
4,29,TLAXCALA,35,RANCHERIA POCITOS,71,C01,9,107,56,,89,60,,3,,2,,,,,,0,326,9,335,439,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Rancheria%20Pocitos.pdf
4,29,TLAXCALA,36,SANTA MARIA LAS CUEVAS,72,B,80,195,181,,29,,,6,,2,,,,,,0,493,20,513,603,Recuento,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Recuento/Actas_Recuento_Atltzayanca_PC_Santa%20Maria%20Las%20Cuevas.pdf
4,29,TLAXCALA,37,NAZARETH,73,B,,30,40,,,,,84,,23,,,,,,39,216,7,223,252,Acta casilla,,,http://www.itetlax.org.mx/wp-content/uploads/2016/Transparencia/ART67_ITE/Computos%20Totales_i/Computos_Totales_Presidente_de_Comunidad/Actas%20de%20Escrutinio%20y%20Computo/AEYC_Atltzayanca_PC_Nazareth.pdf
