CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,272,C01,106,69,13,3,7,0,1,5,3,2,2,10,1,0,222,10,232,537,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,273,B,101,69,5,8,8,5,3,15,5,4,0,5,1,0,229,4,233,579,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,273,C01,90,75,9,12,16,5,2,19,7,3,2,12,0,0,252,4,256,579,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,274,B,106,62,8,7,11,9,1,6,6,0,5,6,1,0,228,6,234,620,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,274,C01,101,63,6,8,15,2,2,9,4,2,3,15,1,0,231,5,236,620,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,274,C02,104,67,9,5,16,4,1,10,6,1,4,8,1,0,236,11,247,620,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,274,C03,103,63,12,2,10,6,4,10,6,3,1,5,1,0,226,6,232,620,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,274,C04,92,61,9,8,10,7,3,8,2,1,5,7,1,0,214,7,221,619,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,275,B,145,76,4,2,19,1,5,10,5,1,6,8,2,0,284,11,295,746,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,275,C01,139,98,9,9,22,5,7,5,8,4,7,9,0,0,322,18,340,745,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,275,C02,145,88,9,8,21,11,3,5,6,5,4,7,0,1,313,10,323,745,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,276,B,114,98,7,7,18,1,2,8,8,2,8,6,2,0,281,7,288,544,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,276,C01,112,102,8,5,9,2,1,6,5,3,2,10,0,0,265,5,270,543,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,B,81,85,13,7,16,8,0,4,5,2,3,8,0,0,232,5,237,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C01,97,60,14,5,30,5,2,6,9,4,4,11,1,0,248,11,259,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C02,85,91,13,8,19,2,1,10,4,4,1,1,0,0,239,6,245,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C03,95,69,12,7,13,5,5,8,7,1,1,7,1,0,231,9,240,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C04,90,78,15,13,16,6,0,7,6,1,3,3,2,0,240,4,244,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C05,95,83,9,10,16,1,2,10,7,4,3,3,0,0,243,6,249,649,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,277,C06,109,82,10,10,12,5,2,7,7,7,3,7,0,0,261,5,266,648,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,278,B,106,63,9,7,16,1,4,3,4,3,5,6,0,0,227,5,232,510,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,278,C01,125,48,15,6,21,7,4,6,4,4,3,5,0,0,248,9,257,510,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,278,C02,101,54,11,5,11,3,3,13,3,1,7,4,1,0,217,4,221,509,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,279,B,153,86,7,3,21,9,1,9,5,1,2,16,0,0,313,18,331,732,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,279,C01,124,82,8,7,23,4,4,11,9,2,5,15,2,0,296,15,311,731,,,,
2,24,SAN LUIS POTOSI,12,CIUDAD VALLES,13,CIUDAD VALLES,280,B,139,88,9,5,9,9,4,12,8,8,5,8,2,0,306,3,309,675,,,,
