ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,MATEHUALA,156,249,22146,24667,2521,2655,2406,2251,818,1525,1855,155,780,54,61833,2512,64345,119752,0.5373
24,SAN LUIS POTOSI,2,CERRITOS,146,197,18457,18678,7210,1029,3466,2423,1244,1792,654,428,138,11,55530,2864,58394,84989,0.6871
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,119,202,17019,22708,3208,1213,8452,3668,4320,2863,845,234,332,124,64986,3290,68276,101272,0.6742
24,SAN LUIS POTOSI,4,SALINAS,143,247,22860,24104,4632,2312,6164,5516,2587,6201,910,298,1115,65,76764,4527,81291,122493,0.6636
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,78,221,15909,13582,2115,1255,17210,2038,1049,2736,2235,454,867,693,60143,2520,62663,135456,0.4626
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,104,253,19268,13270,3538,1752,18443,2223,1344,3559,2972,1043,1258,513,69183,3208,72391,150423,0.4812
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,112,261,27909,21944,2801,1778,14133,2122,1323,3525,3480,514,1292,1302,82123,3784,85907,152030,0.5651
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,78,219,17472,10594,2513,1392,19161,2004,1624,3304,2382,588,1174,536,62744,2559,65303,134909,0.4841
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,89,301,19807,15965,2982,1998,30016,1900,1398,3345,2918,712,1416,611,83068,3444,86512,191977,0.4506
24,SAN LUIS POTOSI,10,RIOVERDE,145,236,27888,19655,2992,1497,3098,3185,1084,1763,990,298,693,66,63209,2478,65687,119459,0.5499
24,SAN LUIS POTOSI,11,CARDENAS,129,211,29206,21716,1734,2290,1558,2617,418,1480,388,83,150,13,61653,2969,64622,98272,0.6576
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,219,23828,19050,2436,2060,3274,981,552,1709,1268,483,663,34,56338,1905,58243,123376,0.4721
24,SAN LUIS POTOSI,13,TAMUIN,151,234,31602,24765,1972,3683,4308,1174,526,3876,2442,616,328,24,75316,3132,78448,115126,0.6814
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,217,31406,28968,3179,1768,2755,606,384,4372,612,446,145,77,74718,4175,78893,111502,0.7075
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,212,26770,18522,4552,6067,8857,1380,584,1016,1789,274,550,24,70385,3974,74359,113598,0.6546
