ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,1,MATEHUALA,156,249,22146,24046,1900,2035,2328,2173,741,1525,1855,155,780,1862,233,54,61833,2512,64345,119752,0.5373
24,SAN LUIS POTOSI,2,CERRITOS,146,197,18457,18323,6855,675,3357,2314,1135,1792,654,428,138,1064,327,11,55530,2864,58394,84989,0.6871
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,119,202,17019,22396,2896,901,8276,3492,4144,2863,845,234,332,936,528,124,64986,3290,68276,101272,0.6742
24,SAN LUIS POTOSI,4,SALINAS,143,247,22860,23540,4069,1749,5709,5062,2133,6201,910,298,1115,1690,1363,65,76764,4527,81291,122493,0.6636
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,78,221,15909,13339,1872,1012,16838,1667,678,2736,2235,454,867,729,1114,693,60143,2520,62663,135456,0.4626
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,104,253,19268,12856,3124,1339,17931,1712,833,3559,2972,1043,1258,1241,1534,513,69183,3208,72391,150423,0.4812
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,112,261,27909,21476,2334,1311,13669,1658,860,3525,3480,514,1292,1402,1391,1302,82123,3784,85907,152030,0.5651
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,78,219,17472,10235,2154,1033,18552,1395,1015,3304,2382,588,1174,1077,1827,536,62744,2559,65303,134909,0.4841
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,89,301,19807,15650,2668,1684,29641,1525,1024,3345,2918,712,1416,943,1124,611,83068,3444,86512,191977,0.4506
24,SAN LUIS POTOSI,10,RIOVERDE,145,236,27888,19355,2692,1197,2990,3078,977,1763,990,298,693,900,322,66,63209,2478,65687,119459,0.5499
24,SAN LUIS POTOSI,11,CARDENAS,129,211,29206,21061,1079,1636,1463,2523,324,1480,388,83,150,1964,283,13,61653,2969,64622,98272,0.6576
24,SAN LUIS POTOSI,12,CIUDAD VALLES,105,219,23828,18524,1911,1535,3211,919,490,1709,1268,483,663,1576,187,34,56338,1905,58243,123376,0.4721
24,SAN LUIS POTOSI,13,TAMUIN,151,234,31602,24171,1379,3090,4236,1103,455,3876,2442,616,328,1780,214,24,75316,3132,78448,115126,0.6814
24,SAN LUIS POTOSI,14,TANCANHUITZ,119,217,31406,28300,2512,1101,2720,571,350,4372,612,446,145,2002,104,77,74718,4175,78893,111502,0.7075
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,112,212,26770,18180,4210,5726,8695,1218,422,1016,1789,274,550,1025,486,24,70385,3974,74359,113598,0.6546
