ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NA,MORENA,ES,PSD,PMR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,113,217,13510,31877,3875,2812,3711,3287,271,1541,18678,,193,,,79755,4,3345,83104,105398,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,70,192,4095,4659,1367,4846,2580,1826,440,24283,27778,1977,208,195,,74254,9,3023,77286,110258,
20,OAXACA,3,LOMA BONITA,87,200,5192,15802,10093,1427,2569,918,1553,4179,31700,2433,555,1136,,77557,10,3201,80768,105507,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,119,220,3003,18410,5803,1551,2811,780,2402,4060,27798,1167,2173,,,69958,26,4662,74646,106538,
20,OAXACA,5,ASUNCION NOCHIXTLAN,166,269,3533,15482,5851,1737,8561,1170,3374,1588,23405,1295,2387,1540,,69923,20,3463,73406,111965,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,156,254,9066,17536,5470,2219,3651,862,2447,1326,24664,1134,593,1239,,70207,66,3531,73804,120044,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,109,227,2115,11792,10950,1417,3560,1075,1523,740,31939,2598,,2123,,69832,14,4877,74723,117328,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,128,233,1861,9988,12832,2545,4088,1190,1956,1487,27235,1420,652,638,,65892,33,4303,70228,110309,
20,OAXACA,9,IXTLAN DE JUAREZ,127,228,4646,10059,1956,1533,4845,1629,1415,1274,33020,1703,720,1542,,64342,26,3046,67414,108193,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,81,187,4004,9447,1274,768,7323,752,399,677,22428,1252,,259,,48583,10,2917,51510,94102,
20,OAXACA,11,MATIAS ROMERO AVENDAÑO,121,258,3998,19854,10738,3644,5094,3403,849,1719,32290,1412,1143,663,,84807,11,3989,88807,125587,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,62,186,5194,10257,1995,2079,4600,1646,1800,1538,37520,1949,820,2236,,71634,36,2591,74261,114262,
20,OAXACA,13,OAXACA DE JUAREZ ZONA SUR,75,218,8527,11818,2249,1917,4645,1323,1697,1073,42633,2060,1067,2759,,81768,66,3060,84894,128612,
20,OAXACA,14,OAXACA DE JUAREZ ZONA NORTE,78,222,12045,13636,1771,3286,3960,1447,1785,1487,40873,1780,643,2209,,84922,52,3486,88460,127988,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,40,194,4115,7480,11530,1822,3680,1287,6499,1151,39865,1689,1439,1889,,82446,17,3341,85804,126993,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,103,217,7549,12224,12098,1629,4194,1764,1217,1618,30057,2069,1041,,,75460,16,4104,79580,118087,
20,OAXACA,17,TLACOLULA DE MATAMOROS,120,247,6392,11319,2099,3180,8513,1208,718,1276,31068,1999,338,3119,,71229,20,3556,74805,128676,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,90,195,1659,11935,4880,1917,7129,1708,3398,1824,31417,1572,349,883,,68671,11,2917,71599,101339,
20,OAXACA,19,SALINA CRUZ,86,215,2858,17215,2599,5633,4251,1760,963,1065,44610,1392,217,947,605,84115,20,3074,87209,122668,
20,OAXACA,20,HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA,88,207,2218,21669,5365,2196,2665,1537,3320,1289,27354,952,3646,1052,,73263,72,5849,79184,114231,
20,OAXACA,21,HEROICA CIUDAD DE EJUTLA DE CRESPO,91,184,8372,9969,3139,1222,3256,709,1057,1103,25244,1598,524,381,,56574,14,3501,60089,98112,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,101,226,2711,23011,18571,1930,2197,1441,1666,3270,29014,938,452,,,85201,7,3825,89033,123350,
20,OAXACA,23,SAN PEDRO MIXTEPEC,62,201,2472,18983,1542,1486,5621,1531,2276,1839,34737,1517,138,255,,72397,33,2988,75418,112896,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,107,217,5986,13529,1281,1748,3338,1020,7777,2731,23977,2322,,436,,64145,21,4480,68646,111999,
20,OAXACA,25,SAN PEDRO POCHUTLA,63,200,4383,11873,3431,2535,4015,3357,2735,3865,32151,2507,864,2368,,74084,7,3813,77904,116464,
