Municipio,SECCION,CASILLAS,TOTAL,PAN,PRI,PRD,PVEM,DS,ADC,PRD-PAN,NO REG.,NULOS
ARMERIA,170,170 B,301,,135,,9,,0,147,0,10
ARMERIA,170,170 C,300,,143,,4,,0,146,0,7
ARMERIA,171,171 B,344,,93,,12,,0,233,0,6
ARMERIA,171,171 C,356,,102,,10,,0,228,0,16
ARMERIA,172,172 B,253,,98,,3,,0,145,0,7
ARMERIA,172,172 C,249,,95,,6,,0,140,0,8
ARMERIA,173,173 B,392,,152,,18,,0,214,0,8
ARMERIA,173,173 C,378,,133,,12,,0,227,0,6
ARMERIA,174,174 B,305,,103,,9,,0,184,0,9
ARMERIA,174,174 C,293,,81,,6,,0,204,0,2
ARMERIA,175,175 B,414,,158,,9,,0,235,0,12
ARMERIA,176,176 B,285,,91,,23,,0,157,0,14
ARMERIA,176,176 C,310,,127,,28,,0,149,0,6
ARMERIA,177,177 B,336,,143,,23,,0,147,0,23
ARMERIA,177,177 C,347,,140,,28,,2,165,0,12
ARMERIA,178,178 B,302,,116,,14,,0,156,0,16
ARMERIA,178,178 C,284,,107,,12,,0,150,0,15
ARMERIA,179,179 B,250,,93,,3,,3,141,0,10
ARMERIA,179,179 C,261,,119,,11,,0,122,0,9
ARMERIA,180,180 B,225,,99,,6,,0,117,0,3
ARMERIA,180,180 C,247,,135,,9,,0,90,0,13
ARMERIA,181,181 B,269,,112,,22,,0,120,0,15
ARMERIA,181,181 C,277,,113,,16,,0,138,0,10
ARMERIA,182,182 B,274,,132,,12,,0,123,0,7
ARMERIA,182,182 C,266,,123,,12,,0,117,0,14
ARMERIA,183,183 B,381,,179,,11,,7,170,0,14
ARMERIA,184,184 B,238,,134,,13,,4,77,0,10
ARMERIA,185,185 B,337,,148,,18,,0,154,0,17
ARMERIA,186,186 B,291,,132,,15,,0,133,0,11
ARMERIA,186,186 C,285,,141,,15,,1,123,0,5
ARMERIA,187,187 B,252,,98,,11,,0,133,0,10
ARMERIA,187,187 C,227,,106,,8,,3,101,0,9
ARMERIA,188,188 B,285,,138,,9,,2,125,0,11
ARMERIA,188,188 C,289,,153,,11,,0,112,0,13
ARMERIA,189,189 B,201,,94,,2,,0,93,0,12
ARMERIA,190,190 B,261,,119,,10,,0,121,1,10
,,,,,,,,,,,,
COLIMA,1,1 B,453,184,93,32,0,,138,,0,6
COLIMA,1,1 C1,437,176,81,20,2,,154,,0,4
COLIMA,1,1 C2,447,184,68,20,5,,167,,0,3
