"","uniqueid","year","total","mun","turnout","listanominal","pri","morena","prd","pan"
"1",1001,1977,64466,"AGUASCALIENTES",0.433064624479377,"148860",64466,0,0,0
"2",1001,1980,69903,"AGUASCALIENTES",0.54625801964569,"127967",54866,0,0,7984
"3",1001,1983,114479,"AGUASCALIENTES",0.586215019074686,"195285",71747,0,0,36145
"4",1001,1986,142030,"AGUASCALIENTES",0.62649698947972,"226705",96758,0,519,30425
"5",1001,1989,88659,"AGUASCALIENTES",0.374317620485107,"236855",57852,0,1857,24822
"6",1001,1992,131985,"AGUASCALIENTES",0.586368058856719,"225089",92359,0,4071,29563
"7",1001,1995,174374,"AGUASCALIENTES",0.585548496286048,"297796",56775,0,13814,92863
"8",1001,1998,243515,"AGUASCALIENTES",0.676210787049764,"360117",88917,0,17014,130616
"9",1001,2001,159520,"AGUASCALIENTES",0.387813250610213,"411332",54100,0,11046,79398
"10",1001,2004,229896,"AGUASCALIENTES",0.502110911874616,"457859",107802,0,9971,112123
"11",1001,2007,201007,"AGUASCALIENTES",0.397991105901547,"505054",69266,0,8771,63536
"12",1001,2010,283504,"AGUASCALIENTES",0.521778180225346,"543342",160119,0,5013,99333
"13",1001,2013,239292,"AGUASCALIENTES",0.418022563142209,"572438",82051,0,6153,94879
"14",1001,2016,285784,"AGUASCALIENTES",0.471576751845655,"606018",92280,10153,11443,117189
"15",1001,2019,210350,"AGUASCALIENTES",0.323003665366053,"651231",14146,52944,17514,111404
"16",1001,2021,314680,"AGUASCALIENTES",0.460981115712588,"682631",20162,80565,176952,176952
"17",1001,2024,416604,"AGUASCALIENTES",0.568707724440137,"732545",255357,113040,255357,255357
"18",1002,1977,6034,"ASIENTOS",0.593080401022213,"10174",6034,0,0,0
"19",1002,1980,5843,"ASIENTOS",0.585295001502554,"9983",5812,0,0,0
"20",1002,1983,7542,"ASIENTOS",0.646438673180766,"11667",6341,0,0,1114
"21",1002,1986,11596,"ASIENTOS",0.812158565625438,"14278",10500,0,0,233
"22",1002,1989,8339,"ASIENTOS",0.539008467455239,"15471",7953,0,31,116
"23",1002,1992,7276,"ASIENTOS",0.504472023850794,"14423",5445,0,633,421
"24",1002,1995,9279,"ASIENTOS",0.55867300860979,"16609",5612,0,609,2699
"25",1002,1998,12262,"ASIENTOS",0.626635322976288,"19568",5519,0,668,5826
"26",1002,2001,11906,"ASIENTOS",0.543206496943152,"21918",4064,0,510,3572
"27",1002,2004,14462,"ASIENTOS",0.606042827808742,"23863",3754,0,3879,6829
"28",1002,2007,15189,"ASIENTOS",0.576760964495918,"26335",7011,0,269,5545
"29",1002,2010,17145,"ASIENTOS",0.59323206809453,"28901",8255,0,232,7515
"30",1002,2013,20056,"ASIENTOS",0.657573770491803,"30500",6003,0,239,4744
"31",1002,2016,20692,"ASIENTOS",0.642788356994191,"32191",11782,366,278,7130
"32",1002,2019,21802,"ASIENTOS",0.631960346676715,"34499",3687,9585,178,6848
"33",1002,2021,23395,"ASIENTOS",0.645896027166561,"36221",641,12586,7839,7839
"34",1002,2024,24185,"ASIENTOS",0.623758801227658,"38773",14766,8116,14766,14766
"35",1003,1977,8483,"CALVILLO",0.612889242106784,"13841",8483,0,0,0
"36",1003,1980,5651,"CALVILLO",0.423899182356912,"13331",5252,0,0,270
"37",1003,1983,9154,"CALVILLO",0.551877976728763,"16587",4583,0,0,934
"38",1003,1986,8059,"CALVILLO",0.453772522522523,"17760",4231,0,2,425
"39",1003,1989,5933,"CALVILLO",0.299707011517478,"19796",3905,0,94,1868
"40",1003,1992,11134,"CALVILLO",0.533390821117179,"20874",5913,0,120,4916
"41",1003,1995,13584,"CALVILLO",0.547940784962285,"24791",5628,0,296,7373
"42",1003,1998,16085,"CALVILLO",0.558623324303674,"28794",6501,0,1430,7674
"43",1003,2001,15829,"CALVILLO",0.485194948504169,"32624",7196,0,1573,5119
"44",1003,2004,15004,"CALVILLO",0.423997513211066,"35387",3321,0,4231,7452
"45",1003,2007,16401,"CALVILLO",0.424588381484933,"38628",4875,0,4837,5538
"46",1003,2010,20625,"CALVILLO",0.481554984823722,"42830",7950,0,5052,5710
"47",1003,2013,20854,"CALVILLO",0.480584426059503,"43393",5894,0,951,10661
"48",1003,2016,23412,"CALVILLO",0.532078816390537,"44001",7281,326,2048,12334
"49",1003,2019,20251,"CALVILLO",0.431616189603359,"46919",770,3453,342,8752
"50",1003,2021,24066,"CALVILLO",0.497580945292147,"48366",1444,4256,10568,10568
"51",1003,2024,25599,"CALVILLO",0.50446349394029,"50745",15690,7663,15690,15690
"52",1004,1977,2347,"COSIO",0.605833763551884,"3874",2347,0,0,0
"53",1004,1980,1766,"COSIO",0.54371921182266,"3248",1715,0,0,0
"54",1004,1983,2385,"COSIO",0.585276073619632,"4075",2018,0,0,52
