uniqueid,year,total,mun,magar_turnout,listanominal,pri,morena,prd,pan
1001,1977,64466,AGUASCALIENTES,0.4330646244793766,148860,64466,0,0,0
1001,1980,69903,AGUASCALIENTES,0.5462580196456899,127967,54866,0,0,7984
1001,1983,114479,AGUASCALIENTES,0.5862150190746858,195285,71747,0,0,36145
1001,1986,142030,AGUASCALIENTES,0.6264969894797203,226705,96758,0,519,30425
1001,1989,88659,AGUASCALIENTES,0.3743176204851069,236855,57852,0,1857,24822
1001,1992,131985,AGUASCALIENTES,0.5863680588567189,225089,92359,0,4071,29563
1001,1995,174374,AGUASCALIENTES,0.5855484962860482,297796,56775,0,13814,92863
1001,1998,243515,AGUASCALIENTES,0.6762107870497643,360117,88917,0,17014,130616
1001,2001,159520,AGUASCALIENTES,0.38781325061021266,411332,54100,0,11046,79398
1001,2004,229896,AGUASCALIENTES,0.5021109118746164,457859,107802,0,9971,112123
1001,2007,201007,AGUASCALIENTES,0.3979911059015472,505054,69266,0,8771,63536
1001,2010,283504,AGUASCALIENTES,0.52177818022534606,543342,160119,0,5013,99333
1001,2013,239292,AGUASCALIENTES,0.4180225631422093,572438,82051,0,6153,94879
1001,2016,285784,AGUASCALIENTES,0.47157675184565473,606018,92280,10153,11443,117189
1001,2019,210350,AGUASCALIENTES,0.3230036653660529,651231,14146,52944,17514,111404
1001,2021,314680,AGUASCALIENTES,0.4609811157125885,682631,20162,80565,176952,176952
1001,2024,416604,AGUASCALIENTES,0.5687077244401367,732545,255357,113040,255357,255357
1002,1977,6034,ASIENTOS,0.5930804010222135,10174,6034,0,0,0
1002,1980,5843,ASIENTOS,0.5852950015025543,9983,5812,0,0,0
1002,1983,7542,ASIENTOS,0.6464386731807663,11667,6341,0,0,1114
1002,1986,11596,ASIENTOS,0.8121585656254378,14278,10500,0,0,233
1002,1989,8339,ASIENTOS,0.5390084674552388,15471,7953,0,31,116
1002,1992,7276,ASIENTOS,0.5044720238507938,14423,5445,0,633,421
1002,1995,9279,ASIENTOS,0.5586730086097899,16609,5612,0,609,2699
1002,1998,12262,ASIENTOS,0.6266353229762878,19568,5519,0,668,5826
1002,2001,11906,ASIENTOS,0.5432064969431517,21918,4064,0,510,3572
1002,2004,14462,ASIENTOS,0.6060428278087415,23863,3754,0,3879,6829
1002,2007,15189,ASIENTOS,0.576760964495918,26335,7011,0,269,5545
1002,2010,17145,ASIENTOS,0.5932320680945296,28901,8255,0,232,7515
1002,2013,20056,ASIENTOS,0.6575737704918033,30500,6003,0,239,4744
1002,2016,20692,ASIENTOS,0.6427883569941909,32191,11782,366,278,7130
1002,2019,21802,ASIENTOS,0.6319603466767153,34499,3687,9585,178,6848
1002,2021,23395,ASIENTOS,0.6458960271665608,36221,641,12586,7839,7839
1002,2024,24185,ASIENTOS,0.6237588012276585,38773,14766,8116,14766,14766
1003,1977,8483,CALVILLO,0.6128892421067842,13841,8483,0,0,0
1003,1980,5651,CALVILLO,0.4238991823569125,13331,5252,0,0,270
1003,1983,9154,CALVILLO,0.5518779767287635,16587,4583,0,0,934
1003,1986,8059,CALVILLO,0.45377252252252254,17760,4231,0,2,425
1003,1989,5933,CALVILLO,0.2997070115174783,19796,3905,0,94,1868
1003,1992,11134,CALVILLO,0.5333908211171793,20874,5913,0,120,4916
1003,1995,13584,CALVILLO,0.5479407849622847,24791,5628,0,296,7373
1003,1998,16085,CALVILLO,0.5586233243036743,28794,6501,0,1430,7674
1003,2001,15829,CALVILLO,0.4851949485041687,32624,7196,0,1573,5119
1003,2004,15004,CALVILLO,0.4239975132110662,35387,3321,0,4231,7452
1003,2007,16401,CALVILLO,0.4245883814849332,38628,4875,0,4837,5538
1003,2010,20625,CALVILLO,0.48155498482372167,42830,7950,0,5052,5710
1003,2013,20854,CALVILLO,0.4805844260595027,43393,5894,0,951,10661
1003,2016,23412,CALVILLO,0.5320788163905366,44001,7281,326,2048,12334
1003,2019,20251,CALVILLO,0.43161618960335896,46919,770,3453,342,8752
1003,2021,24066,CALVILLO,0.49758094529214736,48366,1444,4256,10568,10568
1003,2024,25599,CALVILLO,0.5044634939402897,50745,15690,7663,15690,15690
1004,1977,2347,COSIO,0.6058337635518843,3874,2347,0,0,0
1004,1980,1766,COSIO,0.5437192118226601,3248,1715,0,0,0
1004,1983,2385,COSIO,0.5852760736196319,4075,2018,0,0,52
1004,1986,3773,COSIO,0.824339086738038,4577,3406,0,0,14
1004,1989,3210,COSIO,0.6253652834599649,5133,2160,0,9,10
1004,1992,3458,COSIO,0.6768447837150128,5109,3132,0,31,17
1004,1995,4454,COSIO,0.7187348717121188,6197,2115,0,23,2120
1004,1998,5142,COSIO,0.7221910112359551,7120,2574,0,134,2260
1004,2001,5314,COSIO,0.6784118473126516,7833,2633,0,238,2078
1004,2004,5575,COSIO,0.6492372190520554,8587,1936,0,1095,2544
1004,2007,5997,COSIO,0.6383862039599745,9394,2501,0,219,1751
1004,2010,6433,COSIO,0.6356719367588933,10120,3267,0,99,1749
1004,2013,7327,COSIO,0.6929260450160771,10574,3427,0,101,1907
1004,2016,7635,COSIO,0.7007801743919229,10895,1895,218,83,929
1004,2019,8237,COSIO,0.7041374593947684,11698,2289,160,0,650
1004,2021,9212,COSIO,0.7543399934490664,12212,2293,151,2329,2329
1004,2024,9013,COSIO,0.7028228321896444,12824,3249,503,3249,3249
1005,1977,3462,JESUS MARIA,0.3635790800252048,9522,3137,0,0,325
1005,1980,2247,JESUS MARIA,0.2651327433628319,8475,1919,0,0,307
1005,1983,6241,JESUS MARIA,0.5498193991718792,11351,3613,0,0,2535
1005,1986,6584,JESUS MARIA,0.4915266890630832,13395,4065,0,2,1586
1005,1989,5894,JESUS MARIA,0.38743180174850456,15213,4020,0,6,1826
1005,1992,10616,JESUS MARIA,0.5901384179220635,17989,7243,0,29,3241
1005,1995,13016,JESUS MARIA,0.5639026080928863,23082,6864,0,238,5429
1005,1998,18182,JESUS MARIA,0.640820498361118,28373,6609,0,438,10793
1005,2001,16478,JESUS MARIA,0.48081468296810714,34271,8583,0,511,6036
1005,2004,20276,JESUS MARIA,0.4938500133960104,41057,8529,0,2503,9244
1005,2007,20828,JESUS MARIA,0.43400708480933525,47990,9980,0,1385,7340
1005,2010,28030,JESUS MARIA,0.5053910785763225,55462,14660,0,909,10725
1005,2013,29337,JESUS MARIA,0.4596258695243467,63828,9832,0,543,14296
1005,2016,34972,JESUS MARIA,0.4832455885807459,72369,13171,1095,922,16009
1005,2019,28209,JESUS MARIA,0.3451233238719781,81736,1477,3165,458,12171
1005,2021,44059,JESUS MARIA,0.4992690969664691,88247,3786,13010,22746,22746
1005,2024,55564,JESUS MARIA,0.5629128338128622,98708,37100,12230,37100,37100
1006,1977,4399,PABELLON DE ARTEAGA,0.48564804592625305,9058,4399,0,0,0
1006,1980,3687,PABELLON DE ARTEAGA,0.4148756610779791,8887,3544,0,0,8
1006,1983,5720,PABELLON DE ARTEAGA,0.5721716514954487,9997,4385,0,0,1248
1006,1986,5064,PABELLON DE ARTEAGA,0.4386314421827631,11545,4004,0,34,702
1006,1989,5801,PABELLON DE ARTEAGA,0.4517560937621681,12841,4047,0,64,1448
1006,1992,7184,PABELLON DE ARTEAGA,0.5830222366498945,12322,4269,0,31,2641
1006,1995,9301,PABELLON DE ARTEAGA,0.6248152626629048,14886,4705,0,389,3895
1006,1998,11600,PABELLON DE ARTEAGA,0.6557377049180327,17690,6804,0,1948,2527
1006,2001,11493,PABELLON DE ARTEAGA,0.5644891944990177,20360,5278,0,1263,3881
1006,2004,12844,PABELLON DE ARTEAGA,0.5700843320017754,22530,4738,0,3123,4983
1006,2007,13487,PABELLON DE ARTEAGA,0.5468293869607526,24664,3312,0,3792,3960
1006,2010,15318,PABELLON DE ARTEAGA,0.5796125321628576,26428,7290,0,2862,3153
1006,2013,17557,PABELLON DE ARTEAGA,0.6307299899410835,27836,5650,0,2686,764
1006,2016,17996,PABELLON DE ARTEAGA,0.6152688980819857,29249,5125,239,8085,2510
1006,2019,17121,PABELLON DE ARTEAGA,0.5466300565116057,31321,457,3723,9298,1640
1006,2021,18025,PABELLON DE ARTEAGA,0.5513918629550322,32690,7023,3871,5718,5718
1006,2024,21120,PABELLON DE ARTEAGA,0.6116951950647319,34527,8118,4768,8118,8118
1007,1977,4538,RINCON DE ROMOS,0.41717227431513143,10878,4538,0,0,0
1007,1980,4997,RINCON DE ROMOS,0.4459218275923612,11206,4947,0,0,4
1007,1983,6351,RINCON DE ROMOS,0.5196367206676485,12222,4485,0,0,60
1007,1986,4993,RINCON DE ROMOS,0.38360479409956977,13016,4105,0,1,94
1007,1989,5450,RINCON DE ROMOS,0.37112700034048346,14685,4671,0,34,86
1007,1992,7796,RINCON DE ROMOS,0.4860046131787295,16041,5401,0,156,197
1007,1995,11276,RINCON DE ROMOS,0.5993727741455377,18813,4466,0,477,5912
1007,1998,13764,RINCON DE ROMOS,0.6237368015588889,22067,6253,0,2005,5176
1007,2001,13469,RINCON DE ROMOS,0.5422084457147458,24841,3746,0,782,1572
1007,2004,12578,RINCON DE ROMOS,0.4651283189113231,27042,5936,0,2766,3876
1007,2007,14057,RINCON DE ROMOS,0.47579880855672896,29544,2336,0,518,5252
1007,2010,16589,RINCON DE ROMOS,0.5244372787051087,31632,6904,0,1815,2382
1007,2013,18702,RINCON DE ROMOS,0.5513886431983018,33918,2986,0,1948,2687
1007,2016,19773,RINCON DE ROMOS,0.5586855786618445,35392,7829,526,308,7470
1007,2019,16005,RINCON DE ROMOS,0.4233007140967998,37810,984,963,145,5487
1007,2021,20471,RINCON DE ROMOS,0.5178467531810478,39531,1522,5760,4040,4040
1007,2024,23243,RINCON DE ROMOS,0.5592098931767876,41564,9125,9830,9125,9125
1008,1977,1753,SAN JOSE DE GRACIA,0.7143439282803586,2454,1753,0,0,0
1008,1980,1486,SAN JOSE DE GRACIA,0.6675651392632524,2226,1415,0,0,0
1008,1983,2345,SAN JOSE DE GRACIA,0.8964067278287462,2616,2219,0,0,40
1008,1986,3023,SAN JOSE DE GRACIA,0.9512271869100063,3178,2954,0,3,32
1008,1989,2234,SAN JOSE DE GRACIA,0.6240223463687151,3580,1851,0,15,19
1008,1992,2395,SAN JOSE DE GRACIA,0.7430964939497363,3223,1622,0,15,17
1008,1995,2271,SAN JOSE DE GRACIA,0.6156139875304961,3689,1175,0,148,15
1008,1998,3044,SAN JOSE DE GRACIA,0.7196217494089835,4230,1135,0,108,780
1008,2001,3023,SAN JOSE DE GRACIA,0.654187405323523,4621,838,0,211,854
1008,2004,3307,SAN JOSE DE GRACIA,0.656281008136535,5039,862,0,879,1566
1008,2007,3681,SAN JOSE DE GRACIA,0.6770277726687511,5437,928,0,687,1036
1008,2010,4071,SAN JOSE DE GRACIA,0.696969696969697,5841,1793,0,122,865
1008,2013,4803,SAN JOSE DE GRACIA,0.7623809523809524,6300,1149,0,51,245
1008,2016,4890,SAN JOSE DE GRACIA,0.7506908197727971,6514,1503,335,258,1882
1008,2019,5008,SAN JOSE DE GRACIA,0.7203682393555811,6952,240,1289,0,2573
1008,2021,5337,SAN JOSE DE GRACIA,0.7301956491996169,7309,649,768,1257,1257
1008,2024,5576,SAN JOSE DE GRACIA,0.716893803034199,7778,2839,437,2839,2839
1009,1977,3271,TEPEZALA,0.6150808574652125,5318,3271,0,0,0
1009,1980,2383,TEPEZALA,0.5038054968287526,4730,2337,0,0,0
1009,1983,2879,TEPEZALA,0.4987872487872488,5772,2291,0,0,90
1009,1986,5855,TEPEZALA,0.9483317136378361,6174,5262,0,0,8
1009,1989,3495,TEPEZALA,0.5027330264672036,6952,2431,0,10,60
1009,1992,3792,TEPEZALA,0.5938919342208301,6385,3195,0,13,213
1009,1995,4804,TEPEZALA,0.6194713088330109,7755,2362,0,85,2189
1009,1998,6077,TEPEZALA,0.6664107906568703,9119,2415,0,283,3295
1009,2001,5678,TEPEZALA,0.5680840420210105,9995,2546,0,1385,1620
1009,2004,6620,TEPEZALA,0.6026399635867091,10985,2567,0,931,3122
1009,2007,7261,TEPEZALA,0.5996861579121242,12108,2701,0,199,2767
1009,2010,8214,TEPEZALA,0.6284140463621758,13071,3396,0,513,2627
1009,2013,9572,TEPEZALA,0.6873967684021544,13925,3061,0,1092,916
1009,2016,10140,TEPEZALA,0.7021188201080183,14442,2295,178,225,3554
1009,2019,10783,TEPEZALA,0.6933959230917626,15551,2376,761,1607,2609
1009,2021,11490,TEPEZALA,0.7017651010810481,16373,130,1363,4626,4626
1009,2024,11765,TEPEZALA,0.6738258877434136,17460,9213,1830,9213,9213
1010,1992,3607,LLANO--EL,0.5922824302134647,6090,3088,0,78,115
1010,1995,4274,LLANO--EL,0.5860414095708213,7293,2822,0,354,873
1010,1998,5452,LLANO--EL,0.6490476190476191,8400,3375,0,142,1821
1010,2001,5950,LLANO--EL,0.6442880346507851,9235,2975,0,219,1424
1010,2004,6301,LLANO--EL,0.6247273448344239,10086,2697,0,490,3114
1010,2007,7039,LLANO--EL,0.6363225456517809,11062,2919,0,200,1771
1010,2010,7683,LLANO--EL,0.6253459221878561,12286,3158,0,124,1442
1010,2013,8761,LLANO--EL,0.6628082917234075,13218,3306,0,119,440
1010,2016,9636,LLANO--EL,0.6830167280975333,14108,3788,77,2402,1998
1010,2019,10322,LLANO--EL,0.6798392939471778,15183,1906,618,1668,511
1010,2021,10788,LLANO--EL,0.6758551559954893,15962,175,3916,2678,2678
1010,2024,11098,LLANO--EL,0.6524397413286303,17010,2950,4380,2950,2950
1011,1992,3981,SAN FRANCISCO DE LOS ROMO,0.5758715463619268,6913,3450,0,46,277
1011,1995,5056,SAN FRANCISCO DE LOS ROMO,0.5924537145535506,8534,2943,0,197,1733
1011,1998,6566,SAN FRANCISCO DE LOS ROMO,0.6396492937165125,10265,2944,0,185,3292
1011,2001,5751,SAN FRANCISCO DE LOS ROMO,0.47773716564213325,12038,2402,0,1265,1754
1011,2004,8154,SAN FRANCISCO DE LOS ROMO,0.5627717578852923,14489,2843,0,1846,3465
1011,2007,9404,SAN FRANCISCO DE LOS ROMO,0.5119216113228089,18370,3032,0,575,1625
1011,2010,11004,SAN FRANCISCO DE LOS ROMO,0.5225567480292526,21058,5849,0,168,3194
1011,2013,12435,SAN FRANCISCO DE LOS ROMO,0.5080694586312564,24475,4769,0,249,2437
