ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PODEMOS,MAS_X_HIDALGO,NVA_ALIANZA,ESH,PAN_PRD,PVEM_PT_MORENA_ESH,PVEM_PT_MORENA,PVEM_PT_ESH,PVEM_PT,PVEM_MORENA,PVEM_ESH,PVEM_MORENA_ESH,PT_MORENA_ESH,PT_MORENA,PT_ESH,MORENA_ESH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,TRIBUNAL,OBSERVACIONES
13,HIDALGO,9,METEPEC,1,ACATLAN,1,B,1,0,B,60,118,0,,5,,10,5,,73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,0,4,277,506,,
13,HIDALGO,9,METEPEC,1,ACATLAN,1,C,1,0,C01,68,87,3,,13,,5,7,,94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,0,6,284,506,,
13,HIDALGO,9,METEPEC,1,ACATLAN,1,C,2,0,C02,71,100,0,,14,,7,5,,78,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,0,3,282,505,,
13,HIDALGO,9,METEPEC,1,ACATLAN,2,B,1,0,B,102,86,1,,7,,7,4,,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0,7,313,489,,
13,HIDALGO,9,METEPEC,1,ACATLAN,2,C,1,0,C01,93,83,0,,1,,9,13,,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,0,6,315,489,,
13,HIDALGO,9,METEPEC,1,ACATLAN,3,B,1,0,B,12,89,0,,2,,8,3,,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,0,8,201,276,,
13,HIDALGO,9,METEPEC,1,ACATLAN,4,B,1,0,B,30,80,0,,3,,1,2,,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,0,4,181,260,,
13,HIDALGO,9,METEPEC,1,ACATLAN,5,B,1,0,B,99,119,1,,8,,13,2,,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,0,4,453,706,,
13,HIDALGO,9,METEPEC,1,ACATLAN,5,E,1,0,E01,35,41,0,,0,,2,0,,94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,0,3,176,253,,
13,HIDALGO,9,METEPEC,1,ACATLAN,6,B,1,0,B,27,82,1,,3,,13,3,,89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,0,1,219,343,,
13,HIDALGO,9,METEPEC,1,ACATLAN,6,E,1,0,E01,77,67,0,,5,,20,1,,125,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,0,6,303,448,,
13,HIDALGO,9,METEPEC,1,ACATLAN,6,E,1,1,E01C01,59,76,0,,5,,14,4,,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,0,3,259,448,,
