DISTRITO,MUNICIPIO,SECCION,TIPO DE CASILLA,PAN,PRI,PRD,PT,PDP,"NO 
REGISTRADOS",NULOS,TOTAL EMITIDA,TOTAL EFECTIVA,Anulada
I,ZACATECAS,1772,BASICA,54,74,121,14,0,0,5,268,263,
I,ZACATECAS,1772,CONTIGUA,43,76,128,8,0,0,2,257,255,
I,ZACATECAS,1773,BASICA,74,89,151,32,0,0,3,349,346,
I,ZACATECAS,1773,CONTIGUA,86,90,148,22,0,0,8,354,346,
I,ZACATECAS,1774,BASICA,56,75,169,12,0,0,9,321,312,
I,ZACATECAS,1774,CONTIGUA,45,68,154,15,0,0,12,294,282,
I,ZACATECAS,1775,BASICA,83,70,136,16,0,0,4,309,305,
I,ZACATECAS,1775,CONTIGUA,75,69,167,10,0,0,9,330,321,
I,ZACATECAS,1776,BASICA,81,122,197,17,0,0,8,425,417,
I,ZACATECAS,1777,BASICA,204,104,201,8,0,0,0,517,517,
I,ZACATECAS,1778,BASICA,74,78,146,17,0,0,2,317,315,
I,ZACATECAS,1778,CONTIGUA,88,82,146,10,0,0,7,333,326,
I,ZACATECAS,1779,BASICA,60,90,139,16,0,0,7,312,305,
I,ZACATECAS,1779,CONTIGUA,60,77,152,18,0,0,2,309,307,
I,ZACATECAS,1780,BASICA,142,136,212,12,0,0,6,508,502,
I,ZACATECAS,1781,BASICA,112,144,161,28,0,0,6,451,445,
I,ZACATECAS,1782,BASICA,98,147,158,23,0,0,14,440,426,
I,ZACATECAS,1783,BASICA,62,73,130,9,0,0,3,277,274,
I,ZACATECAS,1783,CONTIGUA,64,77,124,20,0,0,0,285,285,
I,ZACATECAS,1784,BASICA,116,87,223,15,0,0,8,449,441,
I,ZACATECAS,1785,BASICA,127,115,245,14,0,0,0,501,501,
I,ZACATECAS,1786,BASICA,125,99,144,12,0,0,5,385,380,
I,ZACATECAS,1787,BASICA,119,118,104,21,0,0,0,362,362,
I,ZACATECAS,1788,BASICA,118,109,199,20,0,4,2,452,446,
I,ZACATECAS,1789,BASICA,61,105,115,14,0,0,13,308,295,
I,ZACATECAS,1789,CONTIGUA,67,110,129,15,0,0,9,330,321,
I,ZACATECAS,1790,BASICA,99,135,250,17,0,0,11,512,501,
I,ZACATECAS,1791,BASICA,42,56,166,14,0,0,3,281,278,
I,ZACATECAS,1791,CONTIGUA,51,56,154,9,0,0,5,275,270,
I,ZACATECAS,1792,BASICA,58,66,169,11,0,0,2,306,304,
