id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,Seccion,PAN,PRI,PRD-PC,PT,PVEM,PANAL,PAS,Nulos,Total
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,462,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,63,116,45,5,1,15,1,7,253
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,564,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,2,81,105,60,2,1,16,1,3,269
32,1/7/2007,12,Ayuntamientos,32,0,1,C,Contigua,0,1,APOZOL,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,73,82,50,2,1,46,0,5,259
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,471,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,75,90,56,5,1,21,0,3,251
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,439,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,79,60,60,4,2,28,0,4,237
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,428,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,85,24,44,6,1,29,0,5,194
32,1/7/2007,12,Ayuntamientos,32,0,1,C,Contigua,0,1,APOZOL,406,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,71,60,26,3,1,24,0,2,187
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,405,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,52,78,33,5,2,24,0,2,196
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,321,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,50,66,5,1,0,1,1,2,126
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,640,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,8,48,120,95,3,2,25,1,18,312
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,205,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,19,60,7,3,1,5,0,6,101
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,332,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,60,74,30,0,1,24,0,3,192
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,108,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,3,20,24,3,0,1,1,1,53
32,1/7/2007,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,128,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,12,18,33,3,1,0,6,0,2,63
