id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI-PVEM-PANAL,PRD-PC,PT,PAN-PT,Nulos,Total
32,4/7/2010,12,Ayuntamientos,32,0,1,1,B,Basica,0,1,APOZOL,476,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,86,86,71,10,0,9,262
32,4/7/2010,12,Ayuntamientos,32,0,2,1,B,Basica,0,1,APOZOL,565,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,85,102,72,8,0,5,272
32,4/7/2010,12,Ayuntamientos,32,0,3,1,B,Basica,0,1,APOZOL,508,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,85,111,65,15,0,9,285
32,4/7/2010,12,Ayuntamientos,32,0,3,1,C,Contigua,0,1,APOZOL,508,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,102,102,61,3,0,6,274
32,4/7/2010,12,Ayuntamientos,32,0,4,1,B,Basica,0,1,APOZOL,475,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,90,88,82,7,0,4,271
32,4/7/2010,12,Ayuntamientos,32,0,5,1,B,Basica,0,1,APOZOL,446,AC,Casilla con resultados de acta de escrutinio y computo levantada en consejo,P,T,Urna tradicional,65,64,70,3,0,7,209
32,4/7/2010,12,Ayuntamientos,32,0,6,1,C,Contigua,0,1,APOZOL,427,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,47,69,89,1,0,5,211
32,4/7/2010,12,Ayuntamientos,32,0,6,1,B,Basica,0,1,APOZOL,426,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,54,79,63,3,0,4,203
32,4/7/2010,12,Ayuntamientos,32,0,7,1,B,Basica,0,1,APOZOL,326,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,98,2,4,0,1,127
32,4/7/2010,12,Ayuntamientos,32,0,8,1,B,Basica,0,1,APOZOL,699,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,70,198,115,5,0,6,394
32,4/7/2010,12,Ayuntamientos,32,0,9,1,B,Basica,0,1,APOZOL,195,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,33,45,2,2,0,1,83
32,4/7/2010,12,Ayuntamientos,32,0,10,1,B,Basica,0,1,APOZOL,345,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,110,69,26,7,0,6,218
32,4/7/2010,12,Ayuntamientos,32,0,11,1,B,Basica,0,1,APOZOL,98,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,28,8,0,0,2,45
32,4/7/2010,12,Ayuntamientos,32,0,12,1,B,Basica,0,1,APOZOL,124,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,28,36,2,0,0,1,67
32,4/7/2010,12,Ayuntamientos,32,0,13,1,B,Basica,0,1,APOZOL,619,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,87,164,65,4,0,2,322
32,4/7/2010,12,Ayuntamientos,32,0,14,1,B,Basica,0,2,APULCO,663,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,182,197,65,0,0,10,454
