id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI-PT-PVEM,PRI,PRD,PT,PVEM,PC,NULOS,Total
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,449,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1,43,0,111,93,0,1,2,1,251
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,542,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,2,55,0,98,86,2,0,1,6,248
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,424,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,45,0,74,91,2,1,13,5,231
32,4/7/2004,12,Ayuntamientos,32,0,1,C,Contigua,0,1,APOZOL,425,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,3,67,0,72,83,0,0,16,6,244
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,425,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,4,60,0,83,90,3,0,5,6,247
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,400,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,5,65,0,42,60,4,0,12,4,187
32,4/7/2004,12,Ayuntamientos,32,0,1,C,Contigua,0,1,APOZOL,394,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,51,0,58,63,5,0,4,3,184
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,394,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,6,39,0,67,67,11,0,1,3,188
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,316,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,7,69,0,47,13,1,0,1,2,133
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,608,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,8,76,0,77,128,1,0,2,12,296
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,197,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,9,28,0,59,24,0,0,1,2,114
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,309,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,10,38,0,60,66,2,8,5,6,185
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,110,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,11,2,0,10,30,1,0,2,5,50
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,130,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,12,25,0,23,13,1,0,0,0,62
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,1,APOZOL,537,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,13,49,0,153,89,2,0,0,4,297
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,569,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,14,0,0,118,257,0,0,0,16,391
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,622,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,15,0,0,82,275,0,0,0,17,374
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,244,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,16,0,0,11,114,0,0,0,5,130
32,4/7/2004,12,Ayuntamientos,32,0,1,C,Contigua,0,2,APULCO,416,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,17,0,0,201,75,0,0,0,7,283
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,416,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,17,0,0,222,64,0,0,0,12,298
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,607,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,18,0,0,293,100,0,0,0,12,405
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,322,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,19,0,0,61,118,0,0,0,10,189
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,425,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,20,0,0,125,104,0,0,0,16,245
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,2,APULCO,165,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,21,0,0,18,69,0,0,0,2,89
32,4/7/2004,12,Ayuntamientos,32,0,1,B,Basica,0,3,ATOLINGA,606,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,22,165,0,0,198,0,0,0,30,393
