Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
579,B1,5,2,2,1,10,57,153,1,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,358,634
579,C1,3,4,1,1,16,50,157,2,0,0,90,3,0,0,0,0,0,0,0,0,0,0,0,6,0,10,343,633
579,E1,1,5,1,2,22,25,63,2,0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,3,0,14,200,380
579,E1 C1,1,5,1,2,22,25,63,2,0,0,60,1,0,1,0,0,0,0,0,0,0,0,0,3,0,14,200,380
580,B1,5,8,0,3,17,46,193,2,0,0,110,9,1,1,0,0,0,0,0,0,0,0,0,11,0,15,421,723
580,C1,6,6,5,1,23,45,184,1,0,0,106,6,2,1,0,0,0,0,0,1,0,0,0,19,0,20,426,723
580,C2,12,4,7,1,22,63,180,1,0,0,102,6,1,0,0,0,0,0,0,0,0,0,0,11,0,12,422,722
581,B1,3,5,2,1,14,45,171,3,1,0,131,2,2,0,0,0,0,0,0,0,0,0,0,7,0,10,397,606
581,C1,4,11,3,3,9,46,167,4,0,0,114,11,0,0,0,0,0,0,0,0,0,0,0,16,0,9,397,605
582,B1,7,4,5,2,13,59,186,1,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,16,0,10,391,578
582,C1,6,10,1,0,13,42,197,0,0,0,101,7,0,0,0,0,0,0,0,0,0,0,1,7,0,7,392,578
583,B1,12,13,3,1,7,38,224,2,0,0,66,3,0,0,0,0,0,1,0,0,0,0,0,8,0,5,383,539
583,C1,12,9,6,2,8,42,196,2,0,0,75,5,0,3,0,0,0,0,0,0,0,0,0,6,0,8,374,539
584,B1,5,15,7,2,22,60,215,5,0,0,111,5,0,2,0,0,0,0,0,0,0,2,0,12,0,9,472,686
584,C1,6,4,11,3,27,43,254,3,0,0,126,6,0,0,0,0,0,0,0,0,0,0,0,10,0,17,510,685
585,B1,6,6,8,1,7,52,182,4,0,0,73,9,1,0,0,0,0,0,0,0,0,0,0,16,0,10,375,656
585,C1,3,2,3,1,12,58,183,1,0,0,90,2,0,0,0,0,0,3,1,0,0,0,0,14,0,12,385,655
585,C2,4,8,2,0,20,46,199,2,1,1,111,3,0,0,0,0,0,0,0,0,1,0,0,11,0,3,412,655
585,C3,6,4,3,1,11,27,184,1,1,1,97,4,4,3,0,0,0,1,0,0,0,0,0,14,1,11,374,655
586,B1,12,8,10,1,21,61,202,1,0,0,101,6,0,3,0,0,0,0,0,0,0,0,0,19,0,12,457,703
586,C1,10,5,9,3,15,61,182,1,1,0,131,4,0,1,0,0,0,1,0,0,0,0,0,10,0,12,446,703
587,B1,2,6,2,0,17,27,244,2,0,2,60,12,0,1,0,0,0,0,0,0,0,0,0,5,0,5,385,541
587,C1,5,3,4,0,14,40,193,3,1,0,78,5,1,0,0,0,0,0,0,0,0,0,0,13,0,5,365,541
588,B1,17,12,7,1,13,44,250,2,0,0,75,3,0,0,0,0,0,0,0,0,0,0,0,16,0,9,449,622
589,B1,5,15,2,0,21,69,261,2,0,0,98,10,0,4,0,0,0,0,0,0,0,0,0,12,0,9,508,719
590,B1,5,2,3,0,14,34,227,0,0,0,72,1,0,0,0,0,0,0,0,0,0,0,0,7,0,14,379,563
590,C1,12,5,5,2,4,37,180,2,0,0,93,8,0,1,0,0,0,1,1,0,0,0,0,3,0,14,368,562
591,B1,2,9,4,1,4,39,250,2,0,0,87,10,0,3,0,0,0,0,0,0,0,0,0,9,1,7,428,616
591,C1,11,9,8,0,6,37,242,3,0,0,83,4,1,1,0,0,0,0,0,0,0,0,1,8,0,9,423,615
592,B1,10,4,2,2,13,55,203,2,1,0,122,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,432,714
592,C1,6,8,2,0,10,55,202,2,1,0,140,3,0,0,0,0,0,0,0,0,1,0,0,11,0,15,456,714
593,B1,6,4,3,2,15,54,190,1,1,1,123,0,0,1,0,0,0,0,0,0,0,0,0,14,0,15,430,640
593,C1,4,2,6,5,19,47,172,1,0,0,123,1,1,1,0,0,0,0,0,0,0,0,0,11,0,15,408,640
601,B1,8,3,6,3,11,45,224,0,1,0,89,6,0,0,0,0,0,0,0,0,0,0,0,9,0,12,417,638
601,C1,8,5,9,1,20,36,182,1,0,1,92,4,0,1,0,0,0,0,0,0,0,0,0,6,0,17,383,637
601,C2,3,8,4,7,13,39,209,1,2,0,97,5,1,1,0,0,0,0,0,0,0,0,0,16,0,9,415,637
602,B1,5,2,3,7,18,35,225,1,0,1,90,6,2,0,0,0,0,0,0,0,0,0,0,11,0,10,416,615
602,C1,7,6,2,6,17,36,207,0,1,1,76,7,0,0,0,0,0,0,0,0,0,0,1,14,0,16,397,615
602,C2,7,6,4,1,19,37,206,1,0,0,96,2,0,0,0,0,0,0,0,0,0,0,0,13,0,12,404,615
603,B1,10,6,1,4,19,17,52,2,0,1,38,4,1,1,0,0,0,1,0,0,0,0,0,5,0,10,172,256
604,B1,6,2,4,0,13,28,167,1,0,0,83,2,0,2,0,0,0,0,0,0,0,0,0,8,0,15,331,519
605,B1,4,5,3,2,2,10,206,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,263,575
605,C1,0,3,8,4,8,14,177,0,1,0,27,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,248,575
605,C2,2,4,7,0,7,19,183,0,0,0,26,1,1,0,0,0,0,0,1,0,0,0,0,1,0,12,264,574
606,B1,10,16,12,5,5,126,130,4,2,1,27,6,1,0,0,0,0,1,0,0,0,0,0,5,0,8,359,617
606,C1,6,14,10,4,5,99,163,3,1,0,22,8,0,0,0,0,0,0,1,0,0,0,0,7,0,17,360,616
607,B1,12,10,7,4,8,123,135,1,3,0,20,10,0,1,0,0,0,0,0,0,0,0,0,8,0,18,360,628
607,C1,9,18,11,2,10,115,143,3,0,0,30,9,1,0,0,0,0,0,0,0,0,0,0,7,0,17,375,628
608,B1,11,9,5,3,5,82,140,1,0,2,11,4,1,0,0,0,0,0,0,0,0,0,0,7,0,10,291,520
608,C1,8,17,5,1,3,105,128,2,1,0,18,1,0,0,0,0,0,1,0,0,0,0,0,7,0,13,310,519
609,B1,7,6,4,0,6,147,114,3,0,1,28,4,2,0,0,0,0,0,0,0,0,0,0,10,0,10,342,592
609,C1,16,6,1,2,4,129,128,2,0,0,20,4,2,0,0,0,0,1,0,0,0,0,0,18,0,16,349,592
610,B1,2,9,3,2,34,25,98,4,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,5,0,10,233,417
Totales,,355,372,247,103,708,2796,9566,95,20,13,4130,237,27,34,0,0,0,11,4,1,3,2,3,519,2,607,19855,31910
