Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
703,B1,0,4,2,1,86,1,7,0,242,0,66,4,0,0,0,0,0,0,0,0,0,0,0,0,26,439,623
703,C1,3,5,2,1,114,3,4,0,244,0,72,8,1,0,0,0,0,0,0,0,0,0,0,0,15,472,623
703,C2,1,8,3,1,104,3,1,1,260,1,55,3,0,0,0,0,0,0,0,0,0,0,0,0,14,455,622
704,B1,0,0,0,0,97,0,0,0,259,0,64,0,13,0,0,0,0,0,0,0,0,0,0,0,19,452,619
704,C1,14,0,0,4,110,4,7,0,235,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,10,450,619
704,C2,4,4,0,2,90,2,11,0,209,0,105,3,2,0,0,0,0,0,0,0,0,0,0,0,26,458,619
705,B1,2,9,6,5,85,0,20,0,159,0,70,9,3,0,0,0,0,0,0,0,0,0,0,0,13,381,584
705,C1,9,8,5,7,81,5,24,0,143,0,54,3,2,0,0,0,0,0,0,0,0,0,0,0,27,368,583
706,B1,5,43,2,7,123,1,30,5,207,1,97,2,1,0,0,0,0,0,0,0,0,0,0,0,21,545,715
Totales,,38,81,20,28,890,19,104,6,1958,2,649,32,22,0,0,0,0,0,0,0,0,0,0,0,171,4020,5607
