Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
707,B1,4,5,21,144,11,2,132,17,1,8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,15,0,0,0,0,2,2,0,0,0,0,0,9,377,631
707,C1,2,2,13,151,3,4,109,15,3,6,4,1,0,0,0,0,0,0,0,0,15,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,11,345,631
707,C2,5,2,21,161,7,9,112,16,3,18,4,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,1,0,0,0,0,0,16,392,631
708,B1,8,6,28,142,13,6,132,9,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,375,633
708,C1,11,6,33,141,12,6,111,12,5,23,2,0,0,0,0,0,0,1,1,0,0,0,0,2,7,1,1,2,0,1,0,0,0,0,0,0,15,393,633
708,C2,10,2,30,147,10,9,149,19,2,18,1,1,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,6,421,632
708,C3,5,12,30,173,12,8,91,10,2,17,0,3,4,1,0,0,0,1,3,0,0,0,0,0,20,1,1,1,0,5,1,1,0,0,1,0,4,407,632
709,B1,7,6,12,120,15,4,120,27,1,15,0,1,4,1,0,0,0,1,3,0,0,0,0,0,20,1,1,1,0,5,1,1,0,0,1,0,4,372,503
709,C1,9,4,11,109,14,5,125,21,2,14,3,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,6,329,503
709,C2,2,3,20,131,12,5,99,19,2,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,3,2,0,0,0,0,0,4,325,503
