Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
850,B1,158,6,4,1,15,5,157,4,5,3,2,5,13,9,2,0,0,3,1,0,0,0,0,7,0,1,1,1,0,4,2,0,1,0,0,1,411,688
850,C1,169,5,7,3,21,5,171,7,7,7,0,4,10,10,1,1,0,1,0,1,0,0,0,13,0,0,1,0,4,0,0,0,0,0,0,0,448,688
850,C2,174,13,5,2,15,7,183,1,8,5,0,4,5,5,0,0,0,3,2,1,0,0,0,13,1,0,0,0,1,2,0,0,0,0,0,0,450,688
850,C3,165,11,11,4,21,4,178,10,6,1,1,3,0,0,2,0,0,0,0,1,4,7,0,10,0,3,0,0,4,1,0,0,1,0,0,9,457,687
850,C4,153,9,7,2,23,3,175,8,7,1,1,6,0,12,1,1,0,2,2,0,0,0,0,7,1,0,1,1,0,4,0,0,0,0,0,9,436,687
851,B1,153,4,12,1,27,3,187,3,12,1,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,7,446,609
851,C1,164,15,5,3,17,4,171,10,4,3,0,0,6,7,0,0,0,4,2,0,0,0,0,4,1,0,0,0,6,2,0,0,0,0,0,6,434,609
851,C2,163,3,6,3,31,3,192,8,8,4,0,5,7,5,0,0,0,1,0,0,0,0,0,11,0,0,1,0,3,2,0,0,0,0,0,8,464,609
851,S1,11,0,0,0,1,0,13,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
852,B1,147,8,3,0,30,4,176,6,17,1,0,3,9,5,0,0,0,3,3,0,0,0,0,14,1,1,1,0,0,1,2,0,0,0,0,16,451,703
852,C1,159,14,7,2,28,7,181,11,21,1,0,3,8,3,0,0,0,2,2,0,0,0,0,0,0,0,1,6,0,3,1,0,0,0,0,13,473,703
852,C2,150,14,4,4,31,3,169,5,10,4,2,0,9,1,0,0,0,1,3,0,0,0,0,11,0,3,0,0,3,2,0,0,0,0,0,15,444,703
852,C3,141,9,5,1,17,7,188,4,12,4,1,8,7,5,0,0,0,4,0,0,0,1,8,0,0,0,1,0,0,1,2,0,0,0,0,11,437,703
852,C4,146,5,5,6,31,3,168,3,20,3,0,3,6,7,1,0,0,1,1,0,0,0,0,19,2,0,0,0,2,3,2,0,0,0,1,10,448,702
852,C5,136,16,8,2,24,4,150,19,31,4,1,3,6,7,0,0,0,3,1,2,0,0,0,2,12,1,0,0,1,0,1,0,0,0,0,1,435,702
853,B1,85,5,2,0,14,4,130,7,13,2,1,0,12,3,1,0,0,1,1,1,1,0,0,9,2,0,1,0,7,0,0,0,0,0,0,14,316,602
853,C1,103,6,5,2,21,3,90,9,10,1,1,1,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,21,316,602
853,C2,72,2,1,5,22,5,134,3,15,1,2,4,17,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,13,317,602
853,C3,88,5,2,9,9,1,155,6,14,5,0,1,2,5,1,0,0,3,0,0,0,0,0,10,1,0,1,0,5,2,0,0,0,0,0,11,336,601
854,B1,128,5,6,4,15,2,170,7,11,6,0,3,2,10,0,0,0,3,0,1,0,0,1,12,3,1,1,0,5,2,0,0,0,1,0,16,415,606
854,C1,105,8,5,0,17,4,193,12,6,8,1,2,7,4,1,1,0,0,1,0,1,0,0,22,1,4,0,0,0,2,0,2,0,0,0,5,412,605
854,C2,105,3,3,4,18,3,200,8,6,9,0,3,11,2,0,0,0,1,0,1,0,0,0,13,1,2,1,0,2,1,0,0,0,0,0,0,397,605
855,B1,157,8,11,0,11,9,204,6,12,4,1,3,4,5,0,0,0,0,0,2,0,0,0,4,0,1,2,0,3,0,0,0,0,0,0,7,454,642
855,C1,160,4,6,1,13,6,178,9,13,1,0,5,12,2,5,0,0,0,2,0,0,0,0,8,0,0,2,0,2,3,0,0,0,0,0,0,432,642
855,C2,141,0,10,1,10,5,201,6,7,2,0,0,10,4,3,0,0,3,2,0,0,0,0,8,1,0,2,0,1,1,0,0,0,0,0,8,426,642
855,C3,166,6,10,2,14,8,201,7,12,1,1,2,10,4,0,0,0,1,3,0,0,0,0,12,2,0,0,0,3,0,0,0,0,0,0,7,472,641
856,B1,121,7,7,6,26,4,128,9,3,4,1,4,14,3,1,0,0,1,2,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,16,366,609
856,C1,110,12,16,5,23,7,173,13,2,16,0,2,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,408,609
856,C2,110,10,13,3,24,8,145,7,3,7,2,5,6,1,0,0,0,3,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,356,608
857,B1,141,6,7,2,11,1,98,7,0,3,1,6,23,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,19,334,562
857,C1,137,4,10,3,7,2,93,8,1,3,1,4,0,18,0,0,0,4,3,2,0,0,0,6,0,1,0,0,3,1,4,0,1,0,0,16,332,562
857,C2,113,3,12,3,4,1,107,9,6,0,0,12,10,5,0,0,0,8,3,3,0,0,1,4,0,0,0,0,2,0,2,0,0,0,0,12,320,561
858,B1,115,6,4,4,13,7,213,8,6,11,1,5,3,4,2,0,0,2,2,0,0,0,0,13,0,2,0,0,4,1,2,2,0,0,0,17,447,748
858,C1,160,9,10,1,8,3,213,11,3,4,3,0,2,3,2,0,0,1,0,0,0,0,0,5,1,1,2,0,2,2,1,0,1,0,0,0,448,748
858,C2,143,7,6,6,23,5,220,8,4,6,2,3,8,2,1,0,0,3,2,0,0,0,0,5,0,1,1,0,1,2,0,0,3,0,0,12,474,748
859,B1,126,11,22,2,16,9,80,5,1,4,3,3,5,6,0,0,0,0,2,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,301,656
859,C1,109,14,16,8,6,10,103,3,7,3,1,4,10,2,0,0,0,4,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,29,334,655
859,C2,100,6,29,4,18,6,109,8,2,2,0,4,12,5,0,0,1,1,4,1,0,0,0,5,2,1,0,0,1,0,1,1,0,0,0,17,340,655
859,C3,123,10,29,11,10,7,101,8,4,6,1,4,6,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,21,350,655
859,C4,92,8,18,2,14,8,103,7,4,0,1,6,6,6,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,285,655
860,B1,110,9,15,7,6,17,131,3,9,2,0,9,6,3,1,1,0,2,0,1,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,20,359,637
860,C1,115,7,7,1,13,17,114,5,8,0,0,11,7,8,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,2,1,0,0,0,0,12,336,636
860,C2,141,12,9,4,10,14,98,7,4,1,1,12,5,3,1,0,0,2,3,4,0,0,1,4,2,0,0,0,4,0,0,0,0,0,0,14,356,636
861,B1,88,11,8,5,5,13,92,5,3,0,2,4,4,2,0,0,0,1,1,1,0,0,0,6,0,0,0,1,0,1,0,0,1,0,0,0,254,539
861,C1,117,6,8,4,9,7,99,7,3,2,0,8,5,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,294,539
861,C2,80,6,6,10,1,9,108,5,5,1,3,6,4,9,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,14,275,538
862,B1,110,19,5,9,14,13,123,5,0,2,0,8,0,0,0,0,8,3,2,1,4,0,0,0,0,4,0,0,1,0,0,0,0,0,1,16,348,694
862,C1,121,10,6,6,8,9,145,3,4,2,0,10,0,6,0,0,0,4,0,1,0,0,1,6,0,1,0,1,0,3,0,0,0,0,0,12,359,693
862,C2,157,7,10,4,8,10,124,5,2,0,0,13,8,5,2,0,0,3,1,1,0,0,0,1,0,1,0,2,2,2,0,0,2,0,0,9,379,693
863,B1,138,6,5,8,6,6,107,4,2,3,0,19,19,5,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,15,351,628
863,C1,148,5,9,7,6,6,105,1,4,2,1,8,7,7,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,14,344,628
863,C2,146,5,8,8,6,6,102,1,4,2,1,8,7,7,3,0,0,2,3,2,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,16,343,628
863,C3,146,14,6,7,10,8,95,3,4,0,1,19,11,1,0,0,0,1,1,1,0,0,0,3,1,0,0,0,5,2,1,0,0,0,0,25,365,627
864,B1,144,6,15,7,9,17,103,6,4,0,1,12,9,11,0,0,0,1,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,32,385,740
864,C1,179,11,13,10,9,14,95,4,4,1,2,17,6,3,0,0,0,1,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0,0,1,30,407,739
864,E1,179,20,9,11,11,11,69,5,3,4,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,392,736
864,E1 C1,177,10,9,7,10,14,84,2,7,0,1,28,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,31,396,736
865,B1,100,14,7,3,1,6,60,6,2,1,3,4,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,231,450
865,C1,99,10,3,6,9,14,83,5,7,1,5,5,1,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,274,450
866,B1,115,16,6,2,11,2,87,7,4,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,284,446
866,C1,114,7,12,3,10,3,85,7,1,2,2,24,6,2,0,0,0,2,2,1,1,1,0,3,1,0,0,0,1,1,0,0,0,0,0,11,302,446
867,B1,132,18,9,5,14,5,210,16,4,6,1,14,6,4,1,0,0,0,1,0,0,0,0,6,0,1,3,0,4,3,3,0,0,0,0,24,490,691
867,C1,106,13,18,2,9,4,212,9,5,3,0,17,6,1,0,1,0,6,2,0,1,2,0,6,0,0,1,3,0,0,0,1,0,0,0,15,443,690
868,B1,138,15,12,4,12,7,63,7,2,3,0,26,7,6,1,0,0,6,1,5,0,0,2,0,0,0,0,0,2,0,0,0,6,0,0,20,345,521
Totales,,8299,554,564,262,906,422,8795,418,428,191,56,464,459,260,34,6,10,112,87,42,13,11,16,380,40,37,24,22,120,63,28,10,16,1,4,809,23963,40063
