Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
689,B1,1,7,0,0,2,71,298,0,1,0,8,7,3,0,0,0,0,0,0,0,0,0,0,6,0,3,407,534
689,C1,7,6,2,1,0,85,280,0,1,0,4,8,1,0,0,0,0,0,0,0,0,1,0,12,0,6,414,534
689,C2,1,3,1,0,1,73,283,1,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,8,0,13,394,534
690,B1,0,9,0,0,9,32,236,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,9,0,11,313,388
690,C1,2,0,2,0,12,26,250,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,308,388
690,E1,5,5,1,0,4,73,283,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,13,0,8,401,510
690,E1 C1,2,0,0,2,2,76,286,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,386,510
691,B1,2,6,3,1,5,79,339,1,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,12,0,20,483,619
691,C1,2,0,0,0,2,88,350,1,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,13,0,18,495,618
692,B1,1,4,2,0,2,38,127,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,184,240
692,E1,1,3,7,3,2,116,330,1,0,1,31,11,0,0,0,0,0,0,0,0,0,0,0,16,0,14,536,647
693,B1,0,3,2,4,1,107,128,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,265,319
693,E1,0,0,2,1,1,125,127,2,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,12,0,5,284,385
694,B1,0,0,1,0,2,44,102,1,0,0,73,1,0,0,0,0,0,0,0,0,0,0,0,7,0,9,240,291
Totales,,24,46,23,12,45,1033,3419,12,4,1,185,50,14,0,0,0,0,0,0,0,0,1,0,119,0,122,5110,6517
