Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
97,B1,73,18,15,21,46,30,90,26,3,2,5,2,8,7,0,0,0,3,1,1,1,0,0,3,0,20,375,646
97,C1,67,22,12,23,62,40,86,13,2,5,3,7,4,2,0,1,0,1,7,0,0,0,5,0,1,11,374,646
97,C2,55,14,15,21,63,34,97,15,1,7,9,4,2,8,0,0,0,4,0,0,0,0,0,0,0,21,370,646
97,C3,72,30,24,19,37,39,80,13,6,5,7,14,1,6,1,0,0,0,0,0,0,0,0,1,0,23,378,646
97,C4,71,22,15,18,44,57,89,22,1,9,9,6,0,0,0,0,0,16,0,0,0,0,0,0,1,15,395,646
97,E1,110,27,34,25,33,83,125,8,6,3,11,6,0,4,0,0,0,2,3,0,0,0,0,6,12,32,530,695
97,E1 C1,79,21,29,23,25,42,105,8,7,7,6,6,0,3,3,0,0,2,0,0,0,0,0,5,1,19,391,694
98,B1,81,25,25,13,39,35,88,11,6,4,9,8,4,8,0,0,0,1,1,0,0,0,0,1,0,0,359,567
98,C1,70,28,20,20,21,39,101,12,3,5,9,13,5,14,1,0,0,3,1,0,0,0,0,0,0,16,381,566
99,B1,66,33,37,39,49,75,123,9,7,11,12,10,1,5,0,2,0,3,0,0,0,0,0,3,0,19,504,738
99,C1,86,22,19,34,45,55,134,18,3,9,14,10,0,4,0,0,0,3,1,0,0,0,0,2,0,19,478,738
99,C2,1,1,0,35,47,2,127,8,8,11,0,0,145,0,0,0,0,0,0,0,0,0,0,65,0,20,470,738
100,B1,60,29,38,27,39,48,112,12,3,8,12,11,4,40,0,0,0,0,0,0,0,0,0,6,0,35,484,739
100,C1,53,29,21,32,41,38,100,15,8,6,11,5,5,4,0,0,0,0,2,3,0,0,0,1,0,19,393,739
100,C2,71,18,33,21,30,39,107,12,7,6,3,11,4,8,1,0,0,0,0,0,0,1,0,2,16,0,390,738
100,C3,62,25,20,25,46,51,108,17,5,7,8,7,0,5,0,0,4,1,1,0,0,0,0,2,0,19,413,738
101,B1,76,14,20,20,25,48,106,17,16,4,13,8,1,8,1,0,0,2,0,1,1,0,0,6,0,17,404,600
101,C1,93,19,21,18,31,41,121,22,4,8,7,7,5,4,0,1,0,1,2,0,0,0,0,2,0,16,423,599
102,B1,97,18,12,18,28,43,105,9,5,13,4,10,2,3,0,0,0,0,0,0,0,0,0,1,0,16,384,739
102,C1,85,18,11,37,27,33,104,10,2,10,6,20,8,0,0,0,0,0,0,0,0,0,0,1,0,16,388,739
102,C2,65,21,16,41,35,49,132,14,3,11,4,6,7,6,1,0,0,2,0,1,0,0,0,2,0,17,433,738
102,C3,79,22,20,27,23,41,108,14,4,12,5,7,4,3,0,5,0,0,0,0,0,0,0,2,0,16,392,738
102,C4,74,26,11,29,32,50,115,13,5,8,4,9,5,9,0,0,0,1,0,1,0,0,0,0,0,20,412,738
102,C5,81,20,16,26,29,27,132,20,9,6,12,9,5,6,0,0,0,0,0,0,0,0,0,1,0,12,411,738
102,S1,8,2,0,3,4,1,9,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,36,0
102,S2,6,2,2,5,2,7,7,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,40,0
103,B1,105,27,18,23,37,52,110,25,2,8,11,7,6,11,0,1,1,5,2,0,0,0,0,3,0,20,474,713
103,C1,100,24,20,14,27,35,96,20,1,12,5,9,0,0,0,0,0,14,0,0,0,0,0,0,1,18,396,713
104,B1,60,19,5,24,32,23,65,7,2,1,7,2,1,8,0,1,0,1,0,1,0,0,0,3,0,16,278,416
104,C1,45,13,6,8,28,31,59,10,4,8,8,5,0,0,0,0,0,0,0,0,10,0,0,2,0,9,246,415
105,B1,52,29,12,26,43,38,76,14,2,7,20,9,2,10,2,0,0,1,0,0,0,0,0,1,0,28,372,597
106,B1,93,36,20,20,46,38,77,23,0,6,5,13,8,7,1,0,0,1,0,0,0,0,0,1,1,10,406,609
106,C1,85,20,20,17,44,32,69,16,1,10,6,12,3,6,0,0,0,2,0,1,1,0,0,1,0,16,362,609
107,B1,78,35,13,18,48,37,55,18,8,5,7,17,1,8,0,0,0,1,0,0,0,0,0,0,0,11,360,553
107,C1,110,18,16,21,48,19,65,10,8,4,5,8,2,5,0,0,0,3,1,0,0,0,0,1,0,13,357,553
108,B1,50,14,14,32,50,27,89,15,2,6,7,12,6,1,1,0,0,2,1,0,0,0,1,3,0,25,358,597
108,C1,41,15,10,28,56,24,94,11,5,10,5,9,2,3,0,0,0,2,1,0,0,0,0,4,0,24,344,597
108,C2,53,15,14,19,52,32,100,17,3,7,9,13,3,4,0,0,0,0,0,1,0,0,0,0,0,12,354,596
109,B1,40,18,9,32,44,33,82,9,1,4,3,11,3,3,1,0,0,1,0,0,0,0,0,1,0,27,322,645
109,C1,41,17,10,29,49,36,102,17,5,10,6,2,1,4,2,1,0,1,0,1,0,0,0,1,0,14,349,645
109,C2,51,16,14,21,64,32,68,16,3,7,8,10,3,1,0,0,0,2,0,2,0,0,0,4,0,24,346,645
109,C3,36,22,8,28,41,28,58,18,1,5,5,5,2,2,0,0,0,0,0,0,1,0,0,3,0,26,289,644
109,C4,44,12,9,36,54,27,79,9,4,7,11,9,4,5,0,0,0,0,0,0,0,0,0,2,0,0,312,644
109,C5,48,12,10,25,57,30,72,7,2,5,8,7,5,5,0,2,0,4,1,0,0,0,0,2,0,16,318,644
110,B1,47,30,13,28,68,29,87,18,7,6,10,8,4,5,0,0,0,0,0,2,0,0,0,3,0,21,386,626
110,C1,52,17,13,19,46,36,91,9,4,6,9,9,3,5,0,0,0,1,2,0,1,0,1,3,0,25,352,626
110,C2,45,15,13,25,60,28,95,17,6,11,10,11,3,3,0,0,0,4,1,0,0,0,0,1,0,16,364,625
