Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,cand_ind_perseo_quiroz_rendon,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
670,B1,9,5,2,14,69,81,54,7,0,1,13,9,2,1,2,0,0,0,0,0,0,0,0,6,158,0,5,438,606
670,C1,6,9,4,13,76,72,45,13,2,5,10,8,1,1,0,0,0,1,0,0,0,1,0,6,141,0,4,418,606
670,C2,6,7,1,10,78,67,52,6,0,4,9,15,0,0,0,0,0,0,0,0,0,1,0,7,170,0,5,438,606
671,B1,9,6,1,4,64,67,37,2,7,6,7,6,1,2,1,0,0,0,0,0,1,0,0,2,131,0,6,360,529
671,C1,10,2,2,3,39,63,57,4,1,6,8,12,2,3,0,0,0,0,0,0,0,1,0,4,139,0,2,358,529
671,C2,14,4,4,5,49,64,56,6,2,1,12,8,0,1,0,0,0,0,0,0,0,0,0,4,136,0,0,366,529
672,B1,25,6,2,8,34,67,64,5,2,1,8,4,1,2,0,0,0,0,0,0,0,0,0,5,185,0,6,425,591
673,B1,22,6,3,5,57,89,52,5,3,0,15,6,1,0,0,0,1,0,1,0,0,0,0,5,148,0,4,423,562
673,C1,15,12,9,4,44,60,63,4,0,1,12,4,5,0,0,0,0,0,0,0,0,0,0,5,176,0,2,416,562
673,C2,9,3,4,4,47,64,73,11,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,5,188,1,2,428,562
674,B1,5,4,3,7,60,103,51,7,0,6,10,9,0,0,0,0,0,1,0,0,0,0,1,8,161,0,7,443,591
674,C1,4,2,2,5,53,85,58,3,1,3,9,10,0,1,0,0,0,0,0,0,0,0,0,6,178,0,11,431,590
675,B1,10,8,3,14,78,94,54,13,2,6,6,18,4,3,1,1,0,0,0,0,0,1,0,6,192,0,8,522,740
675,C1,6,11,3,15,80,87,69,21,0,5,10,10,1,1,0,0,0,0,0,0,0,0,1,10,181,0,11,522,739
675,C2,8,17,4,10,80,96,59,8,0,2,11,15,1,0,2,1,0,0,0,0,0,1,0,6,180,0,14,515,739
676,B1,8,5,5,14,47,69,52,5,2,7,12,6,0,1,0,0,0,1,0,0,0,0,0,8,158,0,6,406,545
676,C1,5,5,4,21,48,85,64,4,0,3,9,5,0,2,0,0,0,0,1,0,0,0,0,4,151,1,6,418,545
676,C2,3,3,1,19,35,79,51,6,0,4,13,6,2,0,0,0,0,0,0,0,0,0,0,10,156,0,6,394,545
676,S1,1,1,0,2,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,22,0
677,B1,12,4,2,8,48,62,76,3,2,3,14,9,1,0,0,0,0,0,0,0,0,0,0,8,139,0,13,404,542
677,C1,12,4,2,8,48,62,76,3,2,3,14,9,1,0,0,0,0,0,0,0,0,0,0,8,139,0,13,404,541
677,C2,12,3,1,14,54,68,60,2,1,1,6,4,1,0,0,0,0,0,0,0,0,0,0,10,172,0,5,414,541
678,B1,18,3,5,31,52,45,49,4,0,1,8,26,0,2,0,0,0,0,0,0,0,0,0,4,143,1,8,400,668
678,C1,11,6,4,32,66,58,45,3,0,1,6,19,4,1,0,0,0,0,0,0,0,0,0,0,157,0,10,423,667
678,C2,13,5,1,44,51,57,49,3,2,0,8,17,0,3,0,0,0,1,0,0,0,0,0,6,158,0,14,432,667
679,B1,7,8,1,4,67,91,66,5,0,1,9,10,2,2,0,0,0,0,0,1,0,0,0,11,120,0,11,416,578
679,C1,6,5,1,12,38,73,82,5,0,2,7,6,1,1,0,0,0,0,0,0,0,0,0,13,131,1,12,396,577
679,C2,7,3,1,7,37,84,74,7,2,2,9,9,0,2,0,0,0,2,1,0,0,0,0,8,131,0,11,397,577
680,B1,6,3,4,13,34,138,61,5,1,1,18,4,0,0,0,0,0,0,1,0,1,0,0,9,88,0,25,412,576
680,C1,5,9,4,7,51,107,80,2,0,1,14,7,1,0,0,0,0,1,0,0,0,0,0,14,87,2,8,400,576
680,C2,6,6,3,16,41,126,59,4,0,1,24,2,1,0,0,0,0,0,0,0,0,0,0,13,100,1,11,414,575
681,B1,6,9,1,15,60,89,114,3,4,2,9,14,1,2,1,0,0,1,0,0,0,0,0,2,109,0,13,455,741
681,C1,19,7,4,14,73,108,89,11,0,3,20,14,1,0,0,0,0,0,0,0,0,0,0,4,88,1,13,469,740
683,B1,7,7,2,8,78,94,72,5,0,0,14,2,0,1,0,0,0,0,0,0,0,1,0,6,48,0,18,363,650
683,C1,2,7,2,8,90,96,96,3,3,0,10,2,1,0,0,0,0,1,0,0,0,0,0,8,54,0,17,400,650
683,C2,4,6,1,6,81,105,72,9,1,0,17,4,0,0,0,0,0,2,0,0,0,0,0,0,80,0,13,401,650
684,B1,5,3,3,19,65,52,70,4,1,5,6,4,1,0,0,0,0,0,0,0,0,0,0,4,94,0,5,341,578
684,C1,8,8,1,19,53,55,79,6,2,4,10,2,1,0,0,0,0,0,0,0,0,0,0,3,114,0,8,373,578
685,B1,13,7,2,21,92,73,69,6,0,4,9,10,1,3,0,0,0,0,0,0,0,0,0,11,129,0,15,465,694
685,C1,12,3,0,20,78,73,68,9,0,2,16,4,4,0,0,0,0,0,0,0,0,0,0,7,118,0,11,425,693
686,B1,7,2,4,8,113,106,57,6,0,1,31,8,0,0,0,0,0,0,0,0,0,0,0,12,71,0,8,434,648
686,C1,4,2,2,9,95,174,44,9,1,0,31,18,1,0,0,0,0,1,0,0,0,0,0,22,38,0,10,461,648
686,E1,42,18,2,8,50,54,137,0,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,2,5,0,16,352,595
686,E1 C1,30,11,5,15,70,61,107,1,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,1,5,3,28,345,595
686,E1 C2,30,17,4,8,53,45,148,2,1,1,13,2,0,2,0,0,0,0,0,0,0,0,0,3,5,0,9,343,595
687,B1,7,2,2,10,70,44,124,1,2,5,2,4,0,5,0,0,0,0,0,0,0,0,0,1,15,0,40,334,488
687,C1,4,12,1,9,65,53,121,3,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,311,487
688,B1,10,4,6,9,74,52,112,2,1,1,5,3,2,0,0,0,0,0,1,0,0,1,0,3,9,0,10,305,526
688,C1,15,5,9,18,59,61,96,2,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,2,12,0,14,308,526
965,B1,6,15,2,5,53,81,74,4,1,0,9,5,1,0,0,0,0,0,0,0,0,0,0,5,60,2,8,331,580
965,C1,7,14,2,10,73,66,61,3,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,2,87,0,9,348,580
965,C2,3,8,3,4,64,70,76,5,0,1,13,3,0,1,0,0,1,0,0,0,0,1,0,4,50,0,17,324,580
965,C3,6,16,2,4,69,59,76,1,5,4,11,4,0,3,0,0,0,0,0,0,0,0,0,1,58,0,16,335,580
966,B1,17,6,4,14,59,37,93,0,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,30,277,578
966,C1,20,18,3,28,71,35,87,4,1,4,5,6,0,4,1,0,0,0,0,0,0,0,0,1,1,1,15,305,577
966,C2,17,17,8,28,82,35,83,3,2,4,7,8,2,3,0,0,0,1,0,0,0,0,0,1,5,0,25,331,577
966,C3,20,10,2,21,65,34,92,2,1,2,2,8,3,0,0,0,0,0,0,0,0,0,0,3,10,0,17,292,577
Totales,,611,409,163,711,3484,4178,4110,281,62,124,595,434,60,54,8,2,2,14,5,1,2,8,2,321,5777,14,651,22083,33512
