Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
431,B1,42,13,9,27,15,29,140,4,3,4,4,6,1,4,0,0,0,1,1,0,0,0,0,1,1,14,319,543
431,C1,50,22,8,18,4,24,139,5,1,1,3,7,4,5,0,0,0,1,0,1,0,0,0,0,0,15,308,543
431,C2,50,16,5,20,11,32,128,4,0,1,12,7,1,4,0,0,0,4,0,0,0,0,0,0,0,20,315,543
432,B1,52,18,6,25,6,26,144,6,1,2,8,10,4,0,0,0,0,1,1,0,0,0,1,0,0,8,319,524
432,C1,65,21,5,48,6,25,99,6,1,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,19,310,524
432,C2,41,15,16,39,10,32,122,3,0,2,4,6,2,2,0,0,0,0,0,0,0,0,0,0,1,13,308,523
433,B1,55,12,15,32,11,33,143,11,1,1,3,7,3,8,0,0,0,1,0,0,0,0,0,1,0,16,353,606
433,C1,45,20,20,28,11,33,128,17,0,1,2,8,1,4,0,0,0,1,0,0,0,0,0,0,0,12,331,605
433,C2,52,18,22,39,9,35,120,10,1,2,7,9,5,5,0,0,1,0,0,0,0,0,0,0,0,13,348,605
433,C3,52,17,21,28,7,35,121,8,0,2,5,7,1,4,0,1,0,0,0,0,0,0,0,0,0,12,321,605
434,B1,57,23,14,37,9,31,135,14,1,1,1,19,1,7,1,0,0,2,0,0,1,0,0,3,0,13,370,608
434,C1,65,21,15,19,9,40,118,12,2,1,3,10,0,6,2,1,0,3,0,0,0,0,1,0,0,16,344,608
434,C2,59,18,15,28,7,31,137,11,2,0,2,23,0,5,0,0,0,0,0,0,0,0,0,0,0,17,355,607
434,C3,70,19,17,28,7,47,123,8,2,0,4,18,2,6,0,0,0,2,0,0,0,0,0,1,0,18,372,607
435,B1,46,24,16,40,13,25,136,10,1,2,4,8,3,3,3,0,0,0,0,0,0,0,0,1,1,17,353,574
435,C1,62,17,10,40,13,30,137,11,1,2,2,13,3,2,0,0,0,3,0,0,0,0,0,0,0,12,358,574
435,C2,70,10,18,37,13,36,122,6,4,5,1,13,1,4,0,1,0,0,1,0,0,0,0,0,0,15,357,573
435,C3,53,16,13,23,11,28,138,5,1,2,5,11,0,12,0,0,0,2,1,0,0,0,0,0,0,26,347,573
436,B1,71,27,20,30,10,36,144,7,0,2,6,10,3,7,1,0,0,1,1,0,0,0,0,1,0,19,396,662
436,C1,55,22,18,24,7,30,154,15,4,0,6,14,1,8,1,0,0,1,0,0,0,0,0,0,2,13,375,662
436,C2,77,17,14,43,11,45,133,6,2,3,3,12,7,7,0,0,0,1,0,0,0,0,0,0,0,20,401,662
436,C3,60,34,8,25,12,27,163,6,4,2,5,14,4,5,0,0,0,1,0,0,0,0,0,1,0,22,393,662
436,C4,78,18,18,30,9,29,149,13,1,2,4,11,2,2,0,0,0,1,0,0,0,0,0,2,0,21,390,662
437,B1,83,25,8,36,14,32,173,9,1,4,1,15,3,3,0,0,0,1,0,0,0,0,0,1,0,12,421,717
437,C1,70,21,16,25,8,30,157,11,1,0,4,6,6,12,0,0,0,3,0,0,1,0,0,1,1,22,395,716
437,C2,57,30,8,33,12,27,153,8,3,1,6,8,2,7,0,1,0,0,1,1,0,0,0,0,0,21,379,716
437,C3,69,19,16,36,12,22,166,7,6,2,2,13,3,1,1,0,0,0,0,0,0,0,0,0,0,29,404,716
438,B1,62,20,19,12,14,32,159,10,1,3,5,14,4,6,1,0,0,0,0,0,1,0,0,0,0,23,386,608
438,C1,85,27,19,22,5,39,138,5,2,2,4,8,0,4,0,0,0,0,0,0,0,0,0,7,0,18,385,608
438,C2,89,25,16,23,8,36,157,7,1,3,5,10,1,0,0,0,0,1,1,0,1,0,0,1,0,28,413,608
438,C3,77,24,13,18,8,25,155,3,3,0,2,19,5,7,0,0,0,1,1,1,0,0,0,0,0,14,376,608
