Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
611,B1,92,58,19,8,7,25,158,1,0,3,2,20,2,13,0,0,0,3,1,0,1,0,0,0,26,439,708
611,C1,98,62,14,14,6,20,138,5,0,4,4,10,4,7,1,0,0,3,3,0,0,0,0,0,29,422,708
611,C2,86,65,14,14,11,26,149,4,1,4,2,14,14,8,1,0,1,2,1,0,2,1,0,0,23,443,707
613,B1,207,38,9,8,3,44,63,1,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,6,389,544
613,C1,211,30,9,5,3,39,69,1,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,1,7,384,544
614,B1,92,58,19,8,7,25,158,1,0,3,2,20,2,13,0,0,0,3,1,0,1,0,0,0,26,439,438
614,C1,138,28,10,5,6,37,69,5,2,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,4,309,438
615,B1,85,38,14,10,9,16,132,1,1,0,0,10,0,8,2,2,0,3,0,0,0,0,0,0,27,358,563
615,C1,92,49,19,5,8,14,115,3,1,7,0,17,5,6,1,0,0,2,0,1,0,0,0,0,20,365,563
615,C2,81,58,8,13,10,16,109,3,1,8,2,13,6,6,0,1,0,2,0,0,1,0,0,0,22,360,562
617,B1,64,62,15,13,18,10,75,2,3,0,1,47,34,0,0,0,0,0,0,0,0,0,0,0,15,359,667
617,C1,91,76,10,10,12,16,67,3,1,1,0,41,14,9,3,5,0,0,0,0,0,1,0,0,9,369,667
617,C2,80,87,14,10,9,12,89,3,0,1,1,26,13,8,1,1,2,5,2,2,0,2,0,0,18,386,666
618,B1,87,36,19,6,24,10,85,0,3,0,1,23,5,4,2,1,0,2,1,0,0,0,0,0,22,331,643
618,C1,79,64,13,8,26,18,90,1,0,0,0,34,8,6,0,0,0,1,0,0,0,0,0,0,9,357,642
618,C2,79,47,18,13,34,17,78,3,0,2,32,0,6,3,1,0,0,8,0,0,0,2,0,0,23,366,642
618,C3,74,46,16,14,39,13,78,5,1,0,0,20,10,5,0,0,0,4,0,1,0,0,0,0,10,336,642
618,C4,80,55,12,7,24,22,93,0,1,1,1,17,0,14,0,0,0,3,2,0,0,0,0,0,14,346,642
618,C5,83,51,19,39,8,23,93,3,5,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,18,370,642
619,B1,94,42,19,6,7,23,106,1,1,4,0,11,4,3,0,0,0,3,1,0,0,0,0,0,11,336,594
619,C1,82,32,9,7,7,20,119,3,1,5,2,16,7,10,4,0,0,3,1,0,0,0,0,0,14,342,594
619,C2,83,45,22,5,4,23,131,2,0,5,0,14,9,0,2,0,0,1,1,0,1,0,0,0,13,361,593
620,B1,169,34,8,5,9,41,88,5,0,0,2,10,1,8,2,0,0,2,0,0,1,0,0,0,12,397,643
620,C1,209,40,18,8,10,47,87,1,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,6,449,643
620,C2,173,44,11,11,10,30,76,1,1,1,0,9,25,0,0,0,0,0,0,0,0,0,0,0,7,399,643
620,C3,191,48,6,5,7,36,97,3,1,0,2,8,2,15,0,0,0,1,2,1,0,0,0,0,13,438,643
621,B1,94,31,9,9,11,32,58,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,268,506
621,C1,83,36,13,4,6,24,65,2,1,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,16,285,506
621,C2,75,35,15,11,13,21,66,1,3,20,1,2,0,14,1,1,0,2,0,0,0,0,0,0,7,288,506
622,B1,95,49,18,5,38,24,119,2,2,0,2,29,13,9,0,0,0,5,1,0,0,0,1,0,13,425,691
622,C1,97,34,17,5,55,21,78,1,1,0,0,22,8,8,1,0,0,5,1,1,0,2,0,0,0,357,691
622,C2,105,36,11,5,42,25,87,0,5,0,0,30,6,9,3,0,0,2,0,0,0,1,0,0,0,367,690
623,B1,72,48,19,16,12,13,98,1,0,0,0,39,11,11,3,0,0,6,2,1,0,2,0,1,19,374,717
623,C1,67,44,16,11,11,13,98,10,1,0,2,59,17,15,0,2,0,0,1,0,0,0,0,0,14,381,717
623,C2,72,33,21,8,21,10,17,8,0,0,0,63,13,9,1,1,0,1,3,2,0,2,0,0,24,309,717
623,C3,70,35,18,11,15,18,4,3,3,3,0,50,14,6,1,1,0,4,0,0,0,0,0,0,15,271,717
623,C4,70,46,13,11,13,9,89,4,0,1,0,47,21,14,0,0,0,2,1,0,1,0,0,0,19,361,716
624,B1,69,49,20,11,19,28,77,2,0,0,3,32,6,13,0,0,0,6,0,1,0,0,0,0,0,336,680
624,C1,71,46,24,13,21,17,66,0,0,2,1,41,10,3,1,1,1,3,2,2,0,1,1,0,0,327,679
624,C2,71,42,19,6,19,19,79,3,0,2,2,37,6,7,2,0,0,4,2,1,0,1,1,0,29,352,679
625,B1,86,54,18,9,31,26,105,2,1,1,1,24,26,0,0,0,0,0,0,0,0,0,0,0,0,384,670
625,C1,114,39,29,8,26,16,101,3,2,1,2,22,0,19,0,0,0,0,0,0,0,0,0,0,10,392,669
626,B1,78,34,27,10,27,17,78,0,0,0,0,15,0,14,0,0,0,1,2,1,2,0,0,0,8,314,549
626,C1,89,24,26,8,13,8,89,3,1,0,1,24,0,16,0,0,0,0,0,0,0,0,0,0,18,320,549
626,C2,82,32,22,8,24,20,90,1,1,0,0,22,9,6,0,0,0,3,0,0,0,0,0,0,10,330,549
627,B1,97,39,23,7,4,21,75,1,1,1,1,22,5,8,1,0,0,0,0,0,0,0,0,0,15,321,561
627,C1,61,43,37,7,9,30,81,6,1,0,2,13,9,6,1,2,0,2,1,0,0,1,0,0,14,326,561
628,B1,94,111,23,5,16,33,96,2,2,1,0,23,5,0,0,1,0,7,1,0,0,1,0,0,16,437,618
628,C1,91,70,26,7,24,31,83,2,1,0,2,18,11,12,0,0,0,2,2,0,0,0,0,0,15,397,617
629,B1,157,60,9,5,19,45,59,7,0,1,1,4,5,10,0,0,0,2,0,1,0,0,0,0,12,397,567
629,C1,155,43,10,9,14,43,62,5,0,0,0,4,0,8,0,0,0,2,0,1,0,0,0,0,7,363,566
629,C2,168,55,9,8,20,30,69,6,0,0,2,4,3,6,0,0,0,2,1,0,0,0,0,0,11,394,566
629,C3,159,57,7,5,17,41,64,3,0,0,6,6,0,11,3,0,0,5,0,0,0,0,0,0,5,389,566
630,B1,18,77,21,9,10,24,99,1,0,0,0,22,11,11,4,0,0,2,1,0,1,0,0,0,20,331,614
630,C1,90,65,16,6,14,26,91,2,0,0,0,23,0,0,3,0,0,5,2,0,0,1,0,0,8,352,613
630,C2,97,86,19,9,13,21,103,4,0,0,0,13,10,9,2,0,0,2,3,0,2,0,2,0,15,410,613
630,C3,88,66,21,6,11,32,113,4,0,1,1,21,5,10,1,0,0,3,1,0,0,1,0,0,10,395,613
631,B1,62,45,26,6,4,22,73,0,0,0,0,22,3,10,1,0,0,5,3,0,0,0,0,0,14,296,512
631,C1,60,32,22,2,11,10,79,0,1,0,0,18,5,6,0,0,0,2,0,1,1,0,0,0,9,259,512
631,C2,60,42,33,7,9,4,65,2,0,0,0,29,3,9,0,0,0,2,2,1,0,0,0,0,12,280,511
632,B1,94,27,22,7,22,21,58,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,283,570
632,C1,55,31,12,7,29,21,61,0,1,0,2,27,3,0,0,0,13,0,0,0,0,2,0,0,14,278,570
632,C2,68,29,14,13,22,19,64,3,0,0,6,31,10,4,1,0,0,3,1,0,0,1,1,0,18,308,569
633,B1,89,47,14,7,11,17,68,5,2,1,0,35,32,0,0,0,0,0,0,0,0,0,0,0,16,344,580
633,C1,62,27,14,6,11,11,83,3,1,0,0,52,25,0,0,0,0,0,0,0,0,0,0,0,19,314,579
633,C2,82,30,18,9,17,19,64,0,1,0,0,36,6,13,2,1,0,0,0,2,0,0,0,0,0,300,579
635,B1,86,44,26,14,29,22,70,4,1,0,0,53,1,12,9,1,0,1,0,0,2,0,0,0,21,396,692
635,C1,94,27,22,7,22,21,58,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,283,692
635,C2,78,51,28,9,27,20,79,8,0,0,1,29,28,0,0,0,0,0,0,0,0,0,0,0,0,358,692
636,B1,69,30,52,14,13,27,69,5,0,2,3,27,3,3,0,1,0,1,1,0,4,1,0,0,15,340,622
636,C1,55,40,47,20,8,30,83,4,0,0,1,15,10,10,0,0,1,0,1,2,0,0,1,0,0,328,622
636,C2,61,27,64,21,8,18,80,2,0,0,0,22,5,7,0,0,0,2,2,0,0,0,0,0,17,336,622
637,B1,45,63,33,8,16,13,63,2,0,1,0,35,10,6,1,0,0,0,0,0,0,0,0,0,12,308,715
637,C1,74,64,58,17,10,26,105,3,1,0,0,18,35,0,0,0,0,0,0,0,0,0,0,0,16,427,715
638,B1,57,52,61,28,10,30,82,2,1,0,1,15,6,5,2,1,0,5,3,1,0,0,0,0,16,378,708
638,C1,64,63,22,20,16,26,115,6,0,0,0,17,15,7,1,0,0,2,0,0,0,0,0,0,19,393,708
638,C2,81,45,50,11,25,30,66,3,2,0,0,24,7,13,0,0,0,0,3,0,1,0,0,0,10,371,708
639,B1,64,63,22,20,16,26,115,6,0,0,0,17,15,7,0,1,0,2,0,0,0,0,0,0,19,393,615
639,C1,64,61,15,32,8,21,124,3,2,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,345,615
639,C2,80,59,14,19,20,22,101,1,1,0,1,19,12,6,1,0,0,2,0,1,0,3,0,0,9,371,615
640,B1,7,54,10,14,5,13,103,8,0,0,0,17,0,19,1,1,0,1,1,0,0,0,0,0,16,270,591
640,C1,73,61,13,9,12,22,126,5,0,1,0,12,9,7,1,0,0,2,2,0,1,0,0,0,16,372,591
641,B1,95,70,22,8,22,19,114,5,0,0,2,14,9,8,0,0,0,2,2,0,0,0,0,0,9,401,649
641,C1,95,76,16,6,23,19,123,4,2,1,4,17,7,7,0,1,0,2,0,0,0,0,0,0,0,403,648
642,B1,61,46,23,13,9,23,73,2,1,0,1,19,14,0,0,0,0,0,0,0,0,0,0,0,0,285,526
642,C1,53,37,24,11,16,24,11,2,1,2,0,20,17,0,0,0,0,0,0,0,0,0,0,0,17,235,526
642,C2,45,36,34,18,12,20,67,2,0,0,0,33,2,2,1,0,0,1,2,1,2,0,0,0,18,296,525
643,B1,25,33,23,14,8,13,39,1,0,0,1,39,3,3,1,0,0,0,0,0,1,0,0,0,9,213,398
643,C1,34,21,30,12,8,13,43,0,0,0,1,15,5,7,2,0,1,1,0,1,1,1,0,0,11,207,397
644,B1,45,63,33,16,8,13,63,2,0,1,0,35,10,6,1,0,0,0,0,0,0,0,0,0,12,308,666
644,C1,47,61,13,11,18,15,52,2,1,0,1,13,9,4,0,0,0,0,3,0,3,2,0,0,18,273,666
644,C2,49,41,23,20,19,11,70,5,0,0,1,33,9,4,0,0,0,4,1,1,0,0,0,0,15,306,666
644,C3,46,49,33,6,20,16,62,2,1,0,0,24,6,9,1,0,0,1,0,1,1,1,0,0,17,296,665
645,B1,58,34,17,20,21,16,56,4,1,0,1,9,3,3,0,0,0,0,0,0,0,0,0,0,0,243,578
645,C1,58,34,17,20,21,16,56,4,1,0,1,9,3,3,0,0,0,0,0,0,0,0,0,0,0,243,578
645,C2,49,57,14,25,28,34,62,0,0,0,1,8,9,4,0,0,0,1,2,0,1,0,0,0,24,319,578
646,B1,54,36,16,12,12,17,67,2,2,0,1,13,31,0,0,0,0,0,0,0,0,0,0,0,17,280,532
646,C1,67,30,13,6,16,19,65,3,2,0,0,15,2,11,0,0,0,5,1,0,1,0,0,0,11,267,532
646,C2,62,36,22,14,14,15,85,9,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,269,532
647,B1,89,69,26,19,12,14,101,7,0,1,0,19,5,0,3,1,0,2,0,2,0,0,0,0,18,388,716
647,C1,83,59,23,15,18,29,106,8,2,0,1,19,6,13,0,0,0,13,1,1,1,0,0,0,19,417,716
647,C2,76,52,19,14,16,34,123,8,2,0,1,16,2,12,0,0,0,1,2,0,0,0,0,0,10,388,715
647,C3,84,53,22,11,10,26,118,5,1,0,1,24,0,9,13,1,0,2,0,0,0,1,0,0,17,398,715
648,B1,81,58,27,14,11,25,126,3,0,0,0,33,1,8,1,0,0,1,1,1,0,0,0,0,9,400,684
648,C1,105,56,19,11,13,22,139,3,0,0,0,21,10,10,1,0,0,3,0,0,0,1,1,0,16,431,683
649,B1,82,42,16,19,14,18,88,3,1,0,2,16,4,7,0,0,0,0,1,0,0,1,0,0,20,334,598
649,C1,67,42,22,14,21,38,85,2,2,0,2,10,2,9,0,0,0,2,0,1,0,0,0,0,20,339,597
649,C2,79,44,17,10,21,27,101,2,1,2,1,11,5,8,2,0,0,1,0,0,2,1,1,0,13,349,597
649,C3,103,39,20,15,21,31,116,4,1,0,1,5,8,6,0,1,0,3,1,1,0,0,0,0,17,393,597
650,B1,100,65,53,6,15,45,111,1,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,22,452,744
651,B1,54,58,6,15,28,9,58,1,0,0,7,7,47,0,0,0,0,0,0,0,0,0,0,0,19,309,638
651,C1,61,33,11,8,13,16,66,3,1,0,1,19,11,4,0,0,0,1,0,0,1,0,0,0,11,260,638
651,C2,70,38,20,7,14,23,24,6,2,0,1,12,4,0,0,0,0,0,0,0,0,1,5,0,10,237,637
651,C3,77,74,15,8,10,10,94,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,305,637
651,C4,78,52,14,9,14,14,95,9,0,0,0,28,25,0,0,0,0,0,0,0,0,0,0,0,0,338,637
652,B1,31,37,24,12,63,24,58,7,2,2,2,15,3,0,0,0,3,0,0,0,0,1,0,0,18,302,618
652,C1,34,64,44,4,48,8,59,6,1,2,1,10,1,3,0,0,0,0,1,0,1,0,0,0,28,315,618
652,C2,38,50,29,12,45,34,42,15,2,0,1,8,1,4,0,1,0,0,1,0,3,1,0,0,0,287,618
652,C3,36,51,35,7,42,25,47,12,0,0,1,17,4,5,0,0,0,5,1,0,0,0,0,0,31,319,618
652,C4,45,44,50,44,20,30,54,5,4,0,2,9,2,5,0,0,0,4,1,0,1,0,0,0,15,335,617
916,B1,25,32,9,2,19,16,62,3,1,0,1,33,22,0,0,0,0,0,0,0,0,0,0,0,0,225,583
916,C1,23,35,10,6,35,11,75,5,1,0,0,53,8,6,2,0,0,2,1,0,2,0,0,0,11,286,582
916,C2,18,44,6,3,15,10,74,2,0,1,1,51,15,0,0,0,0,0,0,0,0,0,0,0,11,251,582
917,B1,47,37,19,13,21,14,96,4,2,0,1,28,1,6,0,0,0,0,0,0,0,0,0,0,19,308,733
917,C1,41,51,21,16,17,23,110,3,1,0,0,37,6,9,0,0,0,3,1,0,0,0,0,0,16,355,733
917,C2,52,32,21,12,7,17,85,4,0,1,0,39,7,4,2,0,0,1,0,0,0,0,0,0,16,300,732
917,C3,56,45,19,9,20,13,87,2,0,1,2,35,0,9,6,0,0,1,0,1,0,0,1,0,18,325,732
920,B1,52,57,35,12,11,27,94,0,0,0,0,27,0,10,5,0,0,0,1,1,1,1,0,0,13,347,579
920,C1,59,68,28,9,9,15,76,4,0,0,0,29,6,6,3,0,0,2,0,1,1,1,1,0,12,330,578
947,B1,99,58,22,12,5,22,64,2,1,0,0,24,3,13,1,0,0,0,2,1,0,0,0,0,9,338,674
947,C1,122,48,21,17,6,27,71,2,1,0,0,22,19,10,0,0,0,4,0,2,0,1,0,0,8,381,674
947,C2,109,18,12,17,15,13,55,1,1,1,0,24,1,17,11,1,0,1,1,0,0,0,0,0,8,306,674
948,B1,51,58,19,26,16,14,58,3,0,0,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,285,600
948,C1,58,52,19,12,16,11,53,2,1,0,0,28,0,0,22,0,0,0,0,0,0,0,0,0,16,290,599
948,C2,81,58,27,14,11,25,126,3,0,0,0,33,1,8,1,0,0,1,1,1,0,0,0,0,9,400,599
949,B1,109,37,14,8,29,25,83,5,2,0,0,27,0,12,2,0,0,2,3,0,0,0,0,0,11,369,731
949,C1,93,42,20,12,14,27,85,6,0,0,0,33,22,0,0,0,0,0,0,0,0,0,0,0,10,364,730
949,C2,102,51,23,10,15,23,74,2,0,0,0,41,27,0,0,0,0,0,0,0,0,0,0,0,12,380,730
950,B1,100,65,53,6,15,45,111,1,0,0,0,13,21,0,0,0,0,0,0,0,0,0,0,0,22,452,688
950,C1,101,38,19,9,13,26,73,3,0,0,0,29,9,19,0,0,0,0,2,1,0,0,1,0,13,356,687
951,B1,101,57,29,10,22,19,98,1,1,0,0,23,10,8,0,0,0,1,1,1,3,1,0,0,21,407,637
951,C1,57,68,26,30,16,4,39,1,0,1,0,39,20,0,0,0,0,3,3,0,0,0,0,0,15,322,637
951,C2,47,74,15,15,26,0,68,0,0,0,0,27,15,12,0,0,0,4,0,0,0,0,0,0,15,318,637
960,B1,113,60,18,12,21,26,91,4,0,2,0,16,9,10,3,0,0,0,0,0,0,0,0,0,10,395,673
960,C1,150,93,28,5,12,33,106,10,2,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,457,673
960,C2,152,56,16,8,8,5,101,5,1,1,0,12,13,11,0,0,0,4,1,0,4,0,0,0,16,414,673
960,S1,10,7,2,2,1,1,5,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,35,0
960,S2,11,2,2,0,3,5,7,1,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,1,39,0
961,B1,119,55,12,3,10,87,68,8,1,1,0,11,0,7,0,1,0,5,0,0,0,0,0,0,12,400,686
961,C1,131,45,4,18,5,69,120,2,0,1,1,15,6,8,0,0,0,0,3,0,0,0,0,0,15,443,685
Totales,,12124,7209,3106,1670,2464,3330,12359,507,115,115,149,3213,1267,923,152,32,22,252,104,43,52,41,17,2,1884,51152,92580
