Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_morena_na_pes_mas,c_morena_na_pes,c_morena_na_mas,c_morena_pes_mas,c_na_pes_mas,c_morena_na,c_morena_pes,c_morena_mas,c_na_pes,c_na_mas,c_pes_mas,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
398,C1,118,10,2,117,25,20,68,9,6,24,6,8,5,4,0,0,0,2,0,0,0,0,0,10,0,1,0,1,0,0,1,0,1,0,0,5,443,606
398,C2,109,7,0,134,38,15,61,9,0,18,22,6,6,0,0,0,0,2,0,0,0,0,0,6,0,1,1,1,5,0,1,0,0,0,0,6,448,605
398,S1,4,0,0,5,1,0,9,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,0
399,B1,105,4,3,164,41,17,40,5,3,17,10,2,4,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,0,1,0,0,11,435,645
399,C1,68,19,1,118,35,15,53,4,2,7,13,0,7,2,1,0,0,1,0,1,0,0,0,8,0,2,1,0,1,0,1,1,0,0,0,10,371,645
399,C2,72,7,2,164,20,12,50,6,3,4,28,2,3,1,0,0,0,1,0,0,0,0,0,7,0,1,0,0,1,1,1,0,0,1,0,8,395,644
399,C3,81,9,0,142,34,13,51,14,2,8,14,1,0,0,0,1,0,0,0,1,0,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,380,644
399,C4,78,14,4,149,44,13,43,8,5,6,11,2,7,5,0,2,0,1,2,0,0,0,0,4,2,2,1,0,0,1,0,0,0,0,0,12,416,644
400,B1,94,14,4,144,27,29,90,9,2,21,15,2,1,0,0,0,0,1,1,0,1,0,0,9,0,0,0,0,1,0,4,0,0,1,0,9,479,638
400,C1,88,25,2,105,24,22,81,5,5,11,27,1,4,5,0,1,0,3,0,0,0,0,0,7,1,1,1,0,0,2,0,0,0,0,0,9,430,638
400,C2,76,8,1,146,26,12,80,10,1,20,15,4,7,2,1,1,0,2,0,0,0,0,0,7,1,0,0,1,3,0,1,0,0,0,0,3,428,637
401,B1,100,15,3,93,19,31,66,6,2,15,15,3,6,8,1,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,1,0,1,0,0,7,402,604
401,C1,116,15,4,104,17,31,59,4,3,9,19,3,4,1,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,11,410,604
401,C2,113,14,1,102,32,23,73,2,0,11,10,4,4,5,0,0,0,2,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,8,410,603
401,C3,88,9,4,123,27,24,58,4,1,7,9,4,8,5,0,1,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,12,391,603
403,B1,106,14,8,92,25,24,88,8,7,5,11,0,10,6,1,0,0,3,0,2,0,0,0,5,0,0,0,0,0,1,1,0,0,2,0,12,431,749
403,C1,124,12,3,95,22,21,78,3,3,12,10,1,2,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,4,0,1,0,1,9,409,749
403,C2,125,8,2,92,17,23,94,5,5,14,21,2,2,5,1,1,0,1,0,0,0,0,0,9,0,2,0,0,1,0,0,0,0,0,0,1,431,749
403,C3,135,14,3,98,33,19,75,6,7,15,15,3,5,8,1,1,0,1,0,0,0,0,0,6,0,1,4,0,1,0,2,0,0,0,0,6,459,748
403,C4,129,10,1,108,19,19,92,13,5,12,13,2,2,7,0,0,0,5,2,1,0,0,0,5,0,0,1,0,1,1,0,0,0,0,0,12,460,748
403,C5,115,14,2,104,20,27,94,8,5,11,18,3,1,0,1,0,0,3,0,0,0,0,0,4,0,0,0,0,0,2,4,0,1,0,0,7,444,748
403,C6,107,16,4,102,26,23,88,6,6,16,11,1,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,422,748
404,B1,74,12,1,137,44,23,53,6,1,1,17,3,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,400,549
404,C1,66,6,0,127,66,20,27,6,2,4,12,5,0,4,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,351,549
404,C2,61,7,3,129,50,25,54,3,4,8,13,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,374,549
405,B1,78,9,2,158,94,23,33,5,5,10,8,3,3,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,9,447,651
405,C1,100,10,1,120,68,22,45,3,0,12,5,4,3,7,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,419,650
407,B1,85,11,1,177,64,16,33,5,2,6,7,1,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,13,431,683
407,C1,72,11,1,188,68,25,44,3,3,7,19,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8,456,682
407,C2,81,10,3,187,67,21,37,8,1,6,3,2,0,2,0,0,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,19,454,682
407,C3,75,16,3,161,69,11,54,2,5,10,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,11,431,682
408,B1,83,8,3,142,22,24,58,14,1,3,15,1,3,3,1,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,0,0,1,0,0,11,400,607
408,C1,89,8,2,109,37,17,72,6,3,10,15,0,3,0,0,0,0,2,0,0,1,0,0,10,0,0,1,0,0,1,0,0,0,0,0,13,399,607
408,C2,79,6,1,143,25,22,55,6,1,8,8,0,3,2,1,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,10,376,607
