Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
501,B1,24,15,21,6,88,6,139,6,0,7,1,15,7,4,1,1,0,0,0,0,0,0,0,0,14,355,572
501,C1,34,18,9,4,68,5,153,11,0,10,0,19,6,3,2,1,0,1,0,0,0,0,0,0,10,354,572
501,C2,24,15,21,6,88,6,139,6,0,7,1,15,4,4,1,1,3,0,0,0,0,0,0,0,14,355,572
501,C3,45,13,15,4,91,5,173,3,0,11,0,9,2,6,0,0,0,0,0,0,0,0,0,0,5,382,571
502,B1,45,27,27,20,69,7,149,5,0,8,0,18,8,9,0,0,0,0,1,0,0,0,0,0,7,400,583
502,C1,45,35,26,9,52,4,170,11,1,1,8,25,0,4,3,0,0,2,0,0,0,0,0,0,0,396,582
503,B1,21,17,18,6,78,1,98,7,0,5,0,25,0,5,0,0,0,0,0,1,0,0,0,0,4,286,392
504,B1,36,17,20,16,95,3,209,3,0,0,1,27,4,4,1,0,0,1,0,1,0,0,0,0,9,447,717
504,C1,39,18,35,16,93,6,159,1,0,7,0,28,4,2,0,0,0,0,0,0,1,0,1,0,7,417,717
504,C2,25,25,22,21,69,13,184,5,1,15,1,38,4,1,1,0,0,0,0,0,1,1,0,0,10,437,717
505,B1,22,15,26,13,77,1,140,5,2,11,2,12,3,4,0,1,0,0,0,1,0,0,0,0,9,344,537
505,C1,18,16,19,11,90,3,129,4,0,6,0,23,2,5,0,0,0,0,1,1,0,0,0,0,10,338,537
505,C2,24,16,26,19,64,2,140,1,0,5,0,16,2,2,0,0,0,0,0,0,0,0,0,0,9,326,537
506,B1,39,21,12,11,102,4,174,6,0,5,0,15,1,1,0,0,0,1,0,0,0,0,0,0,0,392,586
506,S1,7,9,7,0,16,0,29,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,78,0
507,B1,46,32,25,12,98,4,204,8,0,23,2,9,10,0,0,0,0,0,0,0,0,0,0,0,13,486,662
508,B1,23,24,20,7,64,6,97,4,0,10,0,17,5,0,0,0,0,0,0,0,0,0,1,0,0,278,480
508,C1,22,19,17,10,60,2,125,5,0,12,0,15,2,3,0,0,0,0,0,0,0,0,0,0,14,306,480
509,B1,7,2,3,0,25,0,35,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,83,119
510,B1,44,14,30,9,78,3,128,8,1,3,0,13,14,0,0,0,0,0,0,0,0,0,0,1,7,353,535
510,C1,24,13,39,7,70,3,145,3,0,1,0,14,1,6,1,0,0,1,0,2,0,0,1,0,16,347,535
510,C2,20,15,30,8,77,3,124,3,1,9,1,17,0,2,0,0,0,0,0,0,0,0,0,0,7,317,535
511,B1,41,30,27,8,54,4,150,11,0,14,1,19,1,4,0,0,0,0,0,0,0,1,0,1,8,374,560
511,C1,30,26,21,11,76,1,163,9,0,10,1,16,0,1,2,0,0,1,0,1,0,0,0,1,10,380,560
512,B1,42,28,34,18,63,5,145,14,0,6,1,40,0,6,3,0,0,2,1,0,1,0,0,0,6,415,624
513,B1,25,24,36,9,84,4,161,3,0,9,1,31,6,4,0,2,0,0,1,0,0,0,1,0,7,408,679
513,C1,31,22,19,8,75,3,180,7,1,9,0,21,3,8,2,1,0,0,0,0,0,0,1,0,10,401,678
514,B1,28,18,26,26,42,0,110,3,0,8,1,18,0,4,0,0,0,4,1,0,0,0,0,0,9,298,421
514,C1,26,17,30,26,51,5,100,2,0,6,0,11,4,2,0,0,0,0,0,0,0,0,0,0,5,285,420
515,B1,23,21,35,46,75,1,151,8,7,7,0,34,4,2,0,2,0,1,1,0,1,0,0,1,15,435,632
516,B1,24,27,22,12,90,2,160,3,3,8,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,360,608
516,C1,22,18,29,15,98,1,176,4,4,6,1,27,3,5,0,1,0,0,0,0,0,0,0,0,1,411,608
516,C2,27,14,21,10,121,2,160,4,0,6,2,28,4,2,1,0,0,1,0,0,0,0,0,0,9,412,608
517,B1,16,11,12,3,48,0,84,0,0,4,1,11,1,3,0,0,0,0,0,0,0,0,0,0,4,198,263
518,B1,32,36,22,11,75,6,193,1,1,4,0,6,4,5,0,1,0,1,0,0,0,0,1,0,26,425,739
518,C1,34,38,30,4,68,10,239,3,0,9,1,5,0,3,0,0,2,1,0,0,0,0,0,0,0,447,739
518,S1,4,2,0,1,3,0,15,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,29,0
519,B1,37,17,29,5,81,4,206,11,0,2,0,8,6,3,0,0,0,0,2,0,0,0,0,0,15,426,683
519,C1,23,39,28,7,60,11,227,4,0,0,1,12,1,8,0,0,0,1,0,0,0,0,0,0,12,434,682
520,B1,42,45,33,9,59,6,179,1,0,8,1,20,1,8,1,0,0,1,0,0,1,0,0,0,20,435,688
520,C1,55,45,19,3,78,2,176,1,3,6,0,15,5,6,0,1,0,3,0,0,2,0,0,0,18,438,688
521,B1,23,15,15,9,35,2,200,2,0,11,1,11,1,1,0,0,0,1,0,0,0,1,0,0,14,342,520
521,E1,37,25,28,17,72,6,196,3,0,9,1,22,3,5,0,0,0,2,1,0,0,0,0,0,14,441,720
521,E1 C1,26,22,22,13,62,6,214,1,1,10,0,26,0,0,0,0,0,1,1,2,1,0,5,0,15,428,719
522,B1,49,43,26,12,77,6,202,6,0,16,0,20,9,6,0,0,0,0,1,0,0,0,0,0,17,490,687
523,B1,62,33,26,8,42,11,228,12,0,14,0,10,4,2,0,0,0,1,0,0,0,0,0,0,10,463,705
524,B1,45,19,14,5,48,7,139,4,0,5,0,8,0,3,1,0,0,0,0,0,0,0,0,0,7,305,455
524,C1,34,13,14,15,38,10,151,8,1,14,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,314,455
525,B1,31,15,24,7,108,1,133,1,0,4,0,14,3,3,1,1,0,2,0,0,0,0,0,1,10,359,657
525,C1,22,20,28,13,110,2,166,3,0,6,1,19,2,0,0,0,0,0,0,0,0,0,0,0,12,404,656
525,C2,44,15,23,16,96,2,135,1,0,5,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,356,656
525,C3,20,20,30,16,105,4,149,3,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,370,656
525,C4,27,14,46,7,121,0,132,0,0,0,0,20,8,4,0,0,0,1,0,1,0,0,0,0,11,392,656
525,C5,18,11,24,5,117,4,144,3,1,4,1,12,5,9,0,0,0,0,0,0,0,0,0,1,9,368,656
525,C6,25,13,31,11,120,2,123,0,0,11,0,9,4,3,0,0,0,0,2,0,0,0,0,0,17,371,656
526,B1,24,15,22,13,206,1,83,0,1,1,0,10,0,5,0,0,0,2,3,0,0,0,0,0,0,386,573
526,C1,29,11,34,9,201,1,76,1,0,1,0,7,1,1,0,0,0,0,1,0,0,0,0,0,12,385,573
526,C2,22,7,28,11,207,0,85,2,1,1,0,9,3,1,0,0,0,0,0,0,0,0,0,0,11,388,572
527,B1,20,8,36,8,29,3,145,0,1,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,295,536
527,C1,19,8,24,17,22,2,148,1,0,10,0,14,3,3,0,0,0,1,0,0,0,1,0,1,11,285,535
528,B1,26,20,13,7,38,0,175,0,0,4,0,21,4,1,0,0,0,0,0,0,0,0,1,0,0,310,606
528,C1,21,15,10,4,54,4,164,1,0,9,1,19,2,1,0,0,0,3,1,0,0,0,1,0,7,317,606
529,B1,19,11,23,13,67,6,128,0,0,20,1,19,4,3,0,0,0,0,0,0,2,0,0,0,7,323,582
529,C1,15,10,17,10,55,2,144,0,1,12,0,18,2,4,0,0,0,0,0,0,0,0,0,0,15,305,582
529,C2,19,10,25,7,62,6,112,0,0,22,1,19,8,0,0,0,0,0,0,0,0,0,0,0,10,301,582
529,C3,26,10,14,9,74,4,131,1,1,17,0,20,0,1,3,0,0,0,0,1,0,1,2,0,10,325,582
530,B1,33,16,40,11,64,2,132,0,1,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,333,610
530,C1,32,19,36,7,77,2,112,2,0,9,0,23,8,8,0,0,0,1,1,1,1,0,0,0,14,353,610
530,C2,17,23,36,15,76,3,123,0,0,9,0,23,3,1,1,0,0,0,0,0,1,0,0,0,9,340,610
530,C3,21,23,40,9,70,1,132,0,1,7,0,27,0,6,2,0,4,1,0,0,1,0,0,0,11,356,609
531,B1,28,22,46,6,44,0,142,2,0,10,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,325,645
531,C1,17,25,58,7,32,2,140,2,1,22,0,32,2,4,0,0,0,1,0,0,2,0,1,0,18,366,645
531,C2,22,27,46,10,45,1,161,2,0,13,1,30,4,1,0,0,1,0,3,0,1,0,0,0,16,384,644
532,B1,24,7,24,5,51,1,97,13,0,32,0,19,0,6,0,0,0,2,1,0,0,0,1,0,15,298,553
532,E1,28,12,31,3,77,1,104,13,1,1,0,18,1,3,0,0,0,6,2,0,1,0,0,0,9,311,581
533,B1,14,11,13,5,30,5,152,44,0,5,0,20,1,0,0,0,0,0,1,0,0,0,1,0,10,312,575
533,C1,14,11,8,6,20,7,136,40,0,12,2,27,0,3,0,0,1,0,0,0,0,0,0,0,16,303,575
