Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
423,B1,3,2,1,140,53,5,170,0,0,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,397,521
423,C1,7,0,0,173,31,2,141,0,2,10,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,378,521
423,C2,3,1,1,170,56,6,141,1,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,407,521
424,B1,3,1,0,206,38,8,181,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,466,636
424,C1,4,0,0,200,33,7,178,0,0,19,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,456,636
425,B1,5,0,0,198,50,8,168,1,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,484,657
425,C1,4,2,0,172,68,11,178,2,0,40,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,11,496,657
426,B1,2,2,0,91,190,5,135,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,445,604
426,C1,0,2,0,81,181,10,144,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,432,604
426,C2,1,1,0,73,200,2,140,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,441,604
426,C3,1,0,0,89,215,5,128,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,453,603
427,B1,0,1,0,85,168,9,153,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,427,555
427,C1,0,0,0,101,149,8,137,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,404,555
427,C2,2,0,0,95,173,4,113,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,400,554
428,B1,2,1,0,90,185,5,98,1,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,404,580
428,C1,1,2,2,86,186,5,95,0,0,5,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,407,579
428,C2,0,0,0,113,180,3,115,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,423,579
429,B1,0,3,1,211,33,6,225,0,1,5,9,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,505,711
429,C1,1,0,0,225,34,15,174,1,2,3,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,491,710
429,C2,2,1,0,219,36,7,208,1,3,4,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,506,710
430,B1,0,0,0,188,103,1,110,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,414,604
430,C1,3,3,0,200,113,3,95,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,446,603
430,C2,1,1,0,182,125,10,80,0,1,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,451,603
Totales,,45,23,5,3388,2600,145,3307,8,15,216,171,5,5,2,1,0,0,0,0,0,0,0,0,14,3,180,10133,13907
