Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,cand_ind_luis_armando_jaime_maldonado,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
86,B1,0,1,0,18,92,3,14,23,110,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,84,0,12,362,482
86,C1,1,2,0,6,90,2,17,28,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,5,348,481
87,B1,0,2,0,9,97,2,12,36,115,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,160,0,11,449,570
87,C1,2,2,0,4,95,5,10,32,101,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,156,0,10,423,570
87,E1,2,1,1,8,57,1,25,14,26,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,34,0,2,175,232
88,B1,5,2,0,46,89,11,20,7,137,0,2,5,0,2,0,0,0,1,0,0,0,0,0,1,129,0,4,461,665
89,B1,1,0,0,37,61,4,38,13,109,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,118,0,13,396,603
89,C1,0,4,0,52,50,4,42,10,111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,129,0,17,421,602
90,B1,3,1,0,6,67,7,14,15,94,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,73,0,12,294,411
91,B1,1,3,0,3,38,1,13,10,34,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,50,0,2,158,215
92,B1,1,1,2,16,52,2,9,17,92,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,90,0,14,302,433
92,C1,0,1,0,8,67,0,15,14,83,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105,0,11,306,433
93,B1,1,0,1,10,51,8,12,26,119,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,130,0,6,367,519
93,C1,0,1,0,12,56,5,19,28,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,10,369,519
94,B1,1,2,0,9,36,4,25,6,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,15,315,441
94,C1,0,1,0,7,44,3,20,8,123,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,119,0,14,341,441
95,B1,2,0,1,11,30,0,11,3,144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,137,0,9,349,501
96,B1,0,0,0,17,8,3,2,5,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,6,185,243
Totales,,20,24,5,279,1080,65,318,295,1793,2,5,28,6,5,0,0,0,3,1,0,0,1,0,3,1915,0,173,6021,8361
