Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
869,B1,4,5,0,19,51,65,62,1,1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,312,516
869,C1,4,2,1,8,45,55,73,0,0,115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,318,515
869,C2,0,0,1,9,53,39,91,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,319,515
870,B1,15,2,0,14,40,51,78,0,0,162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,377,583
870,C1,6,4,1,11,48,53,76,1,2,159,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,370,583
870,C2,6,3,4,14,45,58,81,0,0,165,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,389,583
871,B1,5,4,1,16,92,108,101,1,2,155,0,1,0,3,0,0,0,0,0,0,0,0,0,0,9,498,720
871,C1,12,6,0,29,80,64,118,0,3,169,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,484,719
872,B1,4,2,0,17,36,52,67,0,0,111,1,3,0,3,0,0,0,0,0,0,0,0,0,0,12,308,456
873,B1,2,1,2,17,69,84,97,1,2,161,0,1,0,1,1,0,0,0,0,0,0,0,0,0,10,449,676
873,C1,1,2,1,12,63,106,121,0,2,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,458,676
873,C2,1,4,2,10,67,103,110,2,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,458,676
874,B1,2,7,2,17,76,68,86,1,1,159,1,6,0,0,0,0,0,1,0,0,0,0,0,0,7,434,704
874,C1,5,11,2,18,76,64,106,1,0,161,1,9,0,0,0,0,0,0,0,0,0,0,0,0,15,469,704
875,B1,11,2,0,12,63,59,91,1,0,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,349,477
875,C1,7,5,1,12,44,49,72,1,1,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,333,476
876,B1,7,2,1,3,39,45,86,1,1,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,267,456
876,C1,6,0,0,4,57,59,80,2,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,292,456
876,S1,0,0,0,0,9,6,15,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,0
877,B1,0,0,0,21,9,58,42,1,1,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,222,305
878,B1,5,1,0,6,31,75,59,0,3,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,250,368
879,B1,1,4,1,21,49,66,88,1,0,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,345,542
879,C1,1,4,2,11,38,88,82,0,1,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,386,542
880,B1,8,10,0,14,91,105,82,1,0,180,1,2,0,0,0,0,0,0,0,0,0,1,0,0,10,505,735
881,B1,13,3,1,24,78,81,89,1,5,94,3,0,0,2,0,0,0,0,0,0,0,0,0,0,7,401,569
881,C1,7,3,0,15,51,83,104,3,5,104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,384,568
882,B1,5,5,1,14,76,93,97,0,0,106,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,403,587
882,C1,7,2,0,14,90,89,83,1,0,109,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,409,586
883,B1,9,7,1,10,84,51,102,2,7,102,4,1,0,2,0,0,0,0,0,0,0,0,0,1,4,387,532
883,C1,5,1,1,20,76,65,91,1,4,89,0,1,1,1,0,0,0,0,0,0,0,0,0,0,9,365,532
884,B1,7,8,0,12,76,98,60,1,0,114,3,3,0,0,0,0,0,0,0,0,0,0,0,0,13,395,665
884,C1,3,6,1,24,71,97,52,0,0,129,1,1,0,0,1,0,0,1,0,0,0,0,0,0,11,398,664
885,B1,15,10,2,24,78,124,124,2,0,125,2,3,0,0,0,0,0,0,0,0,0,0,0,0,15,524,749
885,C1,10,9,1,18,86,114,117,0,6,160,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,529,749
886,B1,3,1,0,18,19,29,78,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,259,440
887,B1,2,4,2,15,34,66,101,2,0,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,364,639
887,C1,2,4,1,11,23,63,82,3,0,144,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,351,638
888,B1,10,2,0,55,34,67,132,2,0,113,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,422,638
888,C1,4,2,4,69,42,54,108,2,4,125,1,2,0,1,1,0,0,0,0,0,0,0,0,0,10,429,638
888,C2,4,4,0,56,39,49,119,3,1,137,0,3,0,1,0,0,0,0,0,0,0,0,0,0,14,430,637
889,B1,4,7,5,38,24,65,81,1,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,296,417
889,C1,10,5,3,38,24,59,101,0,0,46,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,297,417
890,B1,5,1,0,45,34,75,99,0,0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,342,533
890,C1,6,4,0,51,33,62,94,0,0,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,355,533
890,C2,7,6,2,54,38,74,74,1,0,84,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,351,532
891,B1,3,12,3,29,31,85,113,0,0,104,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,396,645
891,C1,12,14,1,25,33,78,112,0,2,102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15,396,645
892,B1,6,6,0,27,37,56,89,2,0,61,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,298,513
892,C1,10,6,0,36,31,59,96,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,319,512
893,B1,10,8,4,37,49,93,145,1,0,120,1,1,0,3,0,0,0,0,0,0,0,0,0,0,7,479,705
893,C1,9,7,1,23,38,102,115,0,2,142,2,1,0,0,0,0,0,0,0,0,3,0,0,0,12,457,704
894,B1,7,1,0,73,42,71,113,0,0,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,406,646
894,C1,18,7,1,55,51,70,86,0,2,88,1,0,1,0,0,0,0,1,0,0,0,0,0,0,14,395,646
1005,VMORA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Totales,,326,236,57,1245,2693,3752,4822,46,60,5996,32,62,11,25,3,0,0,3,0,0,3,1,0,2,502,19877,30262
