Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
412,B1,15,93,3,24,0,125,105,20,33,0,9,0,0,16,0,0,0,0,0,0,0,0,0,14,0,12,469,633
412,C1,15,89,2,27,0,123,99,31,28,0,19,1,0,17,0,0,0,0,0,0,0,0,0,30,0,24,505,633
412,C2,9,73,3,29,4,123,104,24,50,0,19,1,16,0,0,0,0,0,0,0,0,0,0,19,0,12,486,632
413,B1,18,100,2,36,3,136,83,27,21,1,16,0,24,0,0,0,0,0,0,0,0,0,0,20,0,11,498,647
413,C1,9,90,2,26,4,119,121,29,27,1,13,1,13,0,0,0,0,0,0,0,0,0,0,25,0,16,496,647
413,C2,12,89,3,23,2,108,90,33,38,0,9,3,16,0,0,0,0,0,0,0,0,0,0,18,0,25,469,646
414,B1,16,83,3,16,1,122,95,24,19,0,12,0,0,9,0,0,0,0,0,0,0,0,0,20,0,13,433,550
414,C1,13,69,0,14,1,112,78,32,36,1,13,2,18,0,0,0,0,0,0,0,0,0,0,21,0,16,426,550
414,C2,19,86,3,14,2,92,84,28,32,0,8,1,17,0,0,0,0,0,0,0,0,0,0,15,0,8,409,549
415,B1,1,19,0,0,1,18,33,14,40,0,7,1,6,0,0,0,0,0,0,0,0,0,0,6,0,2,148,179
416,B1,15,56,4,13,1,79,112,55,31,0,13,0,14,0,0,0,0,0,0,0,0,0,0,14,0,11,418,581
416,C1,10,73,5,13,2,62,128,71,9,0,11,0,9,0,0,0,0,0,0,0,0,0,0,13,0,17,423,581
416,C2,12,52,4,16,2,76,112,56,36,0,9,0,13,0,0,0,0,0,0,0,0,0,0,9,0,9,406,581
416,C3,9,55,7,23,4,67,122,60,17,1,11,1,10,0,0,0,0,0,0,0,0,0,0,7,0,0,394,580
417,B1,8,79,0,18,1,78,110,70,13,0,21,2,9,0,0,0,0,0,0,0,0,0,0,15,0,0,424,623
417,C1,13,54,4,20,2,75,132,64,35,0,16,2,5,0,0,0,0,0,0,0,0,0,0,19,0,20,461,623
417,C2,8,45,2,25,1,87,123,57,40,0,21,1,13,0,0,0,0,0,0,0,0,0,0,19,1,14,457,623
417,C3,3,52,6,22,2,90,116,66,44,0,32,6,6,0,0,0,0,0,0,0,0,0,0,21,0,16,482,622
418,B1,25,81,5,25,7,81,128,28,12,1,12,5,14,0,0,0,0,0,0,0,0,0,0,8,0,22,454,679
418,C1,23,78,3,27,3,82,130,36,17,1,18,1,19,0,0,0,0,0,0,0,0,0,0,15,0,16,469,679
418,C2,21,84,5,23,6,64,148,32,22,1,15,1,16,0,0,0,0,0,0,0,0,0,0,10,0,13,461,679
419,B1,6,79,3,72,3,85,92,54,17,2,15,3,10,0,0,0,0,0,0,0,0,0,0,3,0,25,469,577
419,C1,9,85,1,54,3,68,93,57,25,1,19,1,13,0,0,0,0,0,0,0,0,0,0,2,0,20,451,577
419,C2,10,75,5,59,6,73,109,56,14,0,10,4,6,0,0,0,0,0,0,0,0,0,0,3,0,22,452,576
420,B1,31,43,6,18,6,113,89,22,10,1,8,2,13,0,0,0,0,0,0,0,0,0,0,21,0,12,395,565
420,C1,54,54,4,20,11,83,84,18,12,0,16,3,11,0,0,0,0,0,0,0,0,0,0,18,0,30,418,564
421,B1,68,74,3,6,8,94,127,31,13,0,19,2,13,0,0,0,0,0,0,0,0,0,0,11,0,21,490,693
422,B1,57,76,9,10,5,43,77,11,26,1,9,4,15,0,0,0,0,0,0,0,0,0,0,10,0,8,361,493
422,C1,58,84,2,16,6,50,63,12,12,0,5,2,18,0,0,0,0,0,0,0,0,0,0,6,1,16,351,493
Totales,,567,2070,99,689,97,2528,2987,1118,729,12,405,50,337,42,0,0,0,0,0,0,0,0,0,412,2,431,12575,17055
