Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
569,B1,51,12,1,4,2,61,351,7,2,62,4,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,570,749
569,C1,73,12,1,2,1,39,368,20,3,56,7,2,3,4,0,0,0,1,0,0,0,0,0,1,0,13,606,749
569,C2,80,7,4,2,2,30,334,18,2,64,4,1,3,3,0,0,0,0,0,0,0,0,0,3,0,13,570,748
570,B1,49,3,7,1,3,26,209,17,1,58,4,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,385,472
570,C1,62,8,5,1,0,26,208,19,1,26,2,1,4,3,0,0,0,0,1,0,0,0,0,0,0,7,374,471
571,B1,94,3,2,6,4,49,273,8,3,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,497,612
571,C1,74,5,6,0,3,6,271,16,0,31,4,2,3,3,0,0,0,2,1,0,0,0,0,2,0,0,429,612
572,B1,44,4,1,1,1,55,247,2,5,232,4,1,3,0,0,0,0,0,0,0,0,0,0,1,0,16,617,734
572,C1,57,1,2,1,1,48,293,3,7,221,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,11,652,733
573,B1,58,5,1,0,3,39,136,2,20,91,3,4,1,4,0,0,0,1,0,3,0,0,0,4,0,0,375,548
573,C1,62,7,2,4,1,33,161,3,28,98,3,2,1,4,0,0,0,2,0,4,0,0,0,2,0,0,417,548
574,B1,37,5,0,0,3,68,99,9,33,137,8,2,0,2,0,1,0,1,0,0,0,0,0,1,0,6,412,490
574,C1,75,4,1,1,1,64,121,4,31,99,4,2,2,3,0,0,0,0,1,0,0,0,0,3,0,5,421,490
575,B1,11,3,0,3,0,5,110,2,0,316,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,458,592
575,C1,5,4,0,0,0,3,136,0,1,314,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,472,591
575,C2,13,4,1,1,0,5,130,0,2,319,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,485,591
576,B1,6,1,1,1,0,3,75,0,3,301,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,407,515
576,C1,7,1,0,1,0,3,87,0,3,313,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,418,514
576,C2,11,0,0,0,1,4,77,0,4,287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,398,514
577,B1,59,12,4,1,0,49,92,3,7,83,6,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,331,408
577,C1,61,9,7,2,0,43,103,10,9,57,3,0,7,0,0,0,0,0,0,0,0,0,0,2,0,4,317,407
578,B1,16,2,1,0,2,296,82,5,3,81,26,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,541,729
578,C1,27,2,0,0,0,283,91,4,5,76,18,1,4,1,0,0,0,0,1,0,0,0,0,20,0,0,533,729
578,C2,13,1,2,4,4,292,81,3,5,79,21,0,0,1,0,2,0,0,0,0,0,0,0,15,0,13,536,729
Totales,,1045,115,49,36,32,1530,4135,155,178,3441,140,32,47,31,2,3,0,10,5,7,0,0,0,79,0,149,11221,14275
