Seccion,Casilla,pan,pri,prd,pvem,pt,mc,morena,na,pes,mas,progresa,rsp,c_pan_pri_prd_rsp,c_pan_pri_prd,c_pan_pri_rsp,c_pan_prd_rsp,c_pri_prd_rsp,c_pan_pri,c_pan_prd,c_pan_rsp,c_pri_prd,c_pri_rsp,c_prd_rsp,c_mc_progresa,no_registrados,num_votos_nulos,Tot.Votos,L.Nominal
895,B1,2,0,1,55,92,28,163,0,0,56,4,1,0,1,0,0,0,0,0,0,0,0,0,6,0,12,421,519
895,C1,1,1,0,73,88,17,129,1,0,56,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,16,392,519
896,B1,3,1,1,78,121,39,164,0,1,68,7,1,0,0,0,0,0,0,0,0,0,0,0,6,0,8,498,651
896,C1,5,1,0,101,122,38,142,0,2,57,9,0,0,0,0,0,0,0,0,0,0,0,0,9,2,16,504,650
897,B1,2,6,0,36,67,29,140,1,0,46,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11,345,445
897,C1,1,2,0,40,67,27,116,0,3,34,4,3,0,0,0,0,0,0,0,0,0,0,0,8,0,12,317,444
898,B1,0,0,0,145,142,24,141,1,0,36,6,2,0,0,0,0,0,0,0,0,0,0,0,6,0,5,508,636
898,C1,0,0,2,151,176,20,122,1,0,47,11,1,0,0,0,0,0,0,0,1,0,0,0,5,0,6,543,635
899,B1,1,0,0,102,245,15,162,0,2,47,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,601,744
899,C1,0,0,0,79,239,21,163,0,0,59,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,586,743
900,B1,1,1,0,57,175,18,163,0,0,57,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,502,637
900,C1,0,0,0,73,185,17,127,1,0,73,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,492,637
900,C2,0,1,0,79,151,13,131,2,0,87,9,1,0,0,0,0,0,0,0,0,0,0,0,5,0,14,493,636
Totales,,16,13,4,1069,1870,306,1863,7,8,723,89,11,0,1,0,0,0,0,0,1,0,0,0,79,2,140,6202,7896
