ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_PMC,C_COMUN_PRD_PVEM,PAN_PRD_PMC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,140,276,,14285,,2948,2779,6512,3210,19285,1756,30063,,,,,,,,,,80838,39,4671,85548,153291,http://iem.org.mx/actas_dtto/D4_LA PIEDAD.pdf
16,MICHOACAN,2,PURUÁNDIRO,165,304,,20561,,,6529,,1937,,700,,,,33184,23862,,,,,,86773,80,6021,92874,163427,http://iem.org.mx/actas_dtto/D4_PURUÁNDIRO.pdf
16,MICHOACAN,3,MARAVATÍO,98,235,,15082,,,8901,3360,3888,,2223,16652,,,,22699,,,,,,72805,39,6469,79313,142426,http://iem.org.mx/actas_dtto/D4_MARAVATÍO.pdf
16,MICHOACAN,4,JIQUILPAN,140,269,,19984,,,3546,,2228,,640,,,,31991,23031,,,,,,81420,119,4428,85967,142296,http://iem.org.mx/actas_dtto/D4_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,96,207,,14378,,,,,940,,2825,,5535,17230,,23152,,,,,,64060,44,5240,69344,112507,http://iem.org.mx/actas_dtto/D4_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,96,250,11672,10381,,,,5480,888,,1337,,,11791,,28393,,,,,,69942,88,3807,73837,144521,http://iem.org.mx/actas_dtto/D4_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,123,264,,13408,,3719,16204,,2012,19765,1696,,,,22003,,,,,,,78807,54,5460,84321,154871,http://iem.org.mx/actas_dtto/D4_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,112,264,,14822,,,12180,,5129,,4453,,,,22397,24117,,,,,,83098,42,5920,89060,148810,http://iem.org.mx/actas_dtto/D4_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,138,292,,14472,,,,,1463,,853,,26005,15957,,22068,,,,,,80818,47,4494,85359,151793,http://iem.org.mx/actas_dtto/D4_LOS REYES.pdf
16,MICHOACAN,10,MORELIA NOROESTE,49,216,,10156,,,5012,,1022,,5808,,,,11522,23604,7310,,,,,64434,76,4965,69475,138721,http://iem.org.mx/actas_dtto/D4_MORELIA NOROESTE.pdf
16,MICHOACAN,11,MORELIA NORESTE,95,250,,10562,,,13087,,1310,,3786,,,,18733,24057,,10884,,,,82419,117,5167,87703,151522,http://iem.org.mx/actas_dtto/D4_MORELIA NORESTE.pdf
16,MICHOACAN,12,HIDALGO,126,266,,16850,,,4661,,1992,,1884,,,,28563,25440,,,,,,79390,78,6443,85911,148245,http://iem.org.mx/actas_dtto/D4_HIDALGO.pdf
16,MICHOACAN,13,ZITÁCUARO,99,233,,10433,,,5082,,1699,,2653,,,,27838,30618,,,,,,78323,68,6733,85124,137312,http://iem.org.mx/actas_dtto/D4_ZITÁCUARO.pdf
16,MICHOACAN,14,URUAPAN NORTE,88,214,,5839,,,,,1034,,1654,,11660,18470,,23336,,,,,,61993,112,4229,66334,123362,http://iem.org.mx/actas_dtto/D4_URUAPAN NORTE.pdf
16,MICHOACAN,15,PÁTZCUARO,96,239,,18509,,,6467,,1728,,3767,,,,24616,24577,,,,,,79664,52,6795,86511,142611,http://iem.org.mx/actas_dtto/D4_PÁTZCUARO.pdf
16,MICHOACAN,16,MORELIA SUROESTE,80,252,,12684,,,6197,,1790,,3800,,,,16960,29866,,,8248,,,79545,156,6057,85758,153146,http://iem.org.mx/actas_dtto/D4_MORELIA SUROESTE.pdf
16,MICHOACAN,17,MORELIA SURESTE,127,281,,11369,,,6263,,1565,,4156,,,,28771,30127,,,,8013,,90264,208,6471,96943,158134,http://iem.org.mx/actas_dtto/D4_MORELIA SURESTE.pdf
16,MICHOACAN,18,HUETAMO,178,272,,14907,,,6780,,1164,,1320,,,,39015,21669,,,,,,84855,18,5619,90492,135586,http://iem.org.mx/actas_dtto/D4_HUETAMO.pdf
16,MICHOACAN,19,TACÁMBARO,140,269,,15565,,,8964,,3826,,784,,,,33767,19350,,,,,,82256,132,6344,88732,144727,http://iem.org.mx/actas_dtto/D4_TACÁMBARO.pdf
16,MICHOACAN,20,URUAPAN SUR,54,188,,4706,,,,,772,,1388,,9909,17807,,23871,,,,,,58453,79,3457,61989,116648,http://iem.org.mx/actas_dtto/D4_URUAPAN SUR.pdf
16,MICHOACAN,21,COALCOMÁN,114,230,,14532,,,,,2922,,,,8963,22028,,22958,,,,,,71403,21,4875,76299,127314,http://iem.org.mx/actas_dtto/D4_COALCOMÁN.pdf
16,MICHOACAN,22,MÚGICA,124,249,,23973,,,2973,,2020,,,,,,18458,29670,,,,,,77094,22,4514,81630,130248,http://iem.org.mx/actas_dtto/D4_MÚGICA.pdf
16,MICHOACAN,23,APATZINGÁN,105,226,,16298,,,4219,,1302,,765,,,,15468,24463,,,,,,62515,35,3677,66227,124722,http://iem.org.mx/actas_dtto/D4_APATZINGÁN.pdf
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,223,,9672,,,1877,,662,,1682,,,,13884,43606,,,,,4597,75980,99,3507,79586,134983,http://iem.org.mx/actas_dtto/D4_LÁZARO CÁRDENAS.pdf
