ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRD,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAN_IND1,CAN_IND2,CAN_IND3,CAN_IND4,PRI_PVEM,PRD_PT_NVA_ALIANZA,PRD_PT,PRD_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,1,,109,283,3266,0,0,3621,1789,17029,1644,3441,0,0,0,0,7933,0,19016,0,104,57739,3245,61088,160717,0.3801
9,DISTRITO FEDERAL,2,,192,372,15866,0,0,2943,2553,20673,2813,5811,0,0,0,0,13100,0,14832,0,223,78591,6192,85006,192158,0.4424
9,DISTRITO FEDERAL,3,,184,349,13297,0,0,2367,3243,20919,3155,5785,0,0,0,0,13637,0,17197,0,541,79600,5744,85885,194440,0.4417
9,DISTRITO FEDERAL,4,,182,384,7498,0,0,2687,4451,24460,2954,6141,0,0,0,0,14406,0,18717,0,238,81314,5643,87195,214703,0.4061
9,DISTRITO FEDERAL,5,,163,325,13251,0,0,1774,2173,17361,2368,5241,0,0,0,0,13025,0,12532,0,168,67725,5037,72930,165267,0.4413
9,DISTRITO FEDERAL,6,,170,366,7617,0,0,8470,2520,24292,2747,6244,0,0,0,0,15982,0,16466,0,306,84338,6015,90659,205719,0.4407
9,DISTRITO FEDERAL,7,,205,397,14673,0,0,2282,2766,19227,3329,5708,3661,0,0,0,14948,0,12675,0,377,79269,6195,85841,196216,0.4375
9,DISTRITO FEDERAL,8,,148,334,17186,0,0,1678,1758,13149,2529,4325,0,0,0,0,10740,0,30975,0,276,82340,5602,88218,191570,0.4605
9,DISTRITO FEDERAL,9,,151,328,8100,0,0,2052,0,23321,2684,5324,0,0,0,0,18597,16774,0,0,256,76852,5707,82815,186254,0.4446
9,DISTRITO FEDERAL,10,,167,346,8813,0,0,6542,2131,15438,2560,5491,0,0,0,0,13788,0,23226,0,216,77989,5823,84028,192958,0.4355
9,DISTRITO FEDERAL,11,,169,343,6655,0,0,8030,2270,16233,2490,5094,0,0,0,0,11918,0,25931,0,188,78621,5212,84021,194160,0.4327
9,DISTRITO FEDERAL,12,,175,367,10048,0,0,2340,0,21769,3489,5402,0,0,0,0,17320,19291,0,0,274,79659,6374,86307,198258,0.4353
9,DISTRITO FEDERAL,13,,178,335,25538,0,0,1930,1352,13426,1833,2955,0,0,0,4649,12488,0,10223,0,379,74394,6895,81668,183195,0.4458
9,DISTRITO FEDERAL,14,,151,320,6044,17048,1699,5119,2087,18296,2498,5301,0,0,0,0,11683,0,0,0,206,69775,5011,74992,176777,0.4242
9,DISTRITO FEDERAL,15,,148,294,8717,15306,1262,3828,2526,15740,2616,5270,0,0,0,0,11244,0,0,0,173,66509,5297,71979,161518,0.4456
9,DISTRITO FEDERAL,16,,126,294,22731,0,0,5109,2730,15978,2984,5114,0,0,0,0,13019,0,6208,0,386,73873,7416,81675,173001,0.4721
9,DISTRITO FEDERAL,17,,128,298,29817,0,0,4338,1613,13160,2861,4179,0,0,0,0,11890,0,4647,0,402,72505,8094,81001,172162,0.4705
9,DISTRITO FEDERAL,18,,140,329,7973,0,0,2032,2833,17155,2594,4626,0,0,0,0,15394,0,20865,0,163,73472,5412,79047,186081,0.4248
9,DISTRITO FEDERAL,19,,107,256,2865,0,0,1392,0,17288,2000,4411,0,0,0,0,10628,25860,0,0,142,64444,3946,68532,149823,0.4574
9,DISTRITO FEDERAL,20,,107,313,19513,0,0,1388,2087,13246,2824,3429,0,0,0,0,31842,0,14369,0,174,88698,5150,94022,195196,0.4817
9,DISTRITO FEDERAL,21,,157,322,6850,0,0,1926,0,21817,2038,4845,0,2374,0,0,12333,22322,0,0,275,74505,5683,80463,175403,0.4587
9,DISTRITO FEDERAL,22,,125,290,3496,0,0,4063,0,19106,1850,6633,0,0,1467,0,8775,22968,0,0,177,68358,4418,72953,164972,0.4422
9,DISTRITO FEDERAL,23,,163,318,21113,0,0,2360,2283,15992,2687,4436,0,0,0,0,13221,0,11934,0,284,74026,7047,81357,175538,0.4635
9,DISTRITO FEDERAL,24,,146,303,11167,0,0,1978,0,19005,2588,6215,0,0,0,0,11074,20251,0,0,221,72278,5679,78178,164704,0.4747
9,DISTRITO FEDERAL,25,,110,285,10366,0,0,2903,2050,13354,2406,4212,0,0,0,0,14104,0,16742,0,140,66137,5158,71435,168498,0.4240
9,DISTRITO FEDERAL,26,,142,316,19302,0,0,3093,1971,18206,2980,4623,0,0,0,0,13290,0,14154,0,404,77619,7685,85708,178915,0.4790
9,DISTRITO FEDERAL,27,,110,297,2389,0,0,8834,0,24221,1786,3476,0,0,0,0,8226,30931,0,0,408,79863,4887,85158,186484,0.4567
9,DISTRITO FEDERAL,28,,140,330,7343,0,0,2988,0,22489,2704,7103,0,0,0,0,10489,22455,0,0,197,75571,5913,81681,188404,0.4335
9,DISTRITO FEDERAL,29,,97,279,2821,0,0,1531,0,21191,1700,3783,0,0,0,0,8246,29237,0,0,139,68509,4104,72752,176141,0.4130
