CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,B,48,139,6,6,1,1,12,84,0,1,6,1,,305,15,320,468,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GCL7BO.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,C01,47,113,7,3,6,2,10,91,1,4,5,2,,291,13,304,467,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC7C01O4.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,B,68,94,6,0,1,1,5,62,1,5,7,2,,252,8,260,483,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC10BO5.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,C01,46,99,12,3,2,4,7,58,0,5,3,1,,240,13,253,483,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC10C01O7.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,B,54,139,4,2,1,2,6,45,1,1,7,2,,264,12,276,454,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC11BO9.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,11,C01,45,130,2,7,6,4,5,73,0,3,5,0,,280,14,294,454,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GCL11C01O.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,B,76,190,5,9,2,0,11,135,2,2,7,3,,442,23,465,728,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GCL12BO.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,C01,80,204,9,8,10,2,6,121,4,5,6,3,,458,12,470,727,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC12C01O15.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,B,118,103,4,2,2,0,13,73,1,2,1,4,,323,11,334,578,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC13BO17.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,13,C01,95,107,7,1,5,1,11,54,3,3,6,3,,296,7,303,578,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC13C01O19.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,B,56,108,6,3,4,1,5,56,2,2,5,1,,249,9,258,504,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC14BO22.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,14,C01,64,108,7,3,2,3,5,48,1,1,3,4,,249,15,264,504,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GCL14C01O.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,B,88,164,9,6,5,4,10,78,2,3,7,4,,380,11,391,721,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GEC21BO25.JPG
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,21,C01,71,177,11,4,4,1,10,86,4,3,5,5,,381,7,388,721,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/GCL21C01O.JPG
