ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,146,349,22606,44570,2315,1374,1266,646,2880,26849,923,1404,2599,1146,,108578,3432,112010,193978,0.5774
4,CAMPECHE,2,CALKINI,36,76,2280,10448,290,613,149,241,2506,12046,200,142,397,105,,29417,667,30084,38336,0.7847
4,CAMPECHE,3,CARMEN,135,286,40906,23275,1723,855,461,397,685,11223,607,485,1618,387,,82622,2200,84822,167626,0.506
4,CAMPECHE,4,CHAMPOTON,56,112,9197,17336,1246,460,411,455,641,7469,159,175,762,150,,38461,1320,39781,60337,0.6593
4,CAMPECHE,5,HECELCHAKAN,18,36,5027,5082,105,232,28,53,368,3336,45,1409,483,22,,16190,454,16644,20658,0.8057
4,CAMPECHE,6,HOPELCHEN,33,51,7039,8514,100,54,181,83,352,1255,52,15,280,18,,17943,330,18273,25321,0.7216
4,CAMPECHE,7,PALIZADA,10,13,2783,2325,15,31,2,3,31,99,0,1,160,12,,5462,67,5529,6891,0.8023
4,CAMPECHE,8,TENABO,7,14,2332,3185,18,33,7,8,83,238,3,11,273,17,,6208,83,6291,7457,0.8436
4,CAMPECHE,9,ESCARCEGA,36,70,7058,9476,937,434,156,313,283,2013,74,83,709,109,,21645,696,22341,37448,0.5966
4,CAMPECHE,10,CANDELARIA,30,56,10294,6828,113,66,75,109,93,558,20,29,225,431,,18841,482,19323,28778,0.6714
4,CAMPECHE,11,CALAKMUL,18,37,4935,5401,256,87,92,77,200,404,9,22,474,64,,12021,300,12321,16780,0.7343
