ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,431,623,699,389,2342,101,116,1524,566,172,46,11,19,194,60,33,28,603,7957,0,337,8294,13369,
17,MORELOS,2,ATLATLAHUCAN,12,28,1380,487,900,583,1848,628,233,2595,810,228,698,28,34,164,27,28,68,693,11432,3,471,11906,16998,
17,MORELOS,3,AXOCHIAPAN,20,45,1442,746,1938,555,2068,636,398,4734,1436,501,905,21,149,240,45,66,96,1263,17239,3,718,17960,25912,
17,MORELOS,4,AYALA,42,104,2077,2986,4159,1079,4430,1001,1414,11199,3364,669,425,134,334,1018,216,187,397,2584,37673,20,1647,39340,61774,
17,MORELOS,5,COATLAN DEL RIO,11,18,292,526,703,399,711,109,55,1432,745,409,42,7,42,63,18,12,38,356,5959,0,397,6356,8246,
17,MORELOS,6,CUAUTLA,91,236,8268,4507,8343,3217,7282,4199,1847,29631,7778,1427,1119,489,443,2339,336,271,740,4297,86533,71,3028,89632,142231,
17,MORELOS,7,CUERNAVACA,205,527,39338,11532,12220,5978,19829,4574,4535,59252,19172,2684,2517,1252,876,5441,986,759,2016,6156,199117,314,5674,205105,312635,
17,MORELOS,8,EMILIANO ZAPATA,21,97,4571,1943,3850,4402,4360,731,697,9133,4629,567,390,157,183,906,136,131,334,2456,39576,92,1498,41166,62469,
17,MORELOS,9,HUITZILAC,11,27,1033,920,859,549,1107,262,279,3265,1069,153,329,30,28,300,52,42,84,413,10774,13,398,11185,14751,
17,MORELOS,10,JANTETELCO,8,20,568,671,848,313,1305,237,282,2427,1250,178,376,11,38,130,25,12,59,658,9388,1,325,9714,12685,
17,MORELOS,11,JIUTEPEC,70,260,13491,4481,10036,3473,10259,2397,2283,35811,9409,1403,1151,510,388,3481,502,321,1221,3054,103671,106,3153,106930,164437,
17,MORELOS,12,JOJUTLA,36,79,1932,2134,2182,756,2607,766,696,10831,3603,385,416,67,125,656,103,75,268,1844,29446,27,822,30295,46785,
17,MORELOS,13,JONACATEPEC,11,22,632,357,990,256,1481,438,236,1996,929,136,132,27,41,152,26,36,41,675,8581,2,614,9197,11879,
17,MORELOS,14,MAZATEPEC,7,15,285,958,390,87,441,88,84,2215,716,116,73,5,8,84,15,18,45,163,5791,0,164,5955,8015,
