ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,16150,4460,5033,2458,9084,2239,1835,25335,8742,1132,1028,2461,79957,109,2324,82390,125451,
17,MORELOS,2,CUERNAVACA,94,222,17327,5113,5536,2359,8924,2052,1747,24262,9261,1411,1042,2461,81495,174,2347,84016,128115,
17,MORELOS,3,TEPOZTLAN,83,213,9998,4284,6502,2624,9820,2281,2505,28613,10706,1122,1238,4723,84416,41,2692,87149,122953,
17,MORELOS,4,YECAPIXTLA,68,186,9354,3881,9911,4186,10773,4019,2465,20137,8009,1724,2177,3379,80015,22,3094,83131,115638,
17,MORELOS,5,TEMIXCO,58,185,5950,5083,8868,2578,7334,1283,1121,22343,7069,1107,765,2669,66170,38,2480,68688,113589,
17,MORELOS,6,JIUTEPEC,56,192,10795,3377,7023,2537,8542,1947,1739,28366,8206,978,885,2175,76570,63,2151,78784,119643,
17,MORELOS,7,CUAUTLA,84,210,7454,4047,7242,2864,7372,3887,1601,27257,7968,1477,948,3809,75926,70,2655,78651,124696,
17,MORELOS,8,XOCHITEPEC,44,175,7125,6376,5988,5796,7449,1361,1535,19377,8566,1055,755,4004,69387,166,2571,72124,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,3901,6178,9504,2174,9522,1534,1505,25908,8565,2096,697,3524,75108,18,2642,77768,113898,
17,MORELOS,10,AYALA,88,213,4538,6264,8883,2248,10205,2755,2312,23260,8972,1917,1641,6650,79645,37,3467,83149,124032,
17,MORELOS,11,JOJUTLA,98,213,4868,4719,7360,2758,8709,2265,2150,24186,8671,1993,1933,6484,76096,35,2831,78962,117882,
17,MORELOS,12,YAUTEPEC,65,202,8569,4105,11159,2392,8747,2077,1387,22725,7621,2121,730,2887,74520,94,2751,77365,121854,
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,279,56,46,73,82,46,75,997,58,10,32,54,1808,4,31,1843,3487,
