ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,15874,4460,4862,2458,8050,1963,1835,24056,7523,961,1028,552,342,2080,399,283,770,2461,79957,109,2324,82390,125451,
17,MORELOS,2,CUERNAVACA,94,222,17096,5113,5355,2359,7850,1822,1747,22913,7939,1231,1042,461,361,2207,365,315,858,2461,81495,174,2347,84016,128115,
17,MORELOS,3,TEPOZTLAN,83,213,9829,4284,6353,2624,8738,2113,2505,27258,9389,973,1238,337,298,2201,386,313,854,4723,84416,41,2692,87149,122953,
17,MORELOS,4,YECAPIXTLA,68,186,9165,3881,9679,4186,9975,3831,2465,19199,7079,1493,2177,377,463,1516,299,288,563,3379,80015,22,3094,83131,115638,
17,MORELOS,5,TEMIXCO,58,185,5851,5083,8699,2578,6488,1184,1121,21251,5996,939,765,198,337,1741,284,248,738,2669,66170,38,2480,68688,113589,
17,MORELOS,6,JIUTEPEC,56,192,10605,3377,6903,2537,7410,1757,1739,26901,6803,858,885,380,240,2504,356,239,901,2175,76570,63,2151,78784,119643,
17,MORELOS,7,CUAUTLA,84,210,7266,4047,7048,2864,6424,3700,1601,26104,6847,1283,948,375,388,2050,296,235,641,3809,75926,70,2655,78651,124696,
17,MORELOS,8,XOCHITEPEC,44,175,7012,6376,5852,5796,6678,1249,1535,18412,7609,919,755,225,272,1542,265,250,636,4004,69387,166,2571,72124,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,3848,6178,9340,2174,8749,1481,1505,24948,7644,1932,697,106,328,1543,295,223,593,3524,75108,18,2642,77768,113898,
17,MORELOS,10,AYALA,88,213,4422,6264,8608,2248,9283,2639,2312,22142,7880,1642,1641,232,550,1786,350,303,693,6650,79645,37,3467,83149,124032,
17,MORELOS,11,JOJUTLA,98,213,4801,4719,7143,2758,7994,2198,2150,23304,7793,1776,1933,134,434,1446,237,230,562,6484,76096,35,2831,78962,117882,
17,MORELOS,12,YAUTEPEC,65,202,8372,4105,10790,2392,7743,1881,1387,21447,6401,1752,730,393,738,2074,369,257,802,2887,74520,94,2751,77365,121854,
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,270,56,43,73,50,37,75,955,28,8,32,18,5,55,23,5,21,54,1808,4,31,1843,3487,
