CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,189,3,136,57,73,30,104,26,32,285,78,12,17,3,4,11,8,1,5,62,944,0,25,969,1561
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,190,4,278,109,99,56,180,46,58,591,156,36,17,14,6,63,9,6,8,84,1816,0,64,1880,2937
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,191,3,229,70,76,43,134,29,30,368,113,23,17,3,9,30,1,6,12,68,1261,0,43,1304,2051
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,3,254,73,83,52,164,30,41,463,169,17,12,15,4,35,8,6,13,47,1486,3,38,1527,2202
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,5,283,92,114,77,236,62,50,611,217,25,28,16,8,51,5,6,21,93,1995,2,57,2054,3216
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,6,333,121,138,116,243,53,59,747,267,26,41,26,1,62,6,9,32,80,2360,19,81,2460,3815
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,4,343,89,133,61,150,50,28,492,145,20,27,6,7,35,10,9,19,29,1653,3,53,1709,2585
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,196,5,300,136,118,78,160,53,19,514,166,24,10,7,13,32,5,11,11,58,1715,20,76,1811,3029
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,197,6,434,124,168,88,293,71,85,996,283,26,51,11,5,42,23,5,22,105,2832,1,63,2896,4457
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,198,4,235,68,132,55,295,87,35,546,283,58,22,4,6,37,3,1,10,36,1913,0,28,1941,2316
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,199,5,256,70,109,54,188,33,40,609,184,31,48,20,9,69,8,9,27,81,1845,1,71,1917,3016
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,200,3,262,59,80,38,116,45,33,399,126,13,26,2,2,23,5,2,10,49,1290,0,37,1327,2008
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,201,3,164,45,63,44,101,28,20,296,93,13,17,6,8,31,8,8,7,39,991,0,36,1027,1530
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,202,3,176,72,93,46,162,30,42,458,125,10,13,8,2,42,3,0,13,60,1355,2,46,1403,2212
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,203,3,172,42,66,34,118,24,37,391,127,13,15,2,8,24,6,3,4,32,1118,1,31,1150,1756
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,204,3,266,63,64,40,126,33,42,475,114,9,15,14,4,36,6,3,14,50,1374,2,45,1421,2077
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,205,4,347,73,106,52,178,49,52,547,139,14,46,9,9,50,12,15,19,48,1765,2,45,1812,2660
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,3,155,44,57,27,103,22,31,292,91,12,23,9,3,30,5,2,4,43,953,1,36,990,1600
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,3,142,74,63,26,113,26,26,387,140,9,15,2,9,33,6,3,22,40,1136,0,40,1176,1798
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,3,231,92,73,42,126,19,41,380,119,11,25,12,4,38,13,3,16,42,1287,0,43,1330,1986
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,215,3,135,56,67,31,116,28,23,284,101,12,9,4,3,26,4,2,14,36,951,1,29,981,1496
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,216,3,291,62,87,60,77,28,16,273,55,38,11,9,8,28,2,1,13,29,1088,2,31,1121,1605
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,217,2,200,30,48,12,50,11,10,153,35,6,10,2,0,16,3,3,1,17,607,0,14,621,862
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,218,2,153,41,25,13,42,14,17,151,48,9,5,1,1,16,3,0,4,15,558,0,18,576,829
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,219,3,279,60,42,27,119,24,27,365,103,13,11,5,1,40,8,5,9,31,1169,1,25,1195,1844
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,220,9,741,170,232,96,353,71,77,1132,337,61,36,18,12,65,28,10,43,95,3577,17,98,3692,6101
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,221,3,137,36,39,29,123,19,25,397,98,12,9,5,2,38,5,3,16,41,1034,0,42,1076,1686
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,222,10,392,163,192,146,425,100,79,1321,376,45,41,19,16,161,19,22,54,121,3692,0,128,3820,6553
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,223,2,90,37,51,17,71,9,13,222,140,9,4,4,17,21,3,4,8,15,735,0,30,765,1138
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,224,2,103,28,55,25,97,8,25,285,109,5,11,3,3,33,4,2,11,30,837,0,39,876,1418
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,225,2,98,40,27,24,83,19,15,231,106,12,14,2,3,28,2,2,8,24,738,2,30,770,1172
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,226,2,88,28,53,23,73,16,16,226,81,7,5,4,5,29,1,0,11,31,697,1,33,731,1139
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,227,3,185,58,66,36,125,27,34,417,135,17,6,3,5,29,2,5,20,44,1214,1,45,1260,2017
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,228,2,243,58,32,10,32,11,8,126,43,2,4,8,3,7,1,1,3,10,602,1,12,615,875
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,229,2,144,39,48,19,39,16,10,178,63,4,8,3,2,19,2,1,4,9,608,1,18,627,886
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,230,3,353,66,71,32,104,32,30,342,104,19,15,13,5,24,3,1,10,8,1232,1,40,1273,1742
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,231,2,99,45,44,15,81,14,18,188,66,5,10,3,2,28,8,2,5,14,647,0,10,657,904
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,232,3,223,69,70,33,124,42,27,433,112,7,21,6,3,36,12,10,19,35,1282,1,31,1314,1778
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,233,2,165,45,49,16,64,20,11,220,44,15,7,1,4,12,4,1,2,17,697,0,19,716,962
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,234,2,216,54,37,16,50,20,9,191,43,5,8,3,2,10,4,1,5,21,695,1,14,710,985
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,235,1,41,7,16,4,4,0,0,100,0,0,1,41,16,4,4,4,4,4,250,0,3,253,324
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,236,1,116,22,17,17,23,10,9,93,26,0,9,5,4,6,3,0,7,13,380,2,13,395,558
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,237,2,196,64,28,16,31,14,10,148,43,3,13,6,3,11,3,24,6,15,634,0,17,651,979
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,245,2,171,31,37,6,53,15,8,141,44,6,8,6,5,11,1,1,7,15,566,0,18,584,870
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,246,2,151,67,44,20,73,18,11,244,72,15,9,6,7,21,6,1,8,18,791,0,20,811,1206
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,247,2,204,52,43,14,79,24,26,246,42,5,9,8,1,14,5,4,10,21,807,0,14,821,1197
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,248,2,310,106,62,13,86,28,16,259,70,5,9,11,3,23,3,0,5,23,1032,0,23,1055,1477
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,249,1,103,25,17,7,39,9,7,89,31,1,2,4,2,7,1,1,3,15,363,1,8,372,493
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,250,2,337,58,53,9,34,19,11,184,60,4,9,0,2,10,3,0,0,10,803,0,12,815,1137
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,251,2,239,70,36,9,34,10,9,106,26,1,3,6,2,5,4,1,1,10,572,0,17,589,823
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,252,2,177,53,54,21,78,13,17,231,95,3,6,10,4,21,5,5,10,18,821,1,20,842,1264
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,253,2,97,21,62,20,83,13,17,223,70,9,8,1,7,21,3,3,8,39,705,1,24,730,1135
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,254,2,107,32,60,31,112,25,15,286,106,10,4,1,5,59,0,0,0,32,885,1,35,921,1444
