id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,municipio,lista nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,nulos,noregistrados,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PAS,PAN_PVEM,PRI_PVEM,PRD_PT_PVEM_PC,PRD_PT_PVEM,PRD_PT_PC,PRD_PVEM_PC,PRD_PT,PRD_PVEM,PRD_PC,PT_PVEM,PT_PC,total
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,0,,,76,SALTO DE AGUA,705,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1107,8,0,5,245,0,0,142,0,0,0,0,0,0,0,197,0,0,0,0,0,0,597
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,76,SALTO DE AGUA,630,AF,Anulada por el Tribunal Federal,P,T,Urna tradicional,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,76,SALTO DE AGUA,384,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1110,5,0,1,32,0,0,108,0,0,0,0,0,0,0,153,0,0,0,0,0,0,299
7,7/10/2007,12,Ayuntamientos,7,0,6,C,Contigua,0,,,77,SAN CRISTOBAL DE LAS CASAS,685,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1114,21,0,57,0,82,9,0,34,9,2,0,73,0,0,0,0,0,0,0,0,0,287
7,7/10/2007,12,Ayuntamientos,7,0,3,C,Contigua,0,,,77,SAN CRISTOBAL DE LAS CASAS,667,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1116,6,0,57,0,111,12,0,14,7,8,0,74,0,0,0,0,0,0,0,0,0,289
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,77,SAN CRISTOBAL DE LAS CASAS,745,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1117,10,0,62,0,109,32,0,22,6,6,0,98,0,0,0,0,0,0,0,0,0,345
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,93,TECPATAN,479,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1419,18,6,57,0,0,0,0,0,0,0,0,145,0,0,76,0,0,0,0,0,0,302
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,93,TECPATAN,377,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1422,0,0,21,0,0,0,0,0,0,0,0,155,0,0,50,0,0,0,0,0,0,226
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,93,TECPATAN,378,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1422,0,0,10,0,0,0,0,0,0,0,0,184,0,0,53,0,0,0,0,0,0,247
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,93,TECPATAN,432,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1423,12,0,6,0,0,0,0,0,0,0,0,197,0,0,118,0,0,0,0,0,0,333
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,0,,,93,TECPATAN,388,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1428,14,2,50,0,0,0,0,0,0,0,0,109,0,0,69,0,0,0,0,0,0,244
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,93,TECPATAN,511,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1431,16,0,101,0,0,0,0,0,0,0,0,105,0,0,70,0,0,0,0,0,0,292
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,93,TECPATAN,667,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1432,17,0,146,0,0,0,0,0,0,0,0,119,0,0,117,0,0,0,0,0,0,399
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,93,TECPATAN,469,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1434,8,0,88,0,0,0,0,0,0,0,0,143,0,0,49,0,0,0,0,0,0,288
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,93,TECPATAN,385,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1435,0,0,47,0,0,0,0,0,0,0,0,119,0,0,73,0,0,0,0,0,0,239
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,1,,,94,TENEJAPA,430,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1441,16,1,27,109,0,0,9,0,4,0,0,0,0,0,124,0,0,0,0,0,0,290
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,94,TENEJAPA,610,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1446,16,5,52,203,0,0,21,0,1,0,0,0,0,0,81,0,0,0,0,0,0,379
7,7/10/2007,12,Ayuntamientos,7,0,2,E,Extraordinaria,0,,,94,TENEJAPA,344,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1451,11,1,46,67,0,0,21,0,1,0,0,0,0,0,88,0,0,0,0,0,0,235
7,7/10/2007,12,Ayuntamientos,7,0,2,C,Contigua,0,,,95,TEOPISCA,643,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1454,27,0,19,0,114,0,0,0,2,7,0,218,0,0,0,0,0,0,0,0,0,387
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,95,TEOPISCA,667,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1459,41,0,31,0,152,0,0,0,2,19,0,169,0,0,0,0,0,0,0,0,0,414
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,95,TEOPISCA,549,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,1460,28,0,50,0,99,0,0,0,2,4,0,158,0,0,0,0,0,0,0,0,0,341
7,7/10/2007,12,Ayuntamientos,7,0,1,B,Basica,0,,,59,OCOSINGO,518,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,822,22,0,65,0,69,0,0,0,1,0,0,65,0,0,0,0,0,0,0,0,4,226
7,7/10/2007,12,Ayuntamientos,7,0,1,E,Extraordinaria,2,,,59,OCOSINGO,470,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,826,13,0,91,0,37,0,0,0,1,3,0,78,0,0,0,0,0,0,0,0,6,229
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,59,OCOSINGO,597,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,827,15,2,61,0,52,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,52,200
7,7/10/2007,12,Ayuntamientos,7,0,1,C,Contigua,0,,,59,OCOSINGO,668,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,828,14,0,52,0,43,0,0,0,0,1,0,70,0,0,0,0,0,0,0,0,11,191
