CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,139,4,445,441,227,14,53,11,21,405,15,23,3,19,6,10,0,,,,,1693,0,390,2083,2684
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,142,4,1023,352,184,7,50,10,17,162,11,1,4,7,4,2,0,,,,,1834,0,113,1947,2624
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,144,1,49,85,9,1,12,0,0,24,2,5,3,1,0,0,0,,,,,191,0,7,198,234
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,145,2,87,235,24,10,21,7,8,119,27,1,0,139,0,1,0,,,,,679,0,19,698,836
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,PICH,146,1,118,140,26,0,18,2,2,91,3,2,1,2,0,2,0,,,,,407,0,5,412,474
 ,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,128,1,22,84,9,1,,,3,45,,,,2,1,1,0,,,,,168,0,7,175,206
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,133,1,35,248,2,4,,,5,107,,,,2,1,0,0,,,,,404,0,24,428,512
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,134,1,21,113,8,0,,,2,101,,,,0,0,0,0,,,,,245,0,11,256,307
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,135,2,44,314,4,0,,,4,392,,,,2,2,2,0,,,,,764,0,0,764,848
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,138,1,6,191,2,2,,,44,144,,,,11,0,0,0,,,,,400,0,18,418,528
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,TIXMUCUY,143,1,23,153,4,0,,,1,90,,,,2,0,0,0,,,,,273,0,11,284,347
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,131,1,50,96,1,1,1,1,1,24,3,35,0,0,1,0,0,,,,,214,0,6,220,252
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,132,1,85,46,3,0,1,0,0,13,1,11,0,0,0,0,0,,,,,160,0,6,166,192
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,136,1,58,55,1,0,0,2,0,32,0,4,0,2,2,0,0,,,,,156,0,2,158,193
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,140,2,118,281,35,1,4,2,3,166,4,7,1,8,4,1,0,,,,,635,0,18,653,905
 ,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,ALFREDO V BONFIL,141,2,92,309,18,1,9,1,10,185,2,6,4,3,0,1,0,,,,,641,0,14,655,898
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,118,2,49,289,3,1,,7,10,343,,6,3,4,2,0,0,,,,,717,2,13,732,917
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,119,1,41,103,9,1,,23,10,111,,15,1,4,1,1,0,,,,,320,0,16,336,399
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,120,2,135,231,32,2,,63,3,201,,10,13,2,1,0,0,,,,,693,0,10,703,810
 ,4,CAMPECHE,7,TENABO,1,CAMPECHE,4,HAMPOLOL,121,2,74,200,9,3,,36,10,246,,24,9,4,3,0,0,,,,,618,0,29,647,897
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,159,2,81,177,14,0,48,4,24,152,2,5,1,16,0,2,0,,,,32,558,22,21,601,792
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,160,2,132,144,16,0,26,9,46,176,0,12,0,14,0,4,4,,,,36,619,0,21,640,788
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,161,2,103,162,11,4,30,20,15,187,0,11,3,12,1,2,0,,,,20,581,23,6,610,799
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,162,2,157,206,26,8,73,17,19,198,4,9,1,9,3,2,0,,,,32,764,18,27,809,989
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,163,2,130,196,31,0,42,6,27,172,1,10,1,12,0,0,0,,,,16,644,0,9,653,822
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,5,BECAL,164,2,109,191,17,1,47,13,14,200,2,9,2,8,1,1,0,,,,34,649,0,30,679,843
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,5,BECAL,157,1,17,214,75,5,34,48,9,164,3,2,0,3,2,0,0,,,,10,586,0,22,608,719
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,173,3,16,317,44,9,151,143,26,404,,6,67,186,5,3,1,,,,,1378,0,33,1411,1844
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,174,2,5,289,42,6,82,172,18,200,,3,1,18,5,5,0,,,,,846,0,18,864,1219
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,175,3,21,629,42,12,101,258,43,394,,5,0,25,5,4,0,,,,,1539,0,46,1585,2014
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,176,3,25,593,39,5,159,210,37,347,,8,0,26,2,2,0,,,,,1453,0,63,1516,2063
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,177,3,22,529,55,11,135,179,18,310,,401,1,9,8,5,1,,,,,1684,0,44,1728,1781
 ,4,CAMPECHE,17,CALKINI,2,CALKINI,6,DZITBALCHE,180,3,43,793,225,11,99,81,17,285,,9,1,29,10,4,0,,,,,1607,30,91,1728,1993
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,158,2,34,224,59,23,31,17,160,162,,6,,2,4,3,0,,,,,725,0,26,751,827
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,165,1,3,143,6,95,0,1,1,1,,1,,1,0,2,1,,,,,255,0,8,263,269
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,166,3,332,784,14,5,14,6,30,485,,1,,13,3,3,0,,,,,1690,0,42,1732,2086
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,167,2,217,405,4,2,8,3,25,289,,9,,2,4,5,2,,,,,975,0,26,1001,1184
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,168,2,169,433,21,6,7,7,23,331,,8,,20,3,2,0,,,,,1030,1,25,1056,1284
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,170,2,78,255,51,87,29,8,107,195,,5,,3,0,0,1,,,,,819,0,39,858,951
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,171,1,18,277,46,5,18,4,18,144,,4,,2,0,4,0,,,,,540,0,24,564,657
 ,4,CAMPECHE,19,HECELCHAKAN,2,CALKINI,7,NUNKINI,182,1,12,85,6,7,8,1,11,24,,1,,1,0,0,0,,,,,156,0,3,159,175
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,263,2,57,249,6,28,7,4,15,219,5,0,2,12,3,0,0,,19,32,,658,0,64,722,1001
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,511
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,265,3,114,517,11,21,26,11,13,471,4,9,1,42,10,4,0,,9,73,,1336,38,59,1433,2179
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,266,3,18,128,5,2,7,2,2,123,3,0,0,15,3,1,0,,0,52,,361,0,19,380,1757
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,267,5,77,233,28,37,15,7,8,307,5,21,1,15,6,1,1,,9,142,,913,0,50,963,3364
 ,4,CAMPECHE,20,PALIZADA,3,CARMEN,8,ATASTA,268,3,107,240,32,6,9,11,51,264,10,19,3,32,11,8,3,,7,127,,940,0,67,1007,2063
