ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,146,349,32574,40373,4394,3198,2033,1451,4656,11639,1995,4681,,106994,3774,110768,193978,0.571
4,CAMPECHE,2,CALKINI,36,76,1326,9326,319,975,194,282,4537,11714,41,262,,28976,985,29961,38336,0.7815
4,CAMPECHE,3,CARMEN,135,286,38239,26338,2505,2250,708,712,1124,9314,742,838,,82770,2675,85445,167626,0.5097
4,CAMPECHE,4,CHAMPOTON,56,112,8500,16786,3212,827,636,1122,1034,5387,203,340,,38047,1510,39557,60337,0.6556
4,CAMPECHE,5,HECELCHAKAN,18,36,6857,3553,233,314,18,46,412,395,48,4346,,16222,423,16645,20658,0.8057
4,CAMPECHE,6,HOPELCHEN,33,51,8080,8537,108,290,232,159,425,452,102,22,,18407,390,18797,25321,0.7423
4,CAMPECHE,7,PALIZADA,10,13,3130,2174,10,101,0,0,34,4,0,0,,5453,80,5533,6891,0.8029
4,CAMPECHE,8,TENABO,7,14,2829,2968,18,183,14,5,109,82,2,23,,6233,79,6312,7457,0.8464
4,CAMPECHE,9,ESCARCEGA,36,70,8246,8607,1315,728,210,644,328,1027,98,104,,21307,760,22067,37448,0.5893
4,CAMPECHE,10,CANDELARIA,30,56,11982,6158,98,136,73,135,73,209,21,21,,18906,420,19326,28778,0.6715
4,CAMPECHE,11,CALAKMUL,18,37,5427,5083,290,292,109,84,236,198,9,53,,11781,339,12120,16780,0.7223
