CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,B,137,153,5,6,9,7,20,43,3,20,1,,404,6,410,576,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC1BO112.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,B,113,109,15,9,4,5,17,52,2,17,3,,346,8,354,648,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC2BO113.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,B,154,169,14,12,5,6,9,33,11,19,3,,435,18,453,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC3BO116.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,B,99,105,12,4,4,5,13,26,5,15,2,,290,10,300,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4BO118.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C01,120,0,18,0,7,0,11,31,4,9,110,,310,6,316,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C01O119.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C02,99,134,11,0,6,2,9,25,6,7,0,,299,12,311,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C02O122.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C03,78,109,6,8,6,4,7,38,4,15,6,,281,7,288,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C03O123.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C04,106,124,14,0,3,2,6,20,5,18,0,,298,16,314,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C04O126.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C05,84,111,18,4,8,2,11,29,2,16,5,,290,11,301,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C05O128.JPG
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,C06,112,96,13,8,6,6,7,34,5,12,7,,306,15,321,667,ACTA CASILLA,,,http://www.ieec.org.mx/elecciones/2015/actas/AEC4C06O129.JPG
