CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,1,1,137,153,5,6,9,7,20,43,3,20,1,,404,6,410,576
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,2,1,113,109,15,9,4,5,17,52,2,17,3,,346,8,354,648
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,3,1,154,169,14,12,5,6,9,33,11,19,3,,435,18,453,667
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,4,15,1474,1414,154,73,62,53,150,415,66,158,174,,4193,141,4334,9425
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,5,2,238,199,25,17,11,12,24,88,13,27,9,,663,23,686,1056
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,6,2,197,176,15,7,13,11,26,60,12,24,3,,544,18,562,961
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,7,2,199,229,27,11,5,10,38,48,3,28,3,,601,20,621,935
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,8,1,171,137,13,8,7,4,25,41,13,21,1,,441,9,450,737
3,4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,9,6,801,750,83,49,54,29,104,271,70,112,15,,2338,57,2395,4280
3,4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,10,2,164,164,30,10,8,11,16,50,6,22,9,,490,21,511,966
