Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 6 - APATZINGAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 58 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,33,122,73,8,3,2,1,,,,,0,,0,,,0,,0,12,254,567
C1,AC,Urna tradicional,35,144,76,8,0,0,0,,,,,0,,0,,,0,,0,8,271,567
Total,,,68,266,149,16,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,20,525,1134
Sección 59 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,75,199,67,7,4,1,1,,,,,0,,3,,,1,,1,20,379,731
C1,AC,Urna tradicional,52,183,97,9,3,0,0,,,,,1,,1,,,4,,0,13,363,732
Total,,,127,382,164,16,7,1,1,0,0,0,0,1,0,4,0,0,5,0,1,33,742,1463
Sección 60 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,24,145,92,3,1,0,2,,,,,0,,1,,,0,,0,11,279,584
C1,AC,Urna tradicional,41,134,80,0,0,0,0,,,,,0,,2,,,0,,0,0,257,584
C2,AC,Urna tradicional,28,144,60,4,1,1,0,,,,,0,,3,,,0,,0,8,249,585
Total,,,93,423,232,7,2,1,2,0,0,0,0,0,0,6,0,0,0,0,0,19,785,1753
Sección 61 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,52,164,83,3,0,1,2,,,,,1,,0,,,0,,0,11,317,702
C1,AC,Urna tradicional,68,152,88,1,1,0,0,,,,,0,,0,,,0,,1,12,323,702
Total,,,120,316,171,4,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,23,640,1404
Sección 62 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,45,134,37,5,3,0,0,,,,,0,,3,,,1,,0,9,237,548
C1,AC,Urna tradicional,38,131,47,2,1,2,2,,,,,0,,0,,,1,,0,8,232,548
C2,AC,Urna tradicional,47,139,46,4,0,0,0,,,,,0,,1,,,0,,0,11,248,549
Total,,,130,404,130,11,4,2,2,0,0,0,0,0,0,4,0,0,2,0,0,28,717,1645
Sección 63 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,116,70,8,1,2,1,,,,,0,,5,,,2,,1,7,257,590
C1,AC,Urna tradicional,44,120,78,4,3,0,0,,,,,0,,2,,,0,,0,7,258,590
C2,AC,Urna tradicional,44,130,70,5,1,0,0,,,,,3,,1,,,3,,0,10,267,591
Total,,,132,366,218,17,5,2,1,0,0,0,0,3,0,8,0,0,5,0,1,24,782,1771
Sección 64 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,117,66,1,1,1,0,,,,,0,,0,,,0,,0,9,235,515
C1,AC,Urna tradicional,33,125,46,4,3,0,2,,,,,1,,7,,,0,,0,10,231,515
C2,AC,Urna tradicional,44,126,52,5,1,0,4,,,,,1,,2,,,0,,0,5,240,515
Total,,,117,368,164,10,5,1,6,0,0,0,0,2,0,9,0,0,0,0,0,24,706,1545
Sección 65 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,144,35,3,0,1,0,,,,,0,,1,,,0,,0,8,239,544
C1,AC,Urna tradicional,47,130,50,1,1,0,0,,,,,0,,0,,,2,,0,9,240,545
C2,AC,Urna tradicional,42,120,46,4,1,1,0,,,,,2,,0,,,0,,0,10,226,545
Total,,,136,394,131,8,2,2,0,0,0,0,0,2,0,1,0,0,2,0,0,27,705,1634
Sección 66 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,159,57,4,0,0,0,,,,,2,,1,,,0,,0,9,261,588
C1,AC,Urna tradicional,32,124,55,1,1,2,1,,,,,0,,2,,,1,,0,10,229,588
C2,AC,Urna tradicional,39,149,68,4,1,0,1,,,,,1,,3,,,0,,0,8,274,588
Total,,,100,432,180,9,2,2,2,0,0,0,0,3,0,6,0,0,1,0,0,27,764,1764
Sección 67 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,26,132,64,2,1,1,0,,,,,0,,0,,,0,,0,5,231,455
C1,AC,Urna tradicional,36,131,45,6,1,1,1,,,,,2,,0,,,2,,0,6,231,456
Total,,,62,263,109,8,2,2,1,0,0,0,0,2,0,0,0,0,2,0,0,11,462,911
Sección 68 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,201,69,5,2,1,1,,,,,1,,1,,,0,,0,12,367,748
C1,AC,Urna tradicional,84,193,86,9,1,0,1,,,,,2,,2,,,3,,0,14,395,749
Total,,,158,394,155,14,3,1,2,0,0,0,0,3,0,3,0,0,3,0,0,26,762,1497
Sección 69 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,173,100,11,0,1,7,,,,,1,,3,,,0,,0,5,370,597
C1,AC,Urna tradicional,75,160,106,17,3,0,4,,,,,1,,3,,,1,,0,4,374,597
Total,,,144,333,206,28,3,1,11,0,0,0,0,2,0,6,0,0,1,0,0,9,744,1194
Sección 70 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,106,47,6,3,1,1,,,,,1,,2,,,48,,0,3,249,553
C1,AC,Urna tradicional,50,106,39,5,1,0,0,,,,,1,,3,,,1,,0,6,212,553
Total,,,81,212,86,11,4,1,1,0,0,0,0,2,0,5,0,0,49,0,0,9,461,1106
Sección 71 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,132,46,5,4,0,1,,,,,0,,1,,,0,,0,5,237,524
C1,AC,Urna tradicional,34,124,56,1,2,0,0,,,,,2,,4,,,3,,0,7,233,524
C2,AC,Urna tradicional,45,114,56,6,2,0,1,,,,,2,,2,,,0,,1,8,237,525
Total,,,122,370,158,12,8,0,2,0,0,0,0,4,0,7,0,0,3,0,1,20,707,1573
Sección 72 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,177,38,11,1,0,0,,,,,1,,3,,,0,,0,7,284,551
C1,AC,Urna tradicional,38,123,32,14,0,0,1,,,,,0,,1,,,0,,0,13,222,552
Total,,,84,300,70,25,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,20,506,1103
Sección 73 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,129,61,8,0,1,1,,,,,1,,1,,,2,,1,13,266,551
C1,AC,Urna tradicional,53,114,62,2,2,0,4,,,,,0,,2,,,0,,0,11,250,551
C2,AC,Urna tradicional,36,140,52,5,0,1,0,,,,,0,,0,,,0,,0,9,243,551
Total,,,137,383,175,15,2,2,5,0,0,0,0,1,0,3,0,0,2,0,1,33,759,1653
Sección 74 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,203,84,18,1,1,1,,,,,1,,1,,,0,,0,7,361,732
C1,AC,Urna tradicional,45,221,78,15,3,1,1,,,,,0,,1,,,0,,0,10,375,733
Total,,,89,424,162,33,4,2,2,0,0,0,0,1,0,2,0,0,0,0,0,17,736,1465
Sección 75 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,179,74,13,0,0,0,,,,,0,,0,,,0,,0,4,314,597
C1,AC,Urna tradicional,55,153,73,3,1,2,0,,,,,1,,1,,,3,,0,8,300,597
Total,,,99,332,147,16,1,2,0,0,0,0,0,1,0,1,0,0,3,0,0,12,614,1194
Sección 76 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,132,78,5,0,0,4,,,,,1,,3,,,0,,0,7,288,592
C1,AC,Urna tradicional,75,122,69,12,0,2,0,,,,,5,,4,,,0,,0,8,297,593
Total,,,133,254,147,17,0,2,4,0,0,0,0,6,0,7,0,0,0,0,0,15,585,1185
Sección 77 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,69,180,53,9,0,0,2,,,,,3,,0,,,0,,0,4,320,649
C1,AC,Urna tradicional,48,193,67,7,0,1,2,,,,,0,,3,,,0,,0,4,325,649
C2,AC,Urna tradicional,60,207,66,3,2,0,0,,,,,2,,0,,,0,,0,11,351,650
Total,,,177,580,186,19,2,1,4,0,0,0,0,5,0,3,0,0,0,0,0,19,996,1948
Sección 78 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,135,69,8,1,0,0,,,,,2,,1,,,2,,0,10,271,550
C1,AC,Urna tradicional,39,146,59,9,3,0,1,,,,,0,,0,,,0,,0,15,272,551
C2,AC,Urna tradicional,48,122,45,8,1,2,1,,,,,0,,0,,,1,,1,6,235,551
Total,,,130,403,173,25,5,2,2,0,0,0,0,2,0,1,0,0,3,0,1,31,778,1652
Sección 79 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,39,119,48,17,2,1,0,,,,,0,,2,,,0,,0,4,232,517
C1,AC,Urna tradicional,47,138,45,5,0,0,0,,,,,0,,0,,,0,,0,4,239,518
Total,,,86,257,93,22,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,471,1035
Sección 80 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,178,52,6,3,0,0,,,,,2,,1,,,0,,0,10,310,645
C1,AC,Urna tradicional,68,174,44,8,2,0,1,,,,,1,,2,,,0,,0,10,310,646
Total,,,126,352,96,14,5,0,1,0,0,0,0,3,0,3,0,0,0,0,0,20,620,1291
Sección 81 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,106,78,7,0,0,2,,,,,1,,0,,,0,,0,2,259,488
C1,AC,Urna tradicional,76,88,61,8,1,0,2,,,,,0,,0,,,0,,0,12,248,488
Total,,,139,194,139,15,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,14,507,976
Sección 82 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,130,60,7,0,0,4,,,,,0,,3,,,0,,0,6,247,525
C1,AC,Urna tradicional,50,113,52,9,1,1,1,,,,,0,,1,,,1,,0,2,231,525
C2,AC,Urna tradicional,49,144,49,7,1,1,1,,,,,1,,1,,,0,,0,6,260,526
Total,,,136,387,161,23,2,2,6,0,0,0,0,1,0,5,0,0,1,0,0,14,738,1576
Sección 83 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,27,138,87,7,2,0,0,,,,,3,,1,,,0,,2,7,274,552
C1,AC,Urna tradicional,40,151,84,3,1,2,1,,,,,0,,2,,,1,,0,9,294,552
Total,,,67,289,171,10,3,2,1,0,0,0,0,3,0,3,0,0,1,0,2,16,568,1104
Sección 84 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,209,69,5,1,1,1,,,,,0,,0,,,1,,0,8,341,686
C1,AC,Urna tradicional,47,198,83,10,4,2,1,,,,,0,,3,,,1,,0,12,361,687
Total,,,93,407,152,15,5,3,2,0,0,0,0,0,0,3,0,0,2,0,0,20,702,1373
