Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 107 - YURECUARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Total,,,96,117,314,75,5,0,3,0,0,0,0,1,0,4,0,0,2,0,0,10,627,1056
Sección 2385 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,77,47,80,64,4,0,2,,,,,0,,0,,,0,,0,8,282,457
C1,AC,Urna tradicional,59,72,97,67,2,0,2,,,,,1,,0,,,0,,0,4,304,457
Total,,,136,119,177,131,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,12,586,914
Sección 2386 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,38,61,67,70,0,0,0,,,,,0,,0,,,0,,0,3,239,476
C1,AC,Urna tradicional,39,67,73,71,9,0,0,,,,,0,,3,,,0,,0,8,270,477
Total,,,77,128,140,141,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,509,953
Sección 2387 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,16,51,42,1,0,0,,,,,0,,1,,,0,,0,7,129,477
Total,,,11,16,51,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,129,477
Sección 2388 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,40,34,113,128,3,0,1,,,,,1,,0,,,0,,0,15,335,624
Total,,,40,34,113,128,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,335,624
Total municipal,,,2784,2755,4757,1733,206,16,39,0,0,0,0,55,0,63,0,0,15,0,4,304,12731,22418
