Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 43 - JACONA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 685 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,110,40,7,9,0,0,,,,,0,,,,2,,,0,9,303,524
C1,AC,Urna tradicional,154,86,27,3,6,1,0,,,,,2,,,,3,,,2,13,297,525
Total,,,280,196,67,10,15,1,0,0,0,0,0,2,0,0,0,5,0,0,2,22,600,1049
Sección 686 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,106,115,12,2,8,1,1,,,,,1,,,,3,,,0,3,252,512
C1,AC,Urna tradicional,111,100,13,4,5,1,0,,,,,0,,,,5,,,0,2,241,512
Total,,,217,215,25,6,13,2,1,0,0,0,0,1,0,0,0,8,0,0,0,5,493,1024
Sección 687 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,168,146,21,20,2,1,2,,,,,1,,,,3,,,1,11,376,699
C1,AC,Urna tradicional,169,154,35,13,7,1,1,,,,,3,,,,1,,,1,7,392,699
Total,,,337,300,56,33,9,2,3,0,0,0,0,4,0,0,0,4,0,0,2,18,768,1398
Sección 688 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,159,144,26,8,5,0,1,,,,,0,,,,0,,,0,0,343,692
C1,AC,Urna tradicional,167,118,26,6,8,2,0,,,,,1,,,,3,,,2,5,338,692
C2,AC,Urna tradicional,164,106,30,5,9,0,0,,,,,6,,,,0,,,0,14,334,692
C3,AC,Urna tradicional,201,97,22,7,4,0,1,,,,,2,,,,3,,,0,11,348,693
Total,,,691,465,104,26,26,2,2,0,0,0,0,9,0,0,0,6,0,0,2,30,1363,2769
Sección 689 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,198,121,12,10,6,0,2,,,,,2,,,,22,,,0,9,382,669
C1,AC,Urna tradicional,200,125,6,4,9,1,1,,,,,0,,,,12,,,0,11,369,669
Total,,,398,246,18,14,15,1,3,0,0,0,0,2,0,0,0,34,0,0,0,20,751,1338
Sección 690 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,134,23,3,15,2,0,,,,,0,,,,0,,,0,16,348,672
C1,AC,Urna tradicional,166,132,14,4,6,0,2,,,,,1,,,,2,,,0,8,335,672
Total,,,321,266,37,7,21,2,2,0,0,0,0,1,0,0,0,2,0,0,0,24,683,1344
Sección 691 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,74,21,1,4,1,0,,,,,1,,,,1,,,0,4,233,559
C1,AC,Urna tradicional,135,75,21,2,6,1,3,,,,,2,,,,0,,,0,12,257,560
Total,,,261,149,42,3,10,2,3,0,0,0,0,3,0,0,0,1,0,0,0,16,490,1119
Sección 692 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,211,105,25,4,7,1,0,,,,,3,,,,2,,,0,8,366,718
C1,AC,Urna tradicional,231,82,22,9,2,0,2,,,,,0,,,,2,,,0,14,364,718
Total,,,442,187,47,13,9,1,2,0,0,0,0,3,0,0,0,4,0,0,0,22,730,1436
Sección 693 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,163,101,19,2,10,1,2,,,,,1,,,,1,,,0,12,312,601
C1,AC,Urna tradicional,160,122,20,2,14,0,1,,,,,4,,,,0,,,0,7,330,602
Total,,,323,223,39,4,24,1,3,0,0,0,0,5,0,0,0,1,0,0,0,19,642,1203
Sección 694 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,62,16,1,5,0,0,,,,,1,,,,0,,,2,4,183,377
C1,AC,Urna tradicional,89,83,8,3,3,0,0,,,,,1,,,,1,,,0,4,192,377
Total,,,181,145,24,4,8,0,0,0,0,0,0,2,0,0,0,1,0,0,2,8,375,754
Sección 695 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,153,93,24,6,4,1,1,,,,,2,,,,5,,,0,14,303,727
C1,AC,Urna tradicional,169,96,28,2,3,1,0,,,,,2,,,,3,,,0,15,319,727
Total,,,322,189,52,8,7,2,1,0,0,0,0,4,0,0,0,8,0,0,0,29,622,1454
Sección 696 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,107,31,7,2,0,1,,,,,0,,,,5,,,0,7,286,700
C1,AC,Urna tradicional,145,96,27,4,3,0,3,,,,,0,,,,0,,,0,16,294,700
Total,,,271,203,58,11,5,0,4,0,0,0,0,0,0,0,0,5,0,0,0,23,580,1400
Sección 697 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,186,85,22,2,10,1,1,,,,,0,,,,1,,,0,4,312,670
C1,AC,Urna tradicional,184,93,22,3,15,1,3,,,,,1,,,,2,,,0,3,327,671
Total,,,370,178,44,5,25,2,4,0,0,0,0,1,0,0,0,3,0,0,0,7,639,1341
Sección 698 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,76,19,2,2,1,1,,,,,2,,,,5,,,5,23,246,493
C1,AC,Urna tradicional,121,58,24,2,5,3,0,,,,,1,,,,1,,,0,6,221,493
E1,AC,Urna tradicional,181,69,13,2,5,1,0,,,,,8,,,,3,,,1,14,297,586
E1C1,AC,Urna tradicional,185,91,18,2,0,2,1,,,,,3,,,,0,,,0,8,310,587
Total,,,597,294,74,8,12,7,2,0,0,0,0,14,0,0,0,9,0,0,6,51,1074,2159
Sección 699 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,76,21,3,9,0,1,,,,,0,,,,2,,,0,7,207,492
C1,AC,Urna tradicional,89,80,20,5,8,0,2,,,,,0,,,,3,,,0,10,217,493
Total,,,177,156,41,8,17,0,3,0,0,0,0,0,0,0,0,5,0,0,0,17,424,985
Sección 700 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,65,36,7,5,2,2,,,,,2,,,,0,,,0,11,240,568
C1,AC,Urna tradicional,109,69,29,0,5,0,2,,,,,0,,,,0,,,0,6,220,569
Total,,,219,134,65,7,10,2,4,0,0,0,0,2,0,0,0,0,0,0,0,17,460,1137
Sección 701 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,188,61,28,6,6,1,1,,,,,7,,,,1,,,0,13,312,699
C1,AC,Urna tradicional,214,59,34,5,3,0,5,,,,,0,,,,3,,,0,7,330,700
C2,AC,Urna tradicional,191,58,36,7,4,0,0,,,,,5,,,,3,,,1,13,318,700
C3,AC,Urna tradicional,199,85,31,0,4,0,0,,,,,0,,,,0,,,0,8,327,700
Total,,,792,263,129,18,17,1,6,0,0,0,0,12,0,0,0,7,0,0,1,41,1287,2799
Sección 702 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,161,102,17,1,2,0,0,,,,,3,,,,3,,,0,7,296,652
C1,AC,Urna tradicional,163,89,30,9,6,1,1,,,,,2,,,,4,,,0,4,309,653
Total,,,324,191,47,10,8,1,1,0,0,0,0,5,0,0,0,7,0,0,0,11,605,1305
Sección 703 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,221,76,26,12,11,2,0,,,,,7,,,,0,,,0,13,368,675
C1,AC,Urna tradicional,203,88,26,7,24,0,0,,,,,1,,,,3,,,1,14,367,675
C2,AC,Urna tradicional,215,78,14,7,19,0,1,,,,,3,,,,1,,,0,8,346,675
C3,AC,Urna tradicional,196,53,24,2,15,1,3,,,,,0,,,,0,,,0,10,304,675
C4,AC,Urna tradicional,185,85,18,7,17,1,5,,,,,7,,,,0,,,0,9,334,675
C5,AC,Urna tradicional,214,86,18,8,31,2,0,,,,,7,,,,1,,,1,4,372,676
C6,AC,Urna tradicional,228,68,19,9,20,1,3,,,,,0,,,,5,,,7,0,360,676
C7,AC,Urna tradicional,226,66,24,10,17,0,1,,,,,4,,,,1,,,1,7,357,676
Total,,,1688,600,169,62,154,7,13,0,0,0,0,29,0,0,0,11,0,0,10,65,2808,5403
Sección 704 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,77,10,3,1,0,1,,,,,1,,,,4,,,0,15,276,632
C1,AC,Urna tradicional,165,97,19,7,5,0,0,,,,,1,,,,0,,,0,12,306,632
Total,,,329,174,29,10,6,0,1,0,0,0,0,2,0,0,0,4,0,0,0,27,582,1264
Sección 705 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,189,102,19,7,6,0,2,,,,,0,,,,0,,,0,6,331,614
C1,AC,Urna tradicional,200,67,13,5,6,1,5,,,,,4,,,,1,,,0,4,306,615
Total,,,389,169,32,12,12,1,7,0,0,0,0,4,0,0,0,1,0,0,0,10,637,1229
Sección 706 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,63,30,9,7,1,1,,,,,5,,,,2,,,0,7,265,649
C1,AC,Urna tradicional,102,55,31,8,12,1,0,,,,,3,,,,3,,,0,11,226,649
Total,,,242,118,61,17,19,2,1,0,0,0,0,8,0,0,0,5,0,0,0,18,491,1298
Sección 707 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,206,64,31,6,9,0,1,,,,,0,,,,3,,,0,8,328,606
C1,AC,Urna tradicional,183,49,34,5,8,1,4,,,,,6,,,,3,,,0,7,300,606
C2,AC,Urna tradicional,209,67,21,7,9,1,2,,,,,1,,,,2,,,0,5,324,607
C3,AC,Urna tradicional,213,68,11,3,4,0,4,,,,,1,,,,1,,,0,8,313,607
C4,AC,Urna tradicional,191,62,15,3,3,0,2,,,,,3,,,,4,,,0,11,294,607
Total,,,1002,310,112,24,33,2,13,0,0,0,0,11,0,0,0,13,0,0,0,39,1559,3033
Sección 708 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,132,113,38,12,5,1,1,,,,,3,,,,3,,,1,10,319,713
C1,AC,Urna tradicional,132,118,35,4,12,0,0,,,,,0,,,,2,,,4,4,311,713
C2,AC,Urna tradicional,138,77,52,5,10,0,0,,,,,5,,,,3,,,0,6,296,713
C3,AC,Urna tradicional,141,83,31,4,4,0,0,,,,,1,,,,5,,,1,2,272,714
C4,AC,Urna tradicional,142,126,29,5,5,1,2,,,,,0,,,,0,,,0,5,315,714
Total,,,685,517,185,30,36,2,3,0,0,0,0,9,0,0,0,13,0,0,6,27,1513,3567
Sección 709 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,95,31,9,4,0,2,,,,,5,,,,3,,,0,9,298,717
C1,AC,Urna tradicional,177,64,26,7,3,1,2,,,,,13,,,,4,,,0,15,312,717
C2,AC,Urna tradicional,158,69,21,10,3,0,1,,,,,4,,,,1,,,0,9,276,717
C3,AC,Urna tradicional,170,64,25,6,2,1,0,,,,,3,,,,3,,,0,7,281,718
Total,,,645,292,103,32,12,2,5,0,0,0,0,25,0,0,0,11,0,0,0,40,1167,2869
Sección 710 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,79,141,72,17,6,1,2,,,,,0,,,,12,,,0,14,344,720
C1,AC,Urna tradicional,104,131,99,14,12,1,1,,,,,0,,,,20,,,0,8,390,721
Total,,,183,272,171,31,18,2,3,0,0,0,0,0,0,0,0,32,0,0,0,22,734,1441
Sección 711 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,108,72,8,4,1,0,,,,,0,,,,11,,,0,7,299,678
C1,AC,Urna tradicional,109,134,83,16,7,2,0,,,,,1,,,,14,,,0,7,373,678
Total,,,197,242,155,24,11,3,0,0,0,0,0,1,0,0,0,25,0,0,0,14,672,1356
Total municipal,,,11883,6694,1986,437,552,50,90,0,0,0,0,159,0,0,0,225,0,0,31,642,22749,47474
