Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 38 - HUETAMO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 601 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,145,,,1,,1,207,,,,0,,3,,,,,0,15,385,731
Total,,,13,145,0,0,1,0,1,207,0,0,0,0,0,3,0,0,0,0,0,15,385,731
Sección 602 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,79,,,2,,1,107,,,,0,,2,,,,,0,9,206,451
C1,AC,Urna tradicional,8,75,,,1,,2,112,,,,0,,4,,,,,0,14,216,452
Total,,,14,154,0,0,3,0,3,219,0,0,0,0,0,6,0,0,0,0,0,23,422,903
Sección 603 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,115,,,3,,0,233,,,,0,,8,,,,,0,5,376,675
C1,AC,Urna tradicional,13,134,,,3,,0,210,,,,0,,5,,,,,0,14,379,675
Total,,,25,249,0,0,6,0,0,443,0,0,0,0,0,13,0,0,0,0,0,19,755,1350
Sección 604 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,141,,,0,,4,182,,,,0,,4,,,,,0,21,364,684
C1,AC,Urna tradicional,12,139,,,3,,3,188,,,,2,,4,,,,,2,12,365,685
Total,,,24,280,0,0,3,0,7,370,0,0,0,2,0,8,0,0,0,0,2,33,729,1369
Sección 605 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,114,,,4,,0,146,,,,0,,1,,,,,0,5,282,555
C1,AC,Urna tradicional,10,115,,,0,,0,113,,,,1,,2,,,,,0,8,249,556
C2,AC,Urna tradicional,11,152,,,2,,0,125,,,,0,,0,,,,,0,10,300,556
Total,,,33,381,0,0,6,0,0,384,0,0,0,1,0,3,0,0,0,0,0,23,831,1667
Sección 606 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,95,,,1,,1,124,,,,2,,6,,,,,0,10,246,507
C1,AC,Urna tradicional,8,106,,,1,,2,128,,,,0,,3,,,,,0,11,259,508
C2,AC,Urna tradicional,7,83,,,1,,1,131,,,,0,,0,,,,,0,10,233,508
Total,,,22,284,0,0,3,0,4,383,0,0,0,2,0,9,0,0,0,0,0,31,738,1523
Sección 607 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,102,,,0,,1,134,,,,0,,3,,,,,2,6,255,524
C1,AC,Urna tradicional,16,113,,,0,,0,111,,,,0,,0,,,,,0,20,260,525
C2,AC,Urna tradicional,8,117,,,0,,0,128,,,,0,,0,,,,,0,3,256,525
Total,,,31,332,0,0,0,0,1,373,0,0,0,0,0,3,0,0,0,0,2,29,771,1574
Sección 608 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,151,,,0,,0,169,,,,0,,8,,,,,0,5,339,657
C1,AC,Urna tradicional,4,172,,,1,,0,139,,,,0,,2,,,,,1,12,331,658
Total,,,10,323,0,0,1,0,0,308,0,0,0,0,0,10,0,0,0,0,1,17,670,1315
Sección 609 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,149,,,3,,0,159,,,,0,,9,,,,,0,10,337,528
C1,AC,Urna tradicional,7,117,,,0,,2,155,,,,0,,5,,,,,0,7,293,528
C2,AC,Urna tradicional,11,109,,,1,,0,145,,,,0,,3,,,,,0,7,276,528
Total,,,25,375,0,0,4,0,2,459,0,0,0,0,0,17,0,0,0,0,0,24,906,1584
Sección 610 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,1,156,,,3,,0,176,,,,1,,2,,,,,0,9,348,637
C1,AC,Urna tradicional,12,152,,,1,,0,179,,,,0,,17,,,,,0,10,371,638
Total,,,13,308,0,0,4,0,0,355,0,0,0,1,0,19,0,0,0,0,0,19,719,1275
Sección 611 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,155,,,0,,1,143,,,,1,,4,,,,,1,15,349,629
C1,AC,Urna tradicional,25,164,,,1,,3,134,,,,0,,2,,,,,0,12,341,630
Total,,,54,319,0,0,1,0,4,277,0,0,0,1,0,6,0,0,0,0,1,27,690,1259
Sección 612 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,7,107,,,0,,0,130,,,,0,,4,,,,,0,18,266,519
C1,AC,Urna tradicional,12,111,,,1,,1,132,,,,1,,4,,,,,0,15,277,520
Total,,,19,218,0,0,1,0,1,262,0,0,0,1,0,8,0,0,0,0,0,33,543,1039
Sección 613 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,175,,,1,,2,172,,,,0,,9,,,,,0,15,387,733
C1,AC,Urna tradicional,15,143,,,4,,0,180,,,,2,,5,,,,,0,11,360,733
C2,AC,Urna tradicional,11,188,,,2,,1,161,,,,2,,6,,,,,1,15,387,734
Total,,,39,506,0,0,7,0,3,513,0,0,0,4,0,20,0,0,0,0,1,41,1134,2200
Sección 614 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,18,121,,,1,,0,203,,,,0,,10,,,,,0,14,367,735
C1,AC,Urna tradicional,20,143,,,1,,3,203,,,,0,,2,,,,,0,15,387,735
Total,,,38,264,0,0,2,0,3,406,0,0,0,0,0,12,0,0,0,0,0,29,754,1470
Sección 615 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,87,,,0,,0,143,,,,0,,3,,,,,0,11,247,527
Total,,,3,87,0,0,0,0,0,143,0,0,0,0,0,3,0,0,0,0,0,11,247,527
Sección 616 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,12,83,,,7,,0,141,,,,0,,6,,,,,0,13,262,527
E1,AC,Urna tradicional,3,63,,,1,,0,74,,,,0,,0,,,,,0,4,145,277
Total,,,15,146,0,0,8,0,0,215,0,0,0,0,0,6,0,0,0,0,0,17,407,804
Sección 617 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,52,,,1,,0,52,,,,0,,4,,,,,1,2,114,202
E1,AC,Urna tradicional,1,28,,,0,,0,35,,,,0,,0,,,,,0,2,66,139
Total,,,3,80,0,0,1,0,0,87,0,0,0,0,0,4,0,0,0,0,1,4,180,341
Sección 618 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,93,,,2,,0,109,,,,0,,4,,,,,0,7,219,453
Total,,,4,93,0,0,2,0,0,109,0,0,0,0,0,4,0,0,0,0,0,7,219,453
Sección 619 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,131,,,1,,0,210,,,,1,,2,,,,,0,0,348,703
Total,,,3,131,0,0,1,0,0,210,0,0,0,1,0,2,0,0,0,0,0,0,348,703
Sección 620 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,40,,,0,,0,25,,,,0,,1,,,,,0,4,72,99
Total,,,2,40,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,4,72,99
Sección 621 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,70,,,2,,0,112,,,,0,,1,,,,,0,15,210,349
E1,AC,Urna tradicional,5,44,,,3,,1,89,,,,0,,0,,,,,0,7,149,262
Total,,,15,114,0,0,5,0,1,201,0,0,0,0,0,1,0,0,0,0,0,22,359,611
Sección 622 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,92,,,1,,0,111,,,,2,,2,,,,,0,9,231,437
C1,AC,Urna tradicional,20,96,,,4,,0,91,,,,0,,1,,,,,0,13,225,437
Total,,,34,188,0,0,5,0,0,202,0,0,0,2,0,3,0,0,0,0,0,22,456,874
Sección 623 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,110,,,5,,2,133,,,,0,,6,,,,,0,6,275,490
C1,AC,Urna tradicional,10,103,,,3,,1,96,,,,0,,4,,,,,0,11,228,490
Total,,,23,213,0,0,8,0,3,229,0,0,0,0,0,10,0,0,0,0,0,17,503,980
Sección 624 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,64,,,1,,2,65,,,,0,,2,,,,,0,12,166,429
Total,,,20,64,0,0,1,0,2,65,0,0,0,0,0,2,0,0,0,0,0,12,166,429
Sección 625 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,203,,,2,,6,94,,,,0,,5,,,,,0,18,369,741
Total,,,41,203,0,0,2,0,6,94,0,0,0,0,0,5,0,0,0,0,0,18,369,741
Sección 626 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,46,,,2,,1,32,,,,0,,0,,,,,0,7,98,171
Total,,,10,46,0,0,2,0,1,32,0,0,0,0,0,0,0,0,0,0,0,7,98,171
Sección 627 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,95,,,0,,0,87,,,,1,,3,,,,,0,26,246,480
C1,AC,Urna tradicional,19,126,,,3,,0,59,,,,0,,2,,,,,0,25,234,480
Total,,,53,221,0,0,3,0,0,146,0,0,0,1,0,5,0,0,0,0,0,51,480,960
Sección 628 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,186,,,4,,0,153,,,,0,,9,,,,,0,15,375,743
C1,AC,Urna tradicional,12,214,,,0,,0,114,,,,0,,4,,,,,1,16,361,743
Total,,,20,400,0,0,4,0,0,267,0,0,0,0,0,13,0,0,0,0,1,31,736,1486
Sección 629 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,101,,,1,,0,48,,,,0,,1,,,,,0,19,183,489
C1,AC,Urna tradicional,14,110,,,0,,0,61,,,,0,,2,,,,,0,5,192,489
Total,,,27,211,0,0,1,0,0,109,0,0,0,0,0,3,0,0,0,0,0,24,375,978
Sección 630 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,187,,,2,,2,113,,,,0,,5,,,,,0,17,337,618
Total,,,11,187,0,0,2,0,2,113,0,0,0,0,0,5,0,0,0,0,0,17,337,618
