Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 50 - LAZARO CARDENAS,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 806 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,114,,,2,,11,135,,,,,,4,,,,,0,7,319,690
C1,AC,Urna tradicional,62,104,,,3,,4,150,,,,,,2,,,,,0,2,327,690
C2,AC,Urna tradicional,66,107,,,4,,6,149,,,,,,4,,,,,0,8,344,690
C3,AC,Urna tradicional,45,97,,,3,,2,132,,,,,,2,,,,,0,5,286,690
C4,AC,Urna tradicional,44,101,,,5,,3,167,,,,,,1,,,,,0,7,328,691
C5,AC,Urna tradicional,46,91,,,0,,2,139,,,,,,0,,,,,0,9,287,691
C6,AC,Urna tradicional,51,96,,,4,,5,154,,,,,,0,,,,,0,4,314,691
C7,AC,Urna tradicional,41,103,,,5,,7,135,,,,,,2,,,,,0,4,297,691
C8,AC,Urna tradicional,52,137,,,4,,6,150,,,,,,0,,,,,0,6,355,691
Total,,,453,950,0,0,30,0,46,1311,0,0,0,0,0,15,0,0,0,0,0,52,2857,6215
Sección 807 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,121,,,0,,7,152,,,,,,0,,,,,0,9,335,727
C1,AC,Urna tradicional,39,120,,,3,,5,170,,,,,,2,,,,,1,4,344,727
C2,AC,Urna tradicional,42,131,,,7,,3,179,,,,,,2,,,,,0,4,368,727
C3,AC,Urna tradicional,49,131,,,1,,6,135,,,,,,1,,,,,1,6,330,728
C4,AC,Urna tradicional,41,107,,,4,,3,167,,,,,,0,,,,,0,5,327,728
Total,,,217,610,0,0,15,0,24,803,0,0,0,0,0,5,0,0,0,0,2,28,1704,3637
Sección 808 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,95,,,3,,5,126,,,,,,0,,,,,0,13,274,729
C1,AC,Urna tradicional,35,111,,,4,,6,128,,,,,,0,,,,,1,11,296,730
C2,AC,Urna tradicional,30,108,,,4,,7,126,,,,,,2,,,,,0,2,279,730
Total,,,97,314,0,0,11,0,18,380,0,0,0,0,0,2,0,0,0,0,1,26,849,2189
Sección 809 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,43,93,,,4,,4,105,,,,,,1,,,,,0,3,253,526
C1,AC,Urna tradicional,26,101,,,2,,2,119,,,,,,2,,,,,0,6,258,527
