Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 83 - TACAMBARO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1844 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,146,107,,,0,,1,86,,,,6,,4,,,,,1,10,361,634
C1,AC,Urna tradicional,148,104,,,2,,11,94,,,,0,,4,,,,,0,6,369,634
Total,,,294,211,0,0,2,0,12,180,0,0,0,6,0,8,0,0,0,0,1,16,730,1268
Sección 1845 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,163,110,,,8,,0,81,,,,4,,3,,,,,0,14,383,598
C1,AC,Urna tradicional,164,97,,,5,,6,94,,,,5,,3,,,,,0,9,383,599
Total,,,327,207,0,0,13,0,6,175,0,0,0,9,0,6,0,0,0,0,0,23,766,1197
Sección 1846 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,147,85,,,0,,2,58,,,,3,,0,,,,,1,11,307,504
C1,AC,Urna tradicional,140,73,,,2,,3,74,,,,3,,1,,,,,0,11,307,505
Total,,,287,158,0,0,2,0,5,132,0,0,0,6,0,1,0,0,0,0,1,22,614,1009
Sección 1847 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,148,83,,,1,,3,93,,,,1,,3,,,,,0,5,337,585
C1,AC,Urna tradicional,140,59,,,10,,1,86,,,,6,,2,,,,,2,9,315,586
C2,AC,Urna tradicional,153,73,,,1,,1,78,,,,7,,1,,,,,0,14,328,586
C3,AC,Urna tradicional,154,65,,,6,,0,92,,,,6,,1,,,,,1,9,334,586
Total,,,595,280,0,0,18,0,5,349,0,0,0,20,0,7,0,0,0,0,3,37,1314,2343
Sección 1848 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,168,89,,,4,,3,107,,,,7,,2,,,,,0,14,394,637
C1,AC,Urna tradicional,193,66,,,4,,6,86,,,,3,,1,,,,,0,18,377,637
C2,AC,Urna tradicional,187,73,,,3,,8,87,,,,5,,3,,,,,0,10,376,638
C3,AC,Urna tradicional,187,85,,,1,,3,100,,,,4,,4,,,,,1,14,399,638
Total,,,735,313,0,0,12,0,20,380,0,0,0,19,0,10,0,0,0,0,1,56,1546,2550
Sección 1849 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,114,,,2,,5,81,,,,0,,0,,,,,0,9,366,604
C1,AC,Urna tradicional,144,118,,,0,,0,81,,,,0,,0,,,,,0,12,355,604
Total,,,299,232,0,0,2,0,5,162,0,0,0,0,0,0,0,0,0,0,0,21,721,1208
Sección 1850 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,118,51,,,9,,3,40,,,,0,,0,,,,,5,7,233,407
Total,,,118,51,0,0,9,0,3,40,0,0,0,0,0,0,0,0,0,0,5,7,233,407
Sección 1851 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,221,67,,,2,,6,95,,,,2,,2,,,,,0,7,402,676
C1,AC,Urna tradicional,185,78,,,0,,0,80,,,,0,,0,,,,,0,13,356,676
C2,AC,Urna tradicional,155,73,,,3,,1,104,,,,1,,3,,,,,0,9,349,677
Total,,,561,218,0,0,5,0,7,279,0,0,0,3,0,5,0,0,0,0,0,29,1107,2029
