Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 105 - VILLAMAR,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2339 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,28,221,68,14,1,0,1,,,,,4,,2,,,0,,0,10,349,696
C1,AC,Urna tradicional,45,221,70,9,0,0,0,,,,,0,,0,,,0,,0,12,357,697
Total,,,73,442,138,23,1,0,1,0,0,0,0,4,0,2,0,0,0,0,0,22,706,1393
Sección 2340 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,31,149,78,21,0,0,3,,,,,0,,0,,,0,,0,0,282,529
C1,AC,Urna tradicional,33,142,84,24,0,0,1,,,,,0,,0,,,0,,0,11,295,530
C2,AC,Urna tradicional,25,150,106,22,1,0,1,,,,,0,,1,,,0,,0,12,318,530
Total,,,89,441,268,67,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,23,895,1589
Sección 2341 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,12,6,180,0,0,7,,,,,1,,0,,,0,,0,11,332,536
C1,AC,Urna tradicional,97,13,3,188,1,0,6,,,,,1,,1,,,0,,0,17,327,536
C2,AC,Urna tradicional,102,11,6,205,0,0,4,,,,,3,,0,,,0,,0,12,343,537
Total,,,314,36,15,573,1,0,17,0,0,0,0,5,0,1,0,0,0,0,0,40,1002,1609
Sección 2342 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,5,7,185,0,0,8,,,,,0,,3,,,0,,0,9,309,503
C1,AC,Urna tradicional,66,11,1,177,0,0,10,,,,,6,,0,,,0,,0,10,281,503
Total,,,158,16,8,362,0,0,18,0,0,0,0,6,0,3,0,0,0,0,0,19,590,1006
Sección 2343 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,11,9,166,0,0,5,,,,,0,,0,,,0,,0,7,256,381
C1,AC,Urna tradicional,51,11,3,163,0,0,2,,,,,5,,0,,,0,,0,8,243,382
E1,AC,Urna tradicional,85,28,21,127,1,1,0,,,,,5,,0,,,0,,0,7,275,599
Total,,,194,50,33,456,1,1,7,0,0,0,0,10,0,0,0,0,0,0,0,22,774,1362
Sección 2344 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,22,8,26,0,0,0,,,,,0,,0,,,0,,0,7,110,318
E1,AC,Urna tradicional,60,29,6,32,0,0,0,,,,,5,,0,,,0,,0,8,140,518
Total,,,107,51,14,58,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,250,836
Sección 2345 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,25,20,11,9,0,1,1,,,,,0,,0,,,0,,0,1,68,195
E1,AC,Urna tradicional,46,70,27,10,1,1,1,,,,,0,,0,,,0,,0,6,162,276
Total,,,71,90,38,19,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,230,471
Sección 2346 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,25,25,24,0,1,1,,,,,2,,0,,,0,,0,3,169,522
Total,,,88,25,25,24,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,169,522
Sección 2347 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,81,81,51,57,0,0,0,,,,,1,,0,,,0,,0,19,290,657
Total,,,81,81,51,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,290,657
Sección 2348 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,54,55,107,41,2,0,2,,,,,0,,0,,,1,,0,8,270,585
C1,AC,Urna tradicional,82,58,69,31,0,2,0,,,,,4,,0,,,0,,0,11,257,585
Total,,,136,113,176,72,2,2,2,0,0,0,0,4,0,0,0,0,1,0,0,19,527,1170
Sección 2349 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,48,40,21,12,0,0,0,,,,,0,,0,,,0,,0,3,124,229
E1,AC,Urna tradicional,69,57,128,21,0,0,0,,,,,0,,0,,,0,,0,6,281,631
Total,,,117,97,149,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,405,860
Sección 2350 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,19,337,17,24,1,0,0,,,,,2,,3,,,0,,0,4,407,732
C1,AC,Urna tradicional,42,333,12,14,0,0,0,,,,,2,,2,,,0,,0,8,413,733
C2,AC,Urna tradicional,30,337,13,18,0,0,1,,,,,5,,2,,,0,,0,5,411,733
Total,,,91,1007,42,56,1,0,1,0,0,0,0,9,0,7,0,0,0,0,0,17,1231,2198
Sección 2351 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,69,66,10,0,0,3,,,,,0,,0,,,0,,0,11,225,490
Total,,,66,69,66,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,225,490
