Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 54 - MORELIA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 941 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,112,156,25,3,5,2,2,,,,,1,,13,2,,,,0,11,332,651
C1,AC,Urna tradicional,105,159,30,4,3,5,4,,,,,6,,15,1,,,,1,8,341,652
Total,,,217,315,55,7,8,7,6,0,0,0,0,7,0,28,3,0,0,0,1,19,673,1303
Sección 942 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,148,66,3,8,8,2,,,,,2,,5,2,,,,1,17,354,697
C1,AC,Urna tradicional,100,170,48,8,5,8,4,,,,,5,,7,2,,,,0,13,370,697
C2,AC,Urna tradicional,100,169,52,6,4,8,2,,,,,1,,6,2,,,,0,16,366,698
Total,,,292,487,166,17,17,24,8,0,0,0,0,8,0,18,6,0,0,0,1,46,1090,2092
Sección 943 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,121,44,4,1,12,1,,,,,5,,4,2,,,,0,12,294,581
C1,AC,Urna tradicional,91,126,44,2,6,8,2,,,,,7,,0,4,,,,0,11,301,582
Total,,,179,247,88,6,7,20,3,0,0,0,0,12,0,4,6,0,0,0,0,23,595,1163
Sección 944 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,127,140,77,6,4,9,2,,,,,3,,5,1,,,,0,16,390,722
C1,AC,Urna tradicional,108,151,59,5,5,0,3,,,,,1,,10,4,,,,0,19,365,723
Total,,,235,291,136,11,9,9,5,0,0,0,0,4,0,15,5,0,0,0,0,35,755,1445
Sección 945 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,88,117,47,12,6,9,10,,,,,5,,4,4,,,,0,13,315,610
C1,AC,Urna tradicional,96,101,40,4,6,7,6,,,,,3,,7,2,,,,0,13,285,611
C2,AC,Urna tradicional,104,120,36,4,6,6,1,,,,,3,,4,1,,,,0,14,299,611
Total,,,288,338,123,20,18,22,17,0,0,0,0,11,0,15,7,0,0,0,0,40,899,1832
Sección 946 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,65,109,46,4,6,5,2,,,,,5,,5,1,,,,1,10,259,570
C1,AC,Urna tradicional,79,105,42,5,7,5,2,,,,,3,,2,0,,,,0,11,261,570
Total,,,144,214,88,9,13,10,4,0,0,0,0,8,0,7,1,0,0,0,1,21,520,1140
Sección 947 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,106,127,67,7,5,6,4,,,,,5,,7,5,,,,0,9,348,689
C1,AC,Urna tradicional,125,149,29,7,2,9,2,,,,,5,,3,3,,,,0,13,347,690
Total,,,231,276,96,14,7,15,6,0,0,0,0,10,0,10,8,0,0,0,0,22,695,1379
Sección 948 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,124,30,3,1,2,2,,,,,2,,2,2,,,,0,9,267,506
C1,AC,Urna tradicional,86,86,33,5,4,1,2,,,,,1,,4,3,,,,0,8,233,507
C2,AC,Urna tradicional,70,111,41,1,3,2,1,,,,,1,,6,1,,,,0,11,248,507
Total,,,246,321,104,9,8,5,5,0,0,0,0,4,0,12,6,0,0,0,0,28,748,1520
Sección 949 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,148,35,7,2,6,3,,,,,1,,6,2,,,,0,9,315,627
C1,AC,Urna tradicional,100,125,35,6,7,3,4,,,,,3,,9,2,,,,0,12,306,627
C2,AC,Urna tradicional,92,143,30,1,2,2,2,,,,,3,,8,0,,,,0,12,295,627
C3,AC,Urna tradicional,81,135,54,3,6,3,8,,,,,2,,3,2,,,,0,15,312,628
C4,AC,Urna tradicional,75,141,51,4,2,4,5,,,,,2,,8,3,,,,0,8,303,628
Total,,,444,692,205,21,19,18,22,0,0,0,0,11,0,34,9,0,0,0,0,56,1531,3137
Sección 950 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,90,154,47,4,4,7,4,,,,,1,,4,0,,,,0,14,329,699
C1,AC,Urna tradicional,120,120,68,0,8,4,2,,,,,6,,4,3,,,,0,14,349,700
Total,,,210,274,115,4,12,11,6,0,0,0,0,7,0,8,3,0,0,0,0,28,678,1399
Sección 951 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,111,155,56,6,5,12,7,,,,,3,,2,6,,,,0,12,375,721
C1,AC,Urna tradicional,91,155,45,11,7,6,2,,,,,4,,7,1,,,,0,19,348,722
Total,,,202,310,101,17,12,18,9,0,0,0,0,7,0,9,7,0,0,0,0,31,723,1443
Sección 952 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,64,115,46,7,6,7,1,,,,,0,,5,3,,,,0,13,267,558
C1,AC,Urna tradicional,69,114,39,3,3,6,2,,,,,2,,6,3,,,,1,10,258,558
C2,AC,Urna tradicional,74,147,40,4,4,4,0,,,,,3,,2,2,,,,0,7,287,558
Total,,,207,376,125,14,13,17,3,0,0,0,0,5,0,13,8,0,0,0,1,30,812,1674
Sección 953 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,179,131,62,8,7,12,5,,,,,7,,7,4,,,,0,13,435,727
C1,AC,Urna tradicional,158,130,66,8,9,3,2,,,,,7,,9,3,,,,0,10,405,727
C2,AC,Urna tradicional,164,118,59,7,3,7,5,,,,,5,,2,4,,,,0,7,381,727
C3,AC,Urna tradicional,164,134,63,5,8,12,4,,,,,2,,4,3,,,,0,10,409,728
C4,AC,Urna tradicional,158,142,61,5,3,4,7,,,,,5,,5,3,,,,0,8,401,728
Total,,,823,655,311,33,30,38,23,0,0,0,0,26,0,27,17,0,0,0,0,48,2031,3637
Sección 954 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,172,170,48,6,1,5,3,,,,,3,,4,2,,,,0,25,439,744
C1,AC,Urna tradicional,159,150,52,7,3,7,5,,,,,4,,2,1,,,,0,16,406,744
Total,,,331,320,100,13,4,12,8,0,0,0,0,7,0,6,3,0,0,0,0,41,845,1488
Sección 955 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,137,105,36,5,4,3,7,,,,,4,,4,2,,,,0,16,323,588
C1,AC,Urna tradicional,130,111,54,5,3,9,0,,,,,4,,6,5,,,,0,9,336,589
C2,AC,Urna tradicional,108,136,37,4,3,11,1,,,,,2,,2,2,,,,0,15,321,589
